156: reward=0.00 vs 93.87, recent_win=0 vs 50, winner=blue, win=2 vs 154, draw=0, time=78/13492
157: reward=0.00 vs 95.08, recent_win=0 vs 50, winner=blue, win=2 vs 155, draw=0, time=62/13554
158: reward=0.00 vs 93.79, recent_win=0 vs 50, winner=blue, win=2 vs 156, draw=0, time=80/13634
159: reward=0.00 vs 92.60, recent_win=0 vs 50, winner=blue, win=2 vs 157, draw=0, time=96/13730
160: reward=0.00 vs 94.76, recent_win=0 vs 50, winner=blue, win=2 vs 158, draw=0, time=66/13796
161: reward=0.00 vs 94.52, recent_win=0 vs 50, winner=blue, win=2 vs 159, draw=0, time=70/13866
162: reward=0.00 vs 95.38, recent_win=0 vs 50, winner=blue, win=2 vs 160, draw=0, time=58/13924
163: reward=0.00 vs 93.95, recent_win=0 vs 50, winner=blue, win=2 vs 161, draw=0, time=77/14001
164: reward=87.40 vs 0.00, recent_win=1 vs 49, winner=red, win=3 vs 161, draw=0, time=174/14176
165: reward=0.00 vs 94.03, recent_win=1 vs 49, winner=blue, win=3 vs 162, draw=0, time=76/14252
166: reward=0.00 vs 94.11, recent_win=1 vs 49, winner=blue, win=3 vs 163, draw=0, time=75/14327
167: reward=0.00 vs 94.35, recent_win=1 vs 49, winner=blue, win=3 vs 164, draw=0, time=72/14399
168: reward=0.00 vs 93.39, recent_win=1 vs 49, winner=blue, win=3 vs 165, draw=0, time=85/14484
169: reward=0.00 vs 95.08, recent_win=1 vs 49, winner=blue, win=3 vs 166, draw=0, time=62/14546
170: reward=0.00 vs 94.43, recent_win=1 vs 49, winner=blue, win=3 vs 167, draw=0, time=71/14617
171: reward=0.00 vs 94.60, recent_win=1 vs 49, winner=blue, win=3 vs 168, draw=0, time=69/14686
172: reward=0.00 vs 94.35, recent_win=1 vs 49, winner=blue, win=3 vs 169, draw=0, time=72/14758
173: reward=0.00 vs 93.79, recent_win=1 vs 49, winner=blue, win=3 vs 170, draw=0, time=80/14837
174: reward=0.00 vs 90.03, recent_win=1 vs 49, winner=blue, win=3 vs 171, draw=0, time=133/14971
175: reward=0.00 vs 93.63, recent_win=1 vs 49, winner=blue, win=3 vs 172, draw=0, time=82/15052
176: reward=0.00 vs 95.45, recent_win=1 vs 49, winner=blue, win=3 vs 173, draw=0, time=57/15110
177: reward=0.00 vs 91.90, recent_win=1 vs 49, winner=blue, win=3 vs 174, draw=0, time=106/15216
178: reward=0.00 vs 94.03, recent_win=1 vs 49, winner=blue, win=3 vs 175, draw=0, time=76/15292
179: reward=0.00 vs 90.62, recent_win=1 vs 49, winner=blue, win=3 vs 176, draw=0, time=125/15417
180: reward=0.00 vs 94.43, recent_win=1 vs 49, winner=blue, win=3 vs 177, draw=0, time=71/15487
181: reward=0.00 vs 93.31, recent_win=1 vs 49, winner=blue, win=3 vs 178, draw=0, time=86/15574
182: reward=0.00 vs 94.03, recent_win=1 vs 49, winner=blue, win=3 vs 179, draw=0, time=76/15650
183: reward=0.00 vs 94.03, recent_win=1 vs 49, winner=blue, win=3 vs 180, draw=0, time=76/15726
184: reward=0.00 vs 91.67, recent_win=1 vs 49, winner=blue, win=3 vs 181, draw=0, time=109/15836
185: reward=0.00 vs 94.03, recent_win=1 vs 49, winner=blue, win=3 vs 182, draw=0, time=76/15912
186: reward=0.00 vs 94.27, recent_win=1 vs 49, winner=blue, win=3 vs 183, draw=0, time=73/15985
187: reward=0.00 vs 94.03, recent_win=1 vs 49, winner=blue, win=3 vs 184, draw=0, time=76/16061
188: reward=0.00 vs 94.35, recent_win=1 vs 49, winner=blue, win=3 vs 185, draw=0, time=72/16133
189: reward=0.00 vs 94.03, recent_win=1 vs 49, winner=blue, win=3 vs 186, draw=0, time=76/16209
190: reward=0.00 vs 92.76, recent_win=1 vs 49, winner=blue, win=3 vs 187, draw=0, time=94/16303
191: reward=0.00 vs 91.37, recent_win=1 vs 49, winner=blue, win=3 vs 188, draw=0, time=114/16417
192: reward=0.00 vs 93.23, recent_win=1 vs 49, winner=blue, win=3 vs 189, draw=0, time=87/16504
