121: reward=0.10 vs 3.90, win=18 vs 61, recent_win=12 vs 27, draw=42, winner=blue, time=82/13157
122: reward=-0.40 vs 2.80, win=18 vs 62, recent_win=12 vs 27, draw=42, winner=blue, time=97/13254
123: reward=0.05 vs 2.90, win=18 vs 63, recent_win=12 vs 27, draw=42, winner=blue, time=76/13330
124: reward=-0.95 vs 3.00, win=18 vs 64, recent_win=12 vs 28, draw=42, winner=blue, time=68/13398
125: reward=0.85 vs 6.70, win=18 vs 65, recent_win=11 vs 29, draw=42, winner=blue, time=166/13564
126: reward=-1.05 vs 2.90, win=18 vs 66, recent_win=11 vs 29, draw=42, winner=blue, time=86/13650
127: reward=-0.70 vs 3.80, win=18 vs 66, recent_win=11 vs 29, draw=43, winner=draw, time=94/13744
128: reward=-0.20 vs 2.80, win=18 vs 67, recent_win=11 vs 29, draw=43, winner=blue, time=88/13833
129: reward=-0.30 vs 7.70, win=18 vs 68, recent_win=11 vs 29, draw=43, winner=blue, time=160/13993
130: reward=-0.60 vs 1.90, win=18 vs 69, recent_win=11 vs 29, draw=43, winner=blue, time=66/14059
131: reward=2.80 vs 4.70, win=19 vs 69, recent_win=11 vs 29, draw=43, winner=red, time=173/14232
132: reward=1.35 vs 3.70, win=20 vs 69, recent_win=12 vs 29, draw=43, winner=red, time=153/14385
133: reward=-1.25 vs 3.00, win=20 vs 70, recent_win=12 vs 29, draw=43, winner=blue, time=77/14463
134: reward=0.40 vs 8.60, win=20 vs 71, recent_win=11 vs 30, draw=43, winner=blue, time=188/14651
135: reward=0.45 vs 3.90, win=20 vs 72, recent_win=11 vs 30, draw=43, winner=blue, time=107/14758
136: reward=-1.25 vs 2.90, win=20 vs 73, recent_win=11 vs 31, draw=43, winner=blue, time=76/14835
137: reward=0.65 vs 2.90, win=21 vs 73, recent_win=12 vs 30, draw=43, winner=red, time=62/14897
138: reward=0.10 vs 3.90, win=21 vs 74, recent_win=12 vs 31, draw=43, winner=blue, time=85/14982
139: reward=0.55 vs 2.80, win=21 vs 75, recent_win=12 vs 31, draw=43, winner=blue, time=88/15070
140: reward=1.30 vs 2.80, win=21 vs 76, recent_win=11 vs 32, draw=43, winner=blue, time=88/15159
141: reward=-1.15 vs 2.00, win=21 vs 77, recent_win=11 vs 32, draw=43, winner=blue, time=62/15221
142: reward=0.55 vs 7.50, win=21 vs 78, recent_win=11 vs 32, draw=43, winner=blue, time=196/15417
143: reward=-0.00 vs 3.90, win=21 vs 79, recent_win=11 vs 32, draw=43, winner=blue, time=87/15505
144: reward=1.40 vs 6.60, win=21 vs 80, recent_win=10 vs 33, draw=43, winner=blue, time=194/15699
145: reward=0.05 vs 2.80, win=21 vs 81, recent_win=10 vs 33, draw=43, winner=blue, time=89/15788
146: reward=1.65 vs 6.60, win=21 vs 82, recent_win=9 vs 34, draw=43, winner=blue, time=170/15958
147: reward=0.70 vs 2.80, win=21 vs 83, recent_win=9 vs 34, draw=43, winner=blue, time=89/16047
148: reward=-0.45 vs 0.90, win=21 vs 84, recent_win=8 vs 35, draw=43, winner=blue, time=62/16110
149: reward=1.10 vs 2.80, win=21 vs 85, recent_win=8 vs 36, draw=43, winner=blue, time=98/16208
