146: reward=-32.35 vs 76.23, winner=blue, r_win=16:29:5, win=44:85:17, time=463/62038
147: reward=77.66 vs -30.16, winner=red, r_win=16:29:5, win=45:85:17, time=324/62362
148: reward=-29.64 vs 70.79, winner=blue, r_win=16:30:4, win=45:86:17, time=594/62955
149: reward=80.28 vs -31.45, winner=red, r_win=17:29:4, win=46:86:17, time=280/63235
150: reward=-30.67 vs 74.57, winner=blue, r_win=16:30:4, win=46:87:17, time=462/63696
151: reward=-31.05 vs 75.23, winner=blue, r_win=16:30:4, win=46:88:17, time=450/64146
152: reward=80.34 vs -31.36, winner=red, r_win=16:30:4, win=47:88:17, time=275/64421
153: reward=-32.17 vs 76.98, winner=blue, r_win=16:30:4, win=47:89:17, time=424/64844
154: reward=-32.32 vs 78.26, winner=blue, r_win=16:30:4, win=47:90:17, time=380/65224
155: reward=73.79 vs -28.56, winner=red, r_win=17:29:4, win=48:90:17, time=407/65630
156: reward=-31.80 vs 76.05, winner=blue, r_win=17:30:3, win=48:91:17, time=447/66077
157: reward=-31.01 vs 72.87, winner=blue, r_win=17:30:3, win=48:92:17, time=557/66634
158: reward=76.92 vs -29.69, winner=red, r_win=17:30:3, win=49:92:17, time=333/66966
159: reward=-30.44 vs 74.16, winner=blue, r_win=16:31:3, win=49:93:17, time=470/67436
160: reward=-17.29 vs -10.69, winner=draw, r_win=16:30:4, win=49:93:18, time=551/67986
161: reward=-30.60 vs 73.80, winner=blue, r_win=16:30:4, win=49:94:18, time=493/68479
162: reward=-30.63 vs 74.03, winner=blue, r_win=16:30:4, win=49:95:18, time=484/68963
163: reward=76.42 vs -29.67, winner=red, r_win=17:29:4, win=50:95:18, time=350/69312
164: reward=78.95 vs -30.80, winner=red, r_win=18:28:4, win=51:95:18, time=302/69614
165: reward=76.13 vs -29.49, winner=red, r_win=19:28:3, win=52:95:18, time=354/69967
166: reward=79.60 vs -31.30, winner=red, r_win=20:27:3, win=53:95:18, time=297/70264
167: reward=-30.93 vs 75.23, winner=blue, r_win=20:27:3, win=53:96:18, time=445/70709
168: reward=-31.51 vs 73.67, winner=blue, r_win=20:27:3, win=53:97:18, time=542/71250
169: reward=-31.18 vs 73.01, winner=blue, r_win=19:28:3, win=53:98:18, time=559/71809
170: reward=72.26 vs -27.41, winner=red, r_win=20:27:3, win=54:98:18, time=422/72230
171: reward=-30.11 vs 71.08, winner=blue, r_win=20:27:3, win=54:99:18, time=604/72834
172: reward=79.92 vs -31.13, winner=red, r_win=20:27:3, win=55:99:18, time=281/73115
173: reward=-30.97 vs 74.74, winner=blue, r_win=20:27:3, win=55:100:18, time=468/73582
174: reward=-31.48 vs 75.85, winner=blue, r_win=20:27:3, win=55:101:18, time=442/74024
175: reward=80.98 vs -31.61, winner=red, r_win=20:27:3, win=56:101:18, time=263/74286
176: reward=-29.90 vs 72.50, winner=blue, r_win=20:27:3, win=56:102:18, time=521/74807
177: reward=-34.59 vs 86.03, winner=blue, r_win=19:28:3, win=56:103:18, time=202/75009
178: reward=74.56 vs -28.87, winner=red, r_win=20:27:3, win=57:103:18, time=389/75397
179: reward=-29.91 vs 73.14, winner=blue, r_win=20:28:2, win=57:104:18, time=492/75889
180: reward=-30.71 vs 72.57, winner=blue, r_win=20:28:2, win=57:105:18, time=557/76445
181: reward=-17.57 vs -12.17, winner=draw, r_win=20:28:2, win=57:105:19, time=432/76877
182: reward=76.00 vs -29.50, winner=red, r_win=20:28:2, win=58:105:19, time=359/77236
183: reward=76.20 vs -29.70, winner=red, r_win=21:27:2, win=59:105:19, time=359/77594
184: reward=79.15 vs -30.82, winner=red, r_win=22:26:2, win=60:105:19, time=296/77890
185: reward=-17.27 vs -13.87, winner=draw, r_win=21:26:3, win=60:105:20, time=351/78240
186: reward=-33.29 vs 80.66, winner=blue, r_win=20:27:3, win=60:106:20, time=328/78568
187: reward=-17.58 vs -14.78, winner=draw, r_win=19:27:4, win=60:106:21, time=289/78857
188: reward=-30.51 vs 75.36, winner=blue, r_win=18:28:4, win=60:107:21, time=422/79278
189: reward=79.81 vs -31.32, winner=red, r_win=19:27:4, win=61:107:21, time=291/79569
190: reward=-31.81 vs 78.48, winner=blue, r_win=19:27:4, win=61:108:21, time=353/79921
191: reward=-29.66 vs 71.16, winner=blue, r_win=19:27:4, win=61:109:21, time=576/80497
192: reward=-29.72 vs 69.36, winner=blue, r_win=19:27:4, win=61:110:21, time=682/81179
193: reward=-17.82 vs -15.02, winner=draw, r_win=19:26:5, win=61:110:22, time=266/81444
194: reward=-30.15 vs 73.14, winner=blue, r_win=18:27:5, win=61:111:22, time=503/81947
