123: reward=0.00 vs 20.34, winner=blue, r_win=0:50:0, win=0:123:0, time=74/10841
124: reward=0.00 vs 19.61, winner=blue, r_win=0:50:0, win=0:124:0, time=126/10967
125: reward=0.00 vs 19.59, winner=blue, r_win=0:50:0, win=0:125:0, time=127/11093
126: reward=0.00 vs 19.74, winner=blue, r_win=0:50:0, win=0:126:0, time=116/11209
127: reward=0.00 vs 20.32, winner=blue, r_win=0:50:0, win=0:127:0, time=75/11285
128: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:128:0, time=76/11361
129: reward=0.00 vs 20.39, winner=blue, r_win=0:50:0, win=0:129:0, time=71/11432
130: reward=0.00 vs 20.35, winner=blue, r_win=0:50:0, win=0:130:0, time=73/11505
131: reward=0.00 vs 20.37, winner=blue, r_win=0:50:0, win=0:131:0, time=72/11577
132: reward=0.00 vs 20.35, winner=blue, r_win=0:50:0, win=0:132:0, time=73/11650
133: reward=0.00 vs 20.39, winner=blue, r_win=0:50:0, win=0:133:0, time=71/11720
134: reward=0.00 vs 20.29, winner=blue, r_win=0:50:0, win=0:134:0, time=77/11798
135: reward=0.00 vs 19.80, winner=blue, r_win=0:50:0, win=0:135:0, time=111/11909
136: reward=0.00 vs 20.34, winner=blue, r_win=0:50:0, win=0:136:0, time=74/11983
137: reward=0.00 vs 20.11, winner=blue, r_win=0:50:0, win=0:137:0, time=89/12073
138: reward=0.00 vs 20.40, winner=blue, r_win=0:50:0, win=0:138:0, time=70/12143
139: reward=0.00 vs 19.55, winner=blue, r_win=0:50:0, win=0:139:0, time=94/12236
140: reward=0.00 vs 20.21, winner=blue, r_win=0:50:0, win=0:140:0, time=83/12319
141: reward=0.00 vs 19.67, winner=blue, r_win=0:50:0, win=0:141:0, time=121/12441
142: reward=0.00 vs 19.73, winner=blue, r_win=0:50:0, win=0:142:0, time=117/12558
143: reward=0.00 vs 20.29, winner=blue, r_win=0:50:0, win=0:143:0, time=77/12635
144: reward=0.00 vs 20.34, winner=blue, r_win=0:50:0, win=0:144:0, time=74/12709
145: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:145:0, time=76/12786
146: reward=0.00 vs 20.15, winner=blue, r_win=0:50:0, win=0:146:0, time=87/12873
147: reward=0.00 vs 20.32, winner=blue, r_win=0:50:0, win=0:147:0, time=75/12948
148: reward=0.00 vs 19.62, winner=blue, r_win=0:50:0, win=0:148:0, time=125/13073
149: reward=0.00 vs 19.55, winner=blue, r_win=0:50:0, win=0:149:0, time=130/13203
150: reward=0.00 vs 20.26, winner=blue, r_win=0:50:0, win=0:150:0, time=80/13283
151: reward=0.00 vs 20.26, winner=blue, r_win=0:50:0, win=0:151:0, time=80/13362
152: reward=0.00 vs 19.87, winner=blue, r_win=0:50:0, win=0:152:0, time=107/13469
153: reward=0.00 vs 20.32, winner=blue, r_win=0:50:0, win=0:153:0, time=75/13544
154: reward=0.00 vs 20.24, winner=blue, r_win=0:50:0, win=0:154:0, time=81/13625
155: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:155:0, time=76/13701
156: reward=0.00 vs 19.85, winner=blue, r_win=0:50:0, win=0:156:0, time=108/13810
157: reward=0.00 vs 19.59, winner=blue, r_win=0:50:0, win=0:157:0, time=127/13937
158: reward=0.00 vs 19.82, winner=blue, r_win=0:50:0, win=0:158:0, time=110/14047
159: reward=0.00 vs 19.55, winner=blue, r_win=0:50:0, win=0:159:0, time=94/14141
160: reward=0.00 vs 20.26, winner=blue, r_win=0:50:0, win=0:160:0, time=80/14220
161: reward=0.00 vs 19.71, winner=blue, r_win=0:50:0, win=0:161:0, time=118/14339
162: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:162:0, time=76/14415
163: reward=0.00 vs 20.39, winner=blue, r_win=0:50:0, win=0:163:0, time=71/14486
164: reward=0.00 vs 20.26, winner=blue, r_win=0:50:0, win=0:164:0, time=80/14565
165: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:165:0, time=76/14642
166: reward=0.00 vs 19.68, winner=blue, r_win=0:50:0, win=0:166:0, time=85/14727
167: reward=0.00 vs 19.73, winner=blue, r_win=0:50:0, win=0:167:0, time=117/14844
168: reward=0.00 vs 19.79, winner=blue, r_win=0:50:0, win=0:168:0, time=113/14956
169: reward=0.00 vs 20.26, winner=blue, r_win=0:50:0, win=0:169:0, time=80/15036
