202: reward=-18.46 vs -18.46, winner=draw, r_win=13:24:13, win=35:67:100, time=100/25422
203: reward=-29.15 vs 84.88, winner=blue, r_win=13:24:13, win=35:68:100, time=166/25589
204: reward=-31.01 vs 87.53, winner=blue, r_win=13:25:12, win=35:69:100, time=133/25722
205: reward=95.63 vs -38.45, winner=red, r_win=14:25:11, win=36:69:100, time=82/25804
206: reward=-25.40 vs 81.49, winner=blue, r_win=14:26:10, win=36:70:100, time=197/26001
207: reward=95.52 vs -38.31, winner=red, r_win=14:26:10, win=37:70:100, time=70/26071
208: reward=94.89 vs -37.36, winner=red, r_win=14:26:10, win=38:70:100, time=85/26156
209: reward=-18.30 vs -18.30, winner=draw, r_win=14:26:10, win=38:70:101, time=111/26267
210: reward=95.15 vs -38.26, winner=red, r_win=15:25:10, win=39:70:101, time=88/26356
211: reward=-18.85 vs -18.85, winner=draw, r_win=14:25:11, win=39:70:102, time=73/26429
212: reward=96.03 vs -38.61, winner=red, r_win=14:25:11, win=40:70:102, time=76/26505
213: reward=-25.53 vs 81.82, winner=blue, r_win=13:26:11, win=40:71:102, time=192/26697
214: reward=95.19 vs -38.18, winner=red, r_win=14:25:11, win=41:71:102, time=74/26771
215: reward=-8.05 vs -21.55, winner=draw, r_win=14:25:11, win=41:71:103, time=209/26980
216: reward=-6.37 vs -21.37, winner=draw, r_win=14:24:12, win=41:71:104, time=271/27251
217: reward=92.60 vs -37.14, winner=red, r_win=15:23:12, win=42:71:104, time=110/27361
218: reward=92.69 vs -37.28, winner=red, r_win=16:22:12, win=43:71:104, time=124/27485
219: reward=95.27 vs -38.21, winner=red, r_win=17:22:11, win=44:71:104, time=73/27558
220: reward=-22.40 vs 76.01, winner=blue, r_win=17:23:10, win=44:72:104, time=287/27845
221: reward=95.23 vs -38.29, winner=red, r_win=18:22:10, win=45:72:104, time=87/27932
222: reward=-18.68 vs -18.68, winner=draw, r_win=17:22:11, win=45:72:105, time=85/28017
223: reward=-18.24 vs -18.24, winner=draw, r_win=17:21:12, win=45:72:106, time=116/28133
224: reward=-31.13 vs 85.81, winner=blue, r_win=17:21:12, win=45:73:106, time=168/28301
225: reward=-8.53 vs -20.53, winner=draw, r_win=17:20:13, win=45:73:107, time=212/28512
226: reward=96.03 vs -38.61, winner=red, r_win=18:19:13, win=46:73:107, time=76/28588
227: reward=95.23 vs -38.29, winner=red, r_win=19:19:12, win=47:73:107, time=87/28676
228: reward=92.32 vs -37.13, winner=red, r_win=20:18:12, win=48:73:107, time=129/28805
229: reward=-28.15 vs 84.38, winner=blue, r_win=20:19:11, win=48:74:107, time=166/28971
230: reward=89.14 vs -37.05, winner=red, r_win=21:18:11, win=49:74:107, time=413/29384
231: reward=95.31 vs -38.32, winner=red, r_win=22:17:11, win=50:74:107, time=86/29470
232: reward=-23.50 vs 78.49, winner=blue, r_win=22:17:11, win=50:75:107, time=259/29729
233: reward=95.55 vs -38.42, winner=red, r_win=22:17:11, win=51:75:107, time=83/29812
234: reward=94.52 vs -38.01, winner=red, r_win=23:16:11, win=52:75:107, time=97/29909
235: reward=84.56 vs -28.62, winner=red, r_win=24:15:11, win=53:75:107, time=380/30288
236: reward=92.83 vs -37.23, winner=red, r_win=25:14:11, win=54:75:107, time=107/30396
237: reward=-37.29 vs 92.98, winner=blue, r_win=25:15:10, win=54:76:107, time=105/30500
238: reward=-18.87 vs -18.87, winner=draw, r_win=25:14:11, win=54:76:108, time=72/30572
239: reward=-31.67 vs 89.17, winner=blue, r_win=25:15:10, win=54:77:108, time=109/30682
240: reward=-17.96 vs -17.96, winner=draw, r_win=24:15:11, win=54:77:109, time=100/30782
241: reward=-28.98 vs 86.45, winner=blue, r_win=23:16:11, win=54:78:109, time=135/30917
242: reward=94.91 vs -38.17, winner=red, r_win=24:15:11, win=55:78:109, time=92/31008
243: reward=95.55 vs -38.42, winner=red, r_win=24:15:11, win=56:78:109, time=83/31091
244: reward=95.39 vs -38.36, winner=red, r_win=25:14:11, win=57:78:109, time=85/31176
245: reward=91.88 vs -36.95, winner=red, r_win=26:13:11, win=58:78:109, time=136/31312
246: reward=-8.11 vs -21.61, winner=draw, r_win=25:13:12, win=58:78:110, time=205/31517
247: reward=-26.32 vs 83.80, winner=blue, r_win=25:13:12, win=58:79:110, time=160/31677
248: reward=-18.43 vs -18.43, winner=draw, r_win=25:13:12, win=58:79:111, time=103/31780
249: reward=94.29 vs -37.92, winner=red, r_win=25:13:12, win=59:79:111, time=100/31880
250: reward=93.44 vs -37.58, winner=red, r_win=25:13:12, win=60:79:111, time=113/31993
251: reward=95.76 vs -38.40, winner=red, r_win=26:12:12, win=61:79:111, time=66/32059
252: reward=95.84 vs -38.44, winner=red, r_win=27:12:11, win=62:79:111, time=65/32125
253: reward=-35.95 vs 91.87, winner=blue, r_win=27:12:11, win=62:80:111, time=99/32224
254: reward=-5.62 vs -22.12, winner=draw, r_win=27:11:12, win=62:80:112, time=248/32472
255: reward=93.14 vs -37.46, winner=red, r_win=27:11:12, win=63:80:112, time=117/32589
256: reward=95.87 vs -38.55, winner=red, r_win=28:10:12, win=64:80:112, time=78/32667
257: reward=95.95 vs -38.58, winner=red, r_win=28:10:12, win=65:80:112, time=77/32745
258: reward=-18.17 vs -18.17, winner=draw, r_win=27:10:13, win=65:80:113, time=121/32866
259: reward=93.90 vs -37.76, winner=red, r_win=28:10:12, win=66:80:113, time=106/32972
260: reward=95.47 vs -38.39, winner=red, r_win=28:10:12, win=67:80:113, time=84/33056
261: reward=-24.78 vs 79.94, winner=blue, r_win=28:11:11, win=67:81:113, time=224/33280
262: reward=95.19 vs -38.18, winner=red, r_win=28:11:11, win=68:81:113, time=74/33354
263: reward=-9.40 vs -19.90, winner=draw, r_win=28:10:12, win=68:81:114, time=181/33535
264: reward=92.25 vs -37.10, winner=red, r_win=28:10:12, win=69:81:114, time=130/33665
265: reward=95.95 vs -38.58, winner=red, r_win=29:10:11, win=70:81:114, time=77/33742
266: reward=94.99 vs -38.20, winner=red, r_win=30:10:10, win=71:81:114, time=91/33833
267: reward=-31.25 vs 88.12, winner=blue, r_win=29:11:10, win=71:82:114, time=125/33958
268: reward=93.37 vs -37.55, winner=red, r_win=29:11:10, win=72:82:114, time=114/34071
269: reward=95.35 vs -38.24, winner=red, r_win=29:11:10, win=73:82:114, time=72/34143
270: reward=-25.83 vs 82.07, winner=blue, r_win=29:11:10, win=73:83:114, time=221/34365
271: reward=91.92 vs -36.87, winner=red, r_win=29:11:10, win=74:83:114, time=120/34485
272: reward=-24.98 vs 80.45, winner=blue, r_win=29:12:9, win=74:84:114, time=215/34700
273: reward=96.71 vs -38.98, winner=red, r_win=30:12:8, win=75:84:114, time=81/34781
274: reward=95.79 vs -38.52, winner=red, r_win=31:11:8, win=76:84:114, time=80/34860
275: reward=96.19 vs -38.68, winner=red, r_win=32:11:7, win=77:84:114, time=74/34934
276: reward=96.03 vs -38.61, winner=red, r_win=32:11:7, win=78:84:114, time=76/35011
277: reward=-18.26 vs -18.26, winner=draw, r_win=31:11:8, win=78:84:115, time=115/35125
278: reward=96.03 vs -38.61, winner=red, r_win=31:11:8, win=79:84:115, time=76/35202
279: reward=95.93 vs -38.47, winner=red, r_win=32:10:8, win=80:84:115, time=64/35266
280: reward=93.60 vs -37.64, winner=red, r_win=32:10:8, win=81:84:115, time=110/35376
281: reward=96.03 vs -38.61, winner=red, r_win=32:10:8, win=82:84:115, time=76/35453
282: reward=95.87 vs -38.55, winner=red, r_win=33:9:8, win=83:84:115, time=78/35531
283: reward=-22.16 vs 75.40, winner=blue, r_win=32:10:8, win=83:85:115, time=299/35830
284: reward=-24.37 vs 80.92, winner=blue, r_win=31:11:8, win=83:86:115, time=198/36028
285: reward=95.31 vs -38.32, winner=red, r_win=31:11:8, win=84:86:115, time=86/36114
286: reward=95.39 vs -38.36, winner=red, r_win=31:11:8, win=85:86:115, time=85/36199
287: reward=95.43 vs -38.27, winner=red, r_win=32:10:8, win=86:86:115, time=71/36270
288: reward=95.31 vs -38.32, winner=red, r_win=33:10:7, win=87:86:115, time=86/36356
289: reward=95.71 vs -38.48, winner=red, r_win=34:9:7, win=88:86:115, time=81/36437
290: reward=-24.70 vs 79.75, winner=blue, r_win=34:10:6, win=88:87:115, time=227/36664
291: reward=95.03 vs -38.11, winner=red, r_win=35:9:6, win=89:87:115, time=76/36740
292: reward=95.19 vs -38.18, winner=red, r_win=35:9:6, win=90:87:115, time=74/36815
293: reward=95.95 vs -38.58, winner=red, r_win=35:9:6, win=91:87:115, time=77/36892
294: reward=95.84 vs -38.44, winner=red, r_win=35:9:6, win=92:87:115, time=65/36957
295: reward=95.76 vs -38.40, winner=red, r_win=35:9:6, win=93:87:115, time=66/37024
