163: reward=0.15 vs 1.50, winner=draw, r_win=6:31:13, win=13:102:48, time=78/19510
164: reward=1.23 vs 91.88, winner=blue, r_win=6:32:12, win=13:103:48, time=142/19652
165: reward=0.21 vs 91.83, winner=blue, r_win=6:32:12, win=13:104:48, time=142/19794
166: reward=94.15 vs 1.83, winner=red, r_win=7:32:11, win=14:104:48, time=98/19893
167: reward=1.21 vs 2.18, winner=draw, r_win=7:32:11, win=14:104:49, time=99/19992
168: reward=1.21 vs 93.22, winner=blue, r_win=7:32:11, win=14:105:49, time=119/20111
169: reward=2.08 vs 91.01, winner=blue, r_win=7:33:10, win=14:106:49, time=159/20270
170: reward=1.71 vs 91.88, winner=blue, r_win=7:33:10, win=14:107:49, time=142/20412
171: reward=1.71 vs 92.61, winner=blue, r_win=7:33:10, win=14:108:49, time=131/20544
172: reward=0.15 vs 93.05, winner=blue, r_win=7:33:10, win=14:109:49, time=118/20662
173: reward=1.73 vs 2.60, winner=draw, r_win=7:32:11, win=14:109:50, time=140/20802
174: reward=2.06 vs 91.86, winner=blue, r_win=7:33:10, win=14:110:50, time=148/20950
175: reward=2.06 vs 92.44, winner=blue, r_win=7:34:9, win=14:111:50, time=137/21087
176: reward=0.21 vs 93.30, winner=blue, r_win=7:35:8, win=14:112:50, time=120/21207
177: reward=1.73 vs 91.50, winner=blue, r_win=7:35:8, win=14:113:50, time=153/21360
178: reward=0.15 vs 93.76, winner=blue, r_win=6:36:8, win=14:114:50, time=107/21467
179: reward=1.21 vs 91.44, winner=blue, r_win=6:36:8, win=14:115:50, time=149/21616
180: reward=1.71 vs 2.43, winner=draw, r_win=6:35:9, win=14:115:51, time=126/21742
181: reward=0.18 vs 93.25, winner=blue, r_win=6:35:9, win=14:116:51, time=118/21860
182: reward=1.23 vs 93.27, winner=blue, r_win=5:36:9, win=14:117:51, time=121/21981
183: reward=1.18 vs 93.38, winner=blue, r_win=5:37:8, win=14:118:51, time=117/22098
184: reward=1.68 vs 92.44, winner=blue, r_win=5:37:8, win=14:119:51, time=131/22230
185: reward=1.21 vs 92.09, winner=blue, r_win=5:37:8, win=14:120:51, time=139/22369
186: reward=92.63 vs 1.83, winner=red, r_win=6:36:8, win=15:120:51, time=113/22481
187: reward=2.34 vs 2.80, winner=draw, r_win=6:35:9, win=15:120:52, time=148/22629
188: reward=2.33 vs 90.48, winner=blue, r_win=6:35:9, win=15:121:52, time=170/22799
189: reward=1.15 vs 93.63, winner=blue, r_win=6:35:9, win=15:122:52, time=105/22904
190: reward=1.21 vs 92.77, winner=blue, r_win=6:35:9, win=15:123:52, time=131/23035
191: reward=1.68 vs 92.04, winner=blue, r_win=6:36:8, win=15:124:52, time=137/23172
192: reward=1.15 vs 94.68, winner=blue, r_win=6:36:8, win=15:125:52, time=98/23270
193: reward=1.21 vs 2.18, winner=draw, r_win=6:35:9, win=15:125:53, time=102/23372
194: reward=0.15 vs 94.24, winner=blue, r_win=6:36:8, win=15:126:53, time=104/23476
195: reward=1.25 vs 91.11, winner=blue, r_win=6:36:8, win=15:127:53, time=157/23632
196: reward=1.18 vs 93.00, winner=blue, r_win=6:36:8, win=15:128:53, time=122/23755
197: reward=95.21 vs 1.00, winner=red, r_win=7:36:7, win=16:128:53, time=76/23831
198: reward=1.15 vs 92.90, winner=blue, r_win=6:37:7, win=16:129:53, time=120/23951
199: reward=92.52 vs 1.93, winner=red, r_win=7:36:7, win=17:129:53, time=121/24073
200: reward=1.23 vs 93.22, winner=blue, r_win=7:36:7, win=17:130:53, time=125/24197
201: reward=92.58 vs 1.98, winner=red, r_win=7:36:7, win=18:130:53, time=126/24323
202: reward=1.75 vs 91.43, winner=blue, r_win=7:36:7, win=18:131:53, time=154/24478
203: reward=0.10 vs 1.00, winner=draw, r_win=7:35:8, win=18:131:54, time=85/24563
204: reward=95.67 vs 1.00, winner=red, r_win=8:34:8, win=19:131:54, time=70/24632
205: reward=0.18 vs 94.78, winner=blue, r_win=8:34:8, win=19:132:54, time=96/24729
206: reward=1.18 vs 93.98, winner=blue, r_win=7:35:8, win=19:133:54, time=108/24837
207: reward=0.21 vs 90.98, winner=blue, r_win=7:35:8, win=19:134:54, time=152/24989
208: reward=1.68 vs 1.98, winner=draw, r_win=7:35:8, win=19:134:55, time=108/25097
209: reward=1.73 vs 93.14, winner=blue, r_win=7:35:8, win=19:135:55, time=126/25223
210: reward=0.18 vs 94.06, winner=blue, r_win=7:35:8, win=19:136:55, time=109/25332
211: reward=95.26 vs 1.50, winner=red, r_win=7:35:8, win=20:136:55, time=75/25407
212: reward=2.53 vs 91.56, winner=blue, r_win=7:35:8, win=20:137:55, time=153/25561
213: reward=1.21 vs 93.20, winner=blue, r_win=7:36:7, win=20:138:55, time=122/25683
