125: reward=1.00 vs 91.75, reward_evade=1.00 vs 1.00, win=0 vs 125, recent_win=0 vs 50, draw=0, winner=blue, time=108/16392
126: reward=1.50 vs 90.81, reward_evade=1.50 vs 1.00, win=0 vs 126, recent_win=0 vs 50, draw=0, winner=blue, time=137/16528
127: reward=1.50 vs 89.30, reward_evade=1.50 vs 1.00, win=0 vs 127, recent_win=0 vs 50, draw=0, winner=blue, time=144/16673
128: reward=1.50 vs 87.61, reward_evade=1.50 vs 1.00, win=0 vs 128, recent_win=0 vs 50, draw=0, winner=blue, time=171/16844
129: reward=2.08 vs 90.92, reward_evade=2.08 vs 1.00, win=0 vs 129, recent_win=0 vs 50, draw=0, winner=blue, time=120/16964
130: reward=1.00 vs 90.62, reward_evade=1.00 vs 1.00, win=0 vs 130, recent_win=0 vs 50, draw=0, winner=blue, time=125/17089
131: reward=1.50 vs 92.52, reward_evade=1.50 vs 1.00, win=0 vs 131, recent_win=0 vs 50, draw=0, winner=blue, time=97/17186
132: reward=2.45 vs 86.12, reward_evade=2.45 vs 1.00, win=0 vs 132, recent_win=0 vs 50, draw=0, winner=blue, time=195/17381
133: reward=1.83 vs 88.73, reward_evade=1.83 vs 1.00, win=0 vs 133, recent_win=0 vs 50, draw=0, winner=blue, time=153/17534
134: reward=2.08 vs 90.03, reward_evade=2.08 vs 1.00, win=0 vs 134, recent_win=0 vs 50, draw=0, winner=blue, time=133/17668
135: reward=1.00 vs 90.73, reward_evade=1.00 vs 1.00, win=0 vs 135, recent_win=0 vs 50, draw=0, winner=blue, time=138/17806
136: reward=1.50 vs 92.60, reward_evade=1.50 vs 1.00, win=0 vs 136, recent_win=0 vs 50, draw=0, winner=blue, time=96/17902
137: reward=2.28 vs 89.95, reward_evade=2.28 vs 1.00, win=0 vs 137, recent_win=0 vs 50, draw=0, winner=blue, time=135/18036
138: reward=2.28 vs 92.29, reward_evade=2.28 vs 1.00, win=0 vs 138, recent_win=0 vs 50, draw=0, winner=blue, time=115/18151
139: reward=1.50 vs 91.37, reward_evade=1.50 vs 1.00, win=0 vs 139, recent_win=0 vs 50, draw=0, winner=blue, time=114/18265
140: reward=1.00 vs 90.17, reward_evade=1.00 vs 1.00, win=0 vs 140, recent_win=0 vs 50, draw=0, winner=blue, time=131/18396
141: reward=2.08 vs 88.51, reward_evade=2.08 vs 1.00, win=0 vs 141, recent_win=0 vs 50, draw=0, winner=blue, time=157/18553
142: reward=2.08 vs 90.44, reward_evade=2.08 vs 1.00, win=0 vs 142, recent_win=0 vs 50, draw=0, winner=blue, time=142/18695
143: reward=1.50 vs 90.95, reward_evade=1.50 vs 1.00, win=0 vs 143, recent_win=0 vs 50, draw=0, winner=blue, time=135/18830
144: reward=1.50 vs 94.71, reward_evade=1.50 vs 1.00, win=0 vs 144, recent_win=0 vs 50, draw=0, winner=blue, time=81/18910
145: reward=1.50 vs 89.66, reward_evade=1.50 vs 1.00, win=0 vs 145, recent_win=0 vs 50, draw=0, winner=blue, time=139/19049
146: reward=2.28 vs 87.88, reward_evade=2.28 vs 1.00, win=0 vs 146, recent_win=0 vs 50, draw=0, winner=blue, time=166/19216
147: reward=1.00 vs 88.51, reward_evade=1.00 vs 1.00, win=0 vs 147, recent_win=0 vs 50, draw=0, winner=blue, time=157/19373
148: reward=1.83 vs 90.77, reward_evade=1.83 vs 1.00, win=0 vs 148, recent_win=0 vs 50, draw=0, winner=blue, time=122/19495
149: reward=1.00 vs 90.32, reward_evade=1.00 vs 1.00, win=0 vs 149, recent_win=0 vs 50, draw=0, winner=blue, time=129/19624
150: reward=1.00 vs 91.83, reward_evade=1.00 vs 1.00, win=0 vs 150, recent_win=0 vs 50, draw=0, winner=blue, time=107/19731
151: reward=2.45 vs 91.83, reward_evade=2.45 vs 1.00, win=0 vs 150, recent_win=0 vs 49, draw=1, winner=draw, time=199/19931
152: reward=1.00 vs 90.62, reward_evade=1.00 vs 1.00, win=0 vs 151, recent_win=0 vs 49, draw=1, winner=blue, time=125/20055
153: reward=1.00 vs 93.37, reward_evade=1.00 vs 1.00, win=0 vs 152, recent_win=0 vs 49, draw=1, winner=blue, time=99/20155
154: reward=1.50 vs 88.66, reward_evade=1.50 vs 1.00, win=0 vs 153, recent_win=0 vs 49, draw=1, winner=blue, time=154/20309
155: reward=1.00 vs 89.52, reward_evade=1.00 vs 1.00, win=0 vs 154, recent_win=0 vs 49, draw=1, winner=blue, time=141/20450
156: reward=1.00 vs 94.87, reward_evade=1.00 vs 1.00, win=0 vs 155, recent_win=0 vs 49, draw=1, winner=blue, time=78/20529
157: reward=1.00 vs 89.58, reward_evade=1.00 vs 1.00, win=0 vs 156, recent_win=0 vs 49, draw=1, winner=blue, time=155/20684
158: reward=1.00 vs 91.14, reward_evade=1.00 vs 1.00, win=0 vs 157, recent_win=0 vs 49, draw=1, winner=blue, time=117/20801
159: reward=1.50 vs 89.66, reward_evade=1.50 vs 1.00, win=0 vs 158, recent_win=0 vs 49, draw=1, winner=blue, time=139/20940
160: reward=1.00 vs 91.17, reward_evade=1.00 vs 1.00, win=0 vs 159, recent_win=0 vs 49, draw=1, winner=blue, time=131/21072
161: reward=1.83 vs 89.95, reward_evade=1.83 vs 1.00, win=0 vs 160, recent_win=0 vs 49, draw=1, winner=blue, time=135/21206
