122: reward=95.83 vs 1.00, winner=red, r_win=23:2:25, win=59:3:60, time=68/10167
123: reward=0.10 vs 1.00, winner=draw, r_win=22:2:26, win=59:3:61, time=59/10226
124: reward=95.83 vs 1.00, winner=red, r_win=22:2:26, win=60:3:61, time=68/10294
125: reward=95.39 vs 1.50, winner=red, r_win=23:2:25, win=61:3:61, time=81/10375
126: reward=0.15 vs 1.50, winner=draw, r_win=23:2:25, win=61:3:62, time=86/10461
127: reward=92.90 vs 1.00, winner=red, r_win=23:2:25, win=62:3:62, time=108/10569
128: reward=0.15 vs 1.50, winner=draw, r_win=22:2:26, win=62:3:63, time=71/10640
129: reward=94.57 vs 1.50, winner=red, r_win=22:2:26, win=63:3:63, time=85/10725
130: reward=94.94 vs 1.60, winner=red, r_win=23:2:25, win=64:3:63, time=87/10812
131: reward=95.75 vs 1.00, winner=red, r_win=24:2:24, win=65:3:63, time=69/10881
132: reward=92.82 vs 1.00, winner=red, r_win=24:2:24, win=66:3:63, time=109/10990
133: reward=0.15 vs 1.50, winner=draw, r_win=23:2:25, win=66:3:64, time=87/11077
134: reward=95.91 vs 1.00, winner=red, r_win=23:2:25, win=67:3:64, time=66/11144
135: reward=92.17 vs 1.50, winner=red, r_win=24:2:24, win=68:3:64, time=119/11263
136: reward=93.59 vs 1.50, winner=red, r_win=25:2:23, win=69:3:64, time=98/11361
137: reward=0.15 vs 1.50, winner=draw, r_win=25:2:23, win=69:3:65, time=62/11423
138: reward=0.15 vs 1.50, winner=draw, r_win=24:2:24, win=69:3:66, time=89/11513
139: reward=95.58 vs 1.00, winner=red, r_win=24:2:24, win=70:3:66, time=71/11584
140: reward=95.75 vs 1.00, winner=red, r_win=24:2:24, win=71:3:66, time=69/11652
141: reward=0.15 vs 1.00, winner=draw, r_win=24:2:24, win=71:3:67, time=103/11755
142: reward=95.99 vs 1.00, winner=red, r_win=25:2:23, win=72:3:67, time=65/11820
143: reward=0.15 vs 1.50, winner=draw, r_win=25:2:23, win=72:3:68, time=62/11883
144: reward=0.18 vs 1.83, winner=draw, r_win=24:2:24, win=72:3:69, time=100/11983
145: reward=0.15 vs 1.50, winner=draw, r_win=23:2:25, win=72:3:70, time=65/12048
146: reward=95.28 vs 1.50, winner=red, r_win=23:2:25, win=73:3:70, time=82/12130
147: reward=0.10 vs 1.00, winner=draw, r_win=23:1:26, win=73:3:71, time=59/12189
148: reward=0.10 vs 1.00, winner=draw, r_win=23:1:26, win=73:3:72, time=59/12249
149: reward=93.24 vs 1.50, winner=red, r_win=23:1:26, win=74:3:72, time=104/12352
150: reward=94.99 vs 1.50, winner=red, r_win=24:1:25, win=75:3:72, time=86/12439
151: reward=92.98 vs 1.50, winner=red, r_win=25:1:24, win=76:3:72, time=107/12546
152: reward=95.75 vs 1.00, winner=red, r_win=26:1:23, win=77:3:72, time=69/12614
153: reward=93.75 vs 1.50, winner=red, r_win=27:1:22, win=78:3:72, time=96/12710
154: reward=94.65 vs 1.50, winner=red, r_win=28:1:21, win=79:3:72, time=84/12794
155: reward=93.67 vs 1.50, winner=red, r_win=29:1:20, win=80:3:72, time=97/12892
156: reward=0.15 vs 95.72, winner=blue, r_win=29:2:19, win=80:4:72, time=80/12971
157: reward=95.44 vs 1.50, winner=red, r_win=30:2:18, win=81:4:72, time=80/13051
158: reward=0.15 vs 1.50, winner=draw, r_win=30:2:18, win=81:4:73, time=70/13120
159: reward=0.15 vs 1.50, winner=draw, r_win=30:1:19, win=81:4:74, time=75/13196
160: reward=0.10 vs 1.00, winner=draw, r_win=29:1:20, win=81:4:75, time=51/13247
161: reward=96.33 vs 1.00, winner=red, r_win=29:1:20, win=82:4:75, time=60/13307
162: reward=96.17 vs 1.00, winner=red, r_win=29:1:20, win=83:4:75, time=70/13377
163: reward=0.10 vs 1.00, winner=draw, r_win=29:1:20, win=83:4:76, time=53/13430
164: reward=0.10 vs 1.00, winner=draw, r_win=28:1:21, win=83:4:77, time=52/13482
