97: reward=1.00 vs 19.56, winner=blue, r_win=0:50:0, win=0:96:1, time=104/11780
98: reward=0.00 vs 19.61, winner=blue, r_win=0:50:0, win=0:97:1, time=89/11870
99: reward=0.00 vs 19.84, winner=blue, r_win=0:50:0, win=0:98:1, time=74/11944
100: reward=1.50 vs 18.62, winner=blue, r_win=0:50:0, win=0:99:1, time=175/12119
101: reward=0.00 vs 19.57, winner=blue, r_win=0:50:0, win=0:100:1, time=99/12218
102: reward=2.18 vs 18.93, winner=blue, r_win=0:50:0, win=0:101:1, time=155/12374
103: reward=0.00 vs 19.81, winner=blue, r_win=0:50:0, win=0:102:1, time=76/12450
104: reward=1.00 vs 17.85, winner=blue, r_win=0:50:0, win=0:103:1, time=157/12607
105: reward=0.00 vs 19.61, winner=blue, r_win=0:50:0, win=0:104:1, time=89/12696
106: reward=0.00 vs 19.60, winner=blue, r_win=0:50:0, win=0:105:1, time=91/12787
107: reward=1.00 vs 18.93, winner=blue, r_win=0:50:0, win=0:106:1, time=147/12934
108: reward=1.50 vs 18.09, winner=blue, r_win=0:50:0, win=0:107:1, time=141/13075
109: reward=1.60 vs 19.71, winner=blue, r_win=0:50:0, win=0:108:1, time=129/13204
110: reward=0.00 vs 18.78, winner=blue, r_win=0:50:0, win=0:109:1, time=85/13289
111: reward=0.00 vs 19.87, winner=blue, r_win=0:50:0, win=0:110:1, time=72/13361
112: reward=2.45 vs 17.70, winner=blue, r_win=0:50:0, win=0:111:1, time=176/13537
113: reward=1.83 vs 18.04, winner=blue, r_win=0:50:0, win=0:112:1, time=144/13682
114: reward=2.45 vs 17.48, winner=blue, r_win=0:50:0, win=0:113:1, time=194/13876
115: reward=0.00 vs 19.23, winner=blue, r_win=0:50:0, win=0:114:1, time=117/13993
116: reward=1.83 vs 18.34, winner=blue, r_win=0:50:0, win=0:115:1, time=122/14115
117: reward=0.00 vs 19.48, winner=blue, r_win=0:50:0, win=0:116:1, time=106/14221
118: reward=1.83 vs 18.07, winner=blue, r_win=0:50:0, win=0:117:1, time=142/14364
119: reward=0.00 vs 18.99, winner=blue, r_win=0:50:0, win=0:118:1, time=142/14506
120: reward=1.00 vs 18.48, winner=blue, r_win=0:50:0, win=0:119:1, time=109/14615
121: reward=1.00 vs 18.21, winner=blue, r_win=0:50:0, win=0:120:1, time=129/14744
122: reward=1.00 vs 18.08, winner=blue, r_win=0:50:0, win=0:121:1, time=139/14883
123: reward=0.00 vs 19.63, winner=blue, r_win=0:50:0, win=0:122:1, time=88/14972
124: reward=0.00 vs 18.80, winner=blue, r_win=0:50:0, win=0:123:1, time=87/15059
125: reward=0.00 vs 19.55, winner=blue, r_win=0:50:0, win=0:124:1, time=105/15164
126: reward=1.50 vs 18.50, winner=blue, r_win=0:50:0, win=0:125:1, time=108/15272
127: reward=0.00 vs 19.87, winner=blue, r_win=0:50:0, win=0:126:1, time=72/15344
128: reward=1.00 vs 18.35, winner=blue, r_win=0:50:0, win=0:127:1, time=119/15463
129: reward=1.50 vs 18.07, winner=blue, r_win=0:50:0, win=0:128:1, time=142/15606
130: reward=1.83 vs 18.32, winner=blue, r_win=0:50:0, win=0:129:1, time=124/15729
131: reward=2.28 vs 17.85, winner=blue, r_win=0:50:0, win=0:130:1, time=163/15892
132: reward=1.71 vs 19.48, winner=blue, r_win=0:50:0, win=0:131:1, time=193/16085
