87: reward=5.25 vs 1.60, win=1 vs 81, recent_win=1 vs 48, draw=5, winner=blue, time=939/26567
88: reward=5.95 vs 1.80, win=1 vs 82, recent_win=1 vs 48, draw=5, winner=blue, time=976/27543
89: reward=1.05 vs 2.40, win=1 vs 83, recent_win=1 vs 48, draw=5, winner=blue, time=607/28149
90: reward=2.95 vs 2.40, win=1 vs 84, recent_win=1 vs 48, draw=5, winner=blue, time=650/28799
91: reward=3.20 vs 2.40, win=1 vs 85, recent_win=1 vs 48, draw=5, winner=blue, time=585/29384
92: reward=7.50 vs 1.60, win=1 vs 86, recent_win=1 vs 48, draw=5, winner=blue, time=767/30150
93: reward=4.00 vs 2.40, win=1 vs 87, recent_win=1 vs 49, draw=5, winner=blue, time=616/30766
94: reward=6.85 vs 3.00, win=1 vs 88, recent_win=1 vs 49, draw=5, winner=blue, time=795/31560
95: reward=1.70 vs 2.80, win=1 vs 89, recent_win=1 vs 49, draw=5, winner=blue, time=143/31704
96: reward=6.30 vs 2.20, win=1 vs 90, recent_win=1 vs 49, draw=5, winner=blue, time=543/32246
97: reward=1.40 vs 2.70, win=1 vs 91, recent_win=1 vs 49, draw=5, winner=blue, time=414/32660
98: reward=0.95 vs 2.70, win=1 vs 92, recent_win=1 vs 49, draw=5, winner=blue, time=342/33002
99: reward=0.85 vs 2.70, win=1 vs 93, recent_win=0 vs 50, draw=5, winner=blue, time=393/33394
100: reward=5.15 vs 2.10, win=1 vs 94, recent_win=0 vs 50, draw=5, winner=blue, time=743/34137
101: reward=3.65 vs 2.50, win=1 vs 95, recent_win=0 vs 50, draw=5, winner=blue, time=456/34592
102: reward=0.60 vs 3.80, win=1 vs 96, recent_win=0 vs 50, draw=5, winner=blue, time=118/34710
103: reward=3.05 vs 2.60, win=1 vs 97, recent_win=0 vs 50, draw=5, winner=blue, time=447/35157
104: reward=2.65 vs 2.50, win=1 vs 98, recent_win=0 vs 50, draw=5, winner=blue, time=442/35599
105: reward=2.50 vs 2.70, win=1 vs 99, recent_win=0 vs 50, draw=5, winner=blue, time=355/35953
106: reward=1.50 vs 2.80, win=1 vs 100, recent_win=0 vs 50, draw=5, winner=blue, time=125/36078
107: reward=1.35 vs 2.70, win=1 vs 101, recent_win=0 vs 50, draw=5, winner=blue, time=397/36475
108: reward=4.00 vs 2.40, win=1 vs 102, recent_win=0 vs 50, draw=5, winner=blue, time=536/37010
109: reward=4.30 vs 2.40, win=1 vs 103, recent_win=0 vs 50, draw=5, winner=blue, time=701/37711
110: reward=5.25 vs 2.40, win=1 vs 104, recent_win=0 vs 50, draw=5, winner=blue, time=440/38150
111: reward=5.15 vs 2.40, win=1 vs 105, recent_win=0 vs 50, draw=5, winner=blue, time=456/38606
112: reward=2.15 vs 2.70, win=1 vs 106, recent_win=0 vs 50, draw=5, winner=blue, time=263/38869
113: reward=1.30 vs 4.80, win=1 vs 107, recent_win=0 vs 50, draw=5, winner=blue, time=135/39003
114: reward=1.60 vs 2.80, win=1 vs 108, recent_win=0 vs 50, draw=5, winner=blue, time=127/39130
115: reward=7.55 vs 2.20, win=1 vs 109, recent_win=0 vs 50, draw=5, winner=blue, time=504/39634
116: reward=0.70 vs 3.90, win=1 vs 110, recent_win=0 vs 50, draw=5, winner=blue, time=157/39790
117: reward=0.65 vs 3.90, win=1 vs 111, recent_win=0 vs 50, draw=5, winner=blue, time=130/39920
118: reward=1.60 vs 4.80, win=1 vs 112, recent_win=0 vs 50, draw=5, winner=blue, time=165/40086
119: reward=0.55 vs 3.90, win=1 vs 113, recent_win=0 vs 50, draw=5, winner=blue, time=137/40223
120: reward=1.70 vs 2.80, win=1 vs 114, recent_win=0 vs 50, draw=5, winner=blue, time=121/40344
121: reward=1.65 vs 2.80, win=1 vs 115, recent_win=0 vs 50, draw=5, winner=blue, time=120/40464
