64: reward=2.00 vs 89.64, reward_evade=2.00 vs 1.00, win=0 vs 40, recent_win=0 vs 31, draw=24, winner=blue, time=150/8116
65: reward=2.00 vs 1.00, reward_evade=2.00 vs 1.00, win=0 vs 40, recent_win=0 vs 30, draw=25, winner=draw, time=77/8193
66: reward=1.00 vs 90.53, reward_evade=1.00 vs 1.00, win=0 vs 41, recent_win=0 vs 30, draw=25, winner=blue, time=138/8331
67: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=0 vs 41, recent_win=0 vs 29, draw=26, winner=draw, time=141/8473
68: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=0 vs 41, recent_win=0 vs 29, draw=27, winner=draw, time=89/8562
69: reward=4.00 vs 90.48, reward_evade=4.00 vs 1.00, win=0 vs 42, recent_win=0 vs 29, draw=27, winner=blue, time=136/8698
70: reward=1.00 vs 91.42, reward_evade=1.00 vs 1.00, win=0 vs 43, recent_win=0 vs 30, draw=27, winner=blue, time=125/8822
71: reward=2.00 vs 92.93, reward_evade=2.00 vs 1.00, win=0 vs 44, recent_win=0 vs 30, draw=27, winner=blue, time=103/8925
72: reward=2.00 vs 1.00, reward_evade=2.00 vs 1.00, win=0 vs 44, recent_win=0 vs 30, draw=28, winner=draw, time=100/9026
73: reward=2.00 vs 90.10, reward_evade=2.00 vs 1.00, win=0 vs 45, recent_win=0 vs 31, draw=28, winner=blue, time=144/9170
74: reward=3.00 vs 88.76, reward_evade=3.00 vs 1.00, win=0 vs 46, recent_win=0 vs 31, draw=28, winner=blue, time=162/9332
75: reward=3.00 vs 1.00, reward_evade=3.00 vs 1.00, win=0 vs 46, recent_win=0 vs 30, draw=29, winner=draw, time=74/9406
76: reward=1.00 vs 0.90, reward_evade=1.00 vs 1.00, win=0 vs 46, recent_win=0 vs 29, draw=30, winner=draw, time=86/9493
77: reward=2.00 vs 0.80, reward_evade=2.00 vs 1.00, win=0 vs 46, recent_win=0 vs 29, draw=31, winner=draw, time=150/9643
78: reward=1.00 vs 91.64, reward_evade=1.00 vs 1.00, win=0 vs 47, recent_win=0 vs 30, draw=31, winner=blue, time=121/9764
79: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=0 vs 47, recent_win=0 vs 30, draw=32, winner=draw, time=129/9893
80: reward=1.00 vs 91.79, reward_evade=1.00 vs 1.00, win=0 vs 48, recent_win=0 vs 30, draw=32, winner=blue, time=119/10012
81: reward=2.00 vs 91.92, reward_evade=2.00 vs 1.00, win=0 vs 49, recent_win=0 vs 31, draw=32, winner=blue, time=116/10128
82: reward=1.00 vs 0.90, reward_evade=1.00 vs 1.00, win=0 vs 49, recent_win=0 vs 31, draw=33, winner=draw, time=114/10242
83: reward=1.00 vs 0.90, reward_evade=1.00 vs 1.00, win=0 vs 49, recent_win=0 vs 31, draw=34, winner=draw, time=127/10369
84: reward=2.00 vs 0.90, reward_evade=1.00 vs 1.00, win=0 vs 49, recent_win=0 vs 30, draw=35, winner=draw, time=95/10464
85: reward=4.00 vs 90.70, reward_evade=4.00 vs 1.00, win=0 vs 50, recent_win=0 vs 30, draw=35, winner=blue, time=132/10596
86: reward=1.00 vs 91.19, reward_evade=1.00 vs 1.00, win=0 vs 51, recent_win=0 vs 31, draw=35, winner=blue, time=128/10724
87: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=0 vs 51, recent_win=0 vs 30, draw=36, winner=draw, time=76/10800
88: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=0 vs 51, recent_win=0 vs 29, draw=37, winner=draw, time=78/10879
89: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=0 vs 51, recent_win=0 vs 28, draw=38, winner=draw, time=70/10949
90: reward=1.00 vs 0.90, reward_evade=1.00 vs 1.00, win=0 vs 51, recent_win=0 vs 28, draw=39, winner=draw, time=136/11084
91: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=0 vs 51, recent_win=0 vs 28, draw=40, winner=draw, time=86/11171
92: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=0 vs 51, recent_win=0 vs 27, draw=41, winner=draw, time=85/11256
93: reward=4.00 vs 90.45, reward_evade=4.00 vs 1.00, win=0 vs 52, recent_win=0 vs 27, draw=41, winner=blue, time=135/11390
94: reward=4.00 vs 90.45, reward_evade=4.00 vs 1.00, win=0 vs 52, recent_win=0 vs 27, draw=42, winner=draw, time=73/11463
95: reward=7.00 vs 83.62, reward_evade=7.00 vs 1.00, win=0 vs 53, recent_win=0 vs 27, draw=42, winner=blue, time=243/11707
96: reward=5.00 vs 86.13, reward_evade=5.00 vs 1.00, win=0 vs 54, recent_win=0 vs 28, draw=42, winner=blue, time=202/11908
97: reward=5.00 vs 88.08, reward_evade=5.00 vs 1.00, win=0 vs 55, recent_win=0 vs 28, draw=42, winner=blue, time=170/12078
98: reward=3.00 vs 92.14, reward_evade=3.00 vs 1.00, win=0 vs 56, recent_win=0 vs 28, draw=42, winner=blue, time=113/12191
99: reward=2.00 vs 90.95, reward_evade=2.00 vs 1.00, win=0 vs 57, recent_win=0 vs 29, draw=42, winner=blue, time=130/12321
100: reward=1.00 vs 92.32, reward_evade=1.00 vs 1.00, win=0 vs 58, recent_win=0 vs 29, draw=42, winner=blue, time=111/12433
101: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=0 vs 58, recent_win=0 vs 28, draw=43, winner=draw, time=94/12526
102: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=0 vs 58, recent_win=0 vs 27, draw=44, winner=draw, time=96/12623
103: reward=2.00 vs 0.80, reward_evade=2.00 vs 1.00, win=0 vs 58, recent_win=0 vs 27, draw=45, winner=draw, time=151/12774
104: reward=1.00 vs 90.83, reward_evade=1.00 vs 1.00, win=0 vs 59, recent_win=0 vs 27, draw=45, winner=blue, time=133/12907
105: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=0 vs 59, recent_win=0 vs 27, draw=46, winner=draw, time=108/13015
106: reward=2.00 vs 0.80, reward_evade=2.00 vs 1.00, win=0 vs 59, recent_win=0 vs 27, draw=47, winner=draw, time=115/13130
107: reward=1.00 vs 90.32, reward_evade=1.00 vs 1.00, win=0 vs 60, recent_win=0 vs 27, draw=47, winner=blue, time=141/13271
108: reward=2.00 vs 91.12, reward_evade=2.00 vs 1.00, win=0 vs 61, recent_win=0 vs 27, draw=47, winner=blue, time=129/13400
109: reward=1.00 vs 93.24, reward_evade=1.00 vs 1.00, win=0 vs 62, recent_win=0 vs 27, draw=47, winner=blue, time=98/13499
110: reward=1.00 vs 0.90, reward_evade=1.00 vs 1.00, win=0 vs 62, recent_win=0 vs 26, draw=48, winner=draw, time=113/13611
