162: reward=2.00 vs 0.80, win=13 vs 93, recent_win=5 vs 37, draw=56, winner=blue, time=127/24924
163: reward=2.00 vs 0.80, win=13 vs 94, recent_win=5 vs 37, draw=56, winner=blue, time=139/25063
164: reward=4.00 vs -0.40, win=13 vs 95, recent_win=5 vs 37, draw=56, winner=blue, time=153/25217
165: reward=1.00 vs 0.90, win=13 vs 96, recent_win=5 vs 37, draw=56, winner=blue, time=113/25329
166: reward=1.00 vs 0.90, win=13 vs 96, recent_win=5 vs 36, draw=57, winner=draw, time=276/25605
167: reward=1.00 vs 1.00, win=13 vs 97, recent_win=5 vs 36, draw=57, winner=blue, time=146/25750
168: reward=4.00 vs -0.40, win=14 vs 97, recent_win=6 vs 35, draw=57, winner=red, time=242/25993
169: reward=4.00 vs -0.40, win=15 vs 97, recent_win=7 vs 34, draw=57, winner=red, time=270/26262
170: reward=1.00 vs 0.90, win=15 vs 98, recent_win=7 vs 34, draw=57, winner=blue, time=137/26399
171: reward=5.00 vs -0.50, win=16 vs 98, recent_win=8 vs 33, draw=57, winner=red, time=190/26589
172: reward=4.00 vs -0.40, win=16 vs 99, recent_win=7 vs 34, draw=57, winner=blue, time=138/26727
173: reward=4.00 vs -0.40, win=16 vs 100, recent_win=7 vs 35, draw=57, winner=blue, time=147/26873
174: reward=3.00 vs 0.70, win=16 vs 101, recent_win=7 vs 35, draw=57, winner=blue, time=153/27027
175: reward=5.00 vs -0.50, win=17 vs 101, recent_win=8 vs 34, draw=57, winner=red, time=236/27262
176: reward=4.00 vs -0.40, win=18 vs 101, recent_win=8 vs 34, draw=57, winner=red, time=161/27423
177: reward=3.00 vs 0.70, win=18 vs 102, recent_win=8 vs 34, draw=57, winner=blue, time=188/27612
178: reward=1.00 vs 0.90, win=18 vs 103, recent_win=8 vs 35, draw=57, winner=blue, time=122/27734
179: reward=2.00 vs 0.80, win=18 vs 104, recent_win=8 vs 35, draw=57, winner=blue, time=138/27872
180: reward=2.00 vs 0.80, win=18 vs 104, recent_win=8 vs 34, draw=58, winner=draw, time=151/28023
181: reward=2.00 vs 0.80, win=18 vs 105, recent_win=8 vs 34, draw=58, winner=blue, time=148/28171
182: reward=6.00 vs -0.60, win=18 vs 106, recent_win=7 vs 35, draw=58, winner=blue, time=203/28374
183: reward=6.00 vs -0.60, win=18 vs 107, recent_win=7 vs 36, draw=58, winner=blue, time=188/28563
184: reward=4.00 vs 0.60, win=18 vs 107, recent_win=7 vs 35, draw=59, winner=draw, time=287/28849
185: reward=4.00 vs -0.40, win=19 vs 107, recent_win=8 vs 34, draw=59, winner=red, time=179/29028
186: reward=2.00 vs 0.80, win=19 vs 108, recent_win=8 vs 34, draw=59, winner=blue, time=138/29166
