111: reward=-35.85 vs 92.03, winner=blue, r_win=2:47:1, win=3:104:4, time=103/14653
112: reward=-35.80 vs 92.65, winner=blue, r_win=1:48:1, win=3:105:4, time=108/14761
113: reward=-33.17 vs 90.87, winner=blue, r_win=1:48:1, win=3:106:4, time=131/14892
114: reward=-32.85 vs 90.07, winner=blue, r_win=1:48:1, win=3:107:4, time=143/15035
115: reward=-32.63 vs 88.78, winner=blue, r_win=1:48:1, win=3:108:4, time=148/15183
116: reward=-33.83 vs 90.88, winner=blue, r_win=1:48:1, win=3:109:4, time=148/15331
117: reward=-34.55 vs 91.17, winner=blue, r_win=1:48:1, win=3:110:4, time=114/15445
118: reward=-33.83 vs 90.88, winner=blue, r_win=1:48:1, win=3:111:4, time=148/15593
119: reward=-34.22 vs 90.34, winner=blue, r_win=1:48:1, win=3:112:4, time=126/15718
120: reward=-34.49 vs 91.02, winner=blue, r_win=1:48:1, win=3:113:4, time=116/15834
121: reward=-33.13 vs 90.02, winner=blue, r_win=1:49:0, win=3:114:4, time=129/15963
122: reward=-12.09 vs -12.09, winner=draw, r_win=1:48:1, win=3:114:5, time=339/16302
123: reward=-35.07 vs 92.48, winner=blue, r_win=1:48:1, win=3:115:5, time=95/16397
124: reward=-37.37 vs 94.91, winner=blue, r_win=1:48:1, win=3:116:5, time=92/16489
125: reward=-34.89 vs 92.63, winner=blue, r_win=1:48:1, win=3:117:5, time=153/16642
126: reward=-37.08 vs 93.44, winner=blue, r_win=1:48:1, win=3:118:5, time=98/16740
127: reward=-37.27 vs 93.91, winner=blue, r_win=1:48:1, win=3:119:5, time=92/16832
128: reward=-35.62 vs 92.19, winner=blue, r_win=1:48:1, win=3:120:5, time=115/16947
129: reward=-34.22 vs 90.34, winner=blue, r_win=1:48:1, win=3:121:5, time=126/17073
130: reward=-33.52 vs 90.99, winner=blue, r_win=1:48:1, win=3:122:5, time=115/17187
131: reward=-34.40 vs 90.79, winner=blue, r_win=1:48:1, win=3:123:5, time=119/17307
132: reward=-34.74 vs 92.40, winner=blue, r_win=1:48:1, win=3:124:5, time=110/17417
133: reward=-32.44 vs 89.79, winner=blue, r_win=1:48:1, win=3:125:5, time=163/17580
134: reward=-37.36 vs 94.15, winner=blue, r_win=0:49:1, win=3:126:5, time=88/17669
135: reward=-32.07 vs 87.38, winner=blue, r_win=0:49:1, win=3:127:5, time=170/17838
136: reward=-36.27 vs 93.81, winner=blue, r_win=0:49:1, win=3:128:5, time=92/17930
137: reward=-33.04 vs 89.80, winner=blue, r_win=0:49:1, win=3:129:5, time=132/18062
138: reward=-36.55 vs 94.53, winner=blue, r_win=0:49:1, win=3:130:5, time=82/18144
139: reward=-34.19 vs 90.27, winner=blue, r_win=0:49:1, win=3:131:5, time=127/18271
140: reward=-32.00 vs 88.69, winner=blue, r_win=0:49:1, win=3:132:5, time=181/18452
141: reward=-34.01 vs 89.83, winner=blue, r_win=0:49:1, win=3:133:5, time=133/18585
142: reward=-36.62 vs 92.29, winner=blue, r_win=0:49:1, win=3:134:5, time=115/18700
143: reward=-33.46 vs 90.84, winner=blue, r_win=0:49:1, win=3:135:5, time=117/18817
144: reward=-34.28 vs 90.49, winner=blue, r_win=0:49:1, win=3:136:5, time=124/18941
145: reward=-34.47 vs 91.72, winner=blue, r_win=0:49:1, win=3:137:5, time=120/19061
146: reward=-32.66 vs 88.85, winner=blue, r_win=0:49:1, win=3:138:5, time=147/19208
147: reward=-33.49 vs 90.92, winner=blue, r_win=0:49:1, win=3:139:5, time=116/19324
148: reward=-33.26 vs 91.09, winner=blue, r_win=0:49:1, win=3:140:5, time=128/19452
149: reward=-33.73 vs 91.53, winner=blue, r_win=0:49:1, win=3:141:5, time=107/19559
150: reward=-34.95 vs 92.93, winner=blue, r_win=0:49:1, win=3:142:5, time=103/19662
151: reward=-35.76 vs 91.80, winner=blue, r_win=0:49:1, win=3:143:5, time=106/19768
152: reward=-13.32 vs -17.72, winner=draw, r_win=0:48:2, win=3:143:6, time=187/19955
153: reward=-37.27 vs 94.68, winner=blue, r_win=0:48:2, win=3:144:6, time=95/20050
154: reward=-33.32 vs 91.24, winner=blue, r_win=0:48:2, win=3:145:6, time=126/20176
155: reward=-33.16 vs 90.09, winner=blue, r_win=0:48:2, win=3:146:6, time=128/20304
156: reward=-36.51 vs 92.77, winner=blue, r_win=0:48:2, win=3:147:6, time=122/20426
157: reward=-35.68 vs 92.34, winner=blue, r_win=0:48:2, win=3:148:6, time=113/20539
158: reward=-37.15 vs 94.37, winner=blue, r_win=0:48:2, win=3:149:6, time=99/20638
159: reward=-32.46 vs 88.36, winner=blue, r_win=0:48:2, win=3:150:6, time=154/20793
160: reward=-34.79 vs 91.78, winner=blue, r_win=0:48:2, win=3:151:6, time=105/20898
161: reward=-34.85 vs 91.93, winner=blue, r_win=0:48:2, win=3:152:6, time=103/21000
162: reward=-37.18 vs 94.44, winner=blue, r_win=0:48:2, win=3:153:6, time=98/21099
163: reward=-34.82 vs 91.86, winner=blue, r_win=0:48:2, win=3:154:6, time=104/21202
164: reward=-32.82 vs 90.00, winner=blue, r_win=0:48:2, win=3:155:6, time=144/21347
165: reward=-37.36 vs 94.15, winner=blue, r_win=0:48:2, win=3:156:6, time=88/21435
166: reward=-8.88 vs -8.88, winner=draw, r_win=0:47:3, win=3:156:7, time=837/22272
167: reward=-33.25 vs 90.32, winner=blue, r_win=0:47:3, win=3:157:7, time=125/22397
