59: reward=5.00 vs 95.31, reward_evade=5.00 vs 1.00, win=0 vs 59, recent_win=0 vs 50, draw=0, winner=blue, time=86/7308
60: reward=5.00 vs 95.07, reward_evade=5.00 vs 1.00, win=0 vs 60, recent_win=0 vs 50, draw=0, winner=blue, time=89/7397
61: reward=5.00 vs 90.63, reward_evade=5.00 vs 1.00, win=0 vs 61, recent_win=0 vs 50, draw=0, winner=blue, time=138/7535
62: reward=5.00 vs 95.63, reward_evade=5.00 vs 1.00, win=0 vs 62, recent_win=0 vs 50, draw=0, winner=blue, time=82/7617
63: reward=1.00 vs 91.19, reward_evade=1.00 vs 1.00, win=0 vs 63, recent_win=0 vs 50, draw=0, winner=blue, time=128/7745
64: reward=1.00 vs 91.24, reward_evade=1.00 vs 1.00, win=0 vs 64, recent_win=0 vs 50, draw=0, winner=blue, time=126/7871
65: reward=1.00 vs 92.55, reward_evade=1.00 vs 1.00, win=0 vs 65, recent_win=0 vs 50, draw=0, winner=blue, time=108/7979
66: reward=1.00 vs 94.19, reward_evade=1.00 vs 1.00, win=0 vs 66, recent_win=0 vs 50, draw=0, winner=blue, time=100/8079
67: reward=1.00 vs 92.79, reward_evade=1.00 vs 1.00, win=0 vs 67, recent_win=0 vs 50, draw=0, winner=blue, time=119/8199
68: reward=4.00 vs 90.33, reward_evade=4.00 vs 1.00, win=0 vs 68, recent_win=0 vs 50, draw=0, winner=blue, time=138/8337
69: reward=2.00 vs 89.85, reward_evade=2.00 vs 1.00, win=0 vs 69, recent_win=0 vs 50, draw=0, winner=blue, time=147/8483
70: reward=1.00 vs 91.94, reward_evade=1.00 vs 1.00, win=0 vs 70, recent_win=0 vs 50, draw=0, winner=blue, time=117/8600
71: reward=1.00 vs 95.55, reward_evade=1.00 vs 1.00, win=0 vs 71, recent_win=0 vs 50, draw=0, winner=blue, time=83/8683
72: reward=1.00 vs 94.84, reward_evade=1.00 vs 1.00, win=0 vs 72, recent_win=0 vs 50, draw=0, winner=blue, time=93/8776
73: reward=1.00 vs 90.83, reward_evade=1.00 vs 1.00, win=0 vs 73, recent_win=0 vs 50, draw=0, winner=blue, time=133/8909
74: reward=1.00 vs 95.05, reward_evade=1.00 vs 1.00, win=0 vs 74, recent_win=0 vs 50, draw=0, winner=blue, time=88/8998
75: reward=5.90 vs 85.40, reward_evade=6.00 vs 1.00, win=0 vs 75, recent_win=0 vs 50, draw=0, winner=blue, time=231/9229
76: reward=5.90 vs 95.79, reward_evade=6.00 vs 1.00, win=0 vs 76, recent_win=0 vs 50, draw=0, winner=blue, time=80/9309
77: reward=1.00 vs 92.86, reward_evade=1.00 vs 1.00, win=0 vs 77, recent_win=0 vs 50, draw=0, winner=blue, time=104/9413
78: reward=3.00 vs 91.99, reward_evade=3.00 vs 1.00, win=0 vs 78, recent_win=0 vs 50, draw=0, winner=blue, time=115/9527
79: reward=1.00 vs 94.27, reward_evade=1.00 vs 1.00, win=0 vs 79, recent_win=0 vs 50, draw=0, winner=blue, time=99/9627
80: reward=2.00 vs 91.24, reward_evade=2.00 vs 1.00, win=0 vs 80, recent_win=0 vs 50, draw=0, winner=blue, time=142/9769
81: reward=2.00 vs 93.89, reward_evade=2.00 vs 1.00, win=0 vs 81, recent_win=0 vs 50, draw=0, winner=blue, time=91/9860
82: reward=6.90 vs 85.36, reward_evade=7.00 vs 1.00, win=0 vs 82, recent_win=0 vs 50, draw=0, winner=blue, time=230/10090
83: reward=1.00 vs 90.13, reward_evade=1.00 vs 1.00, win=0 vs 83, recent_win=0 vs 50, draw=0, winner=blue, time=161/10251
84: reward=3.00 vs 90.00, reward_evade=3.00 vs 1.00, win=0 vs 84, recent_win=0 vs 50, draw=0, winner=blue, time=144/10396
85: reward=3.00 vs 91.07, reward_evade=3.00 vs 1.00, win=0 vs 85, recent_win=0 vs 50, draw=0, winner=blue, time=131/10527
86: reward=1.00 vs 91.19, reward_evade=1.00 vs 1.00, win=0 vs 86, recent_win=0 vs 50, draw=0, winner=blue, time=128/10655
87: reward=1.00 vs 90.38, reward_evade=1.00 vs 1.00, win=0 vs 87, recent_win=0 vs 50, draw=0, winner=blue, time=155/10810
88: reward=1.00 vs 90.97, reward_evade=1.00 vs 1.00, win=0 vs 88, recent_win=0 vs 50, draw=0, winner=blue, time=131/10942
89: reward=1.00 vs 93.01, reward_evade=1.00 vs 1.00, win=0 vs 89, recent_win=0 vs 50, draw=0, winner=blue, time=102/11043
90: reward=4.00 vs 90.77, reward_evade=4.00 vs 1.00, win=0 vs 90, recent_win=0 vs 50, draw=0, winner=blue, time=131/11175
91: reward=1.00 vs 91.87, reward_evade=1.00 vs 1.00, win=0 vs 91, recent_win=0 vs 50, draw=0, winner=blue, time=118/11293
92: reward=5.00 vs 85.73, reward_evade=5.00 vs 1.00, win=0 vs 92, recent_win=0 vs 50, draw=0, winner=blue, time=208/11501
93: reward=6.00 vs 86.59, reward_evade=6.00 vs 1.00, win=0 vs 93, recent_win=0 vs 50, draw=0, winner=blue, time=194/11695
94: reward=6.00 vs 95.37, reward_evade=6.00 vs 1.00, win=0 vs 94, recent_win=0 vs 50, draw=0, winner=blue, time=84/11779
