100: reward=-36.88 vs 92.94, winner=blue, r_win=4:41:5, win=17:73:10, time=158/27392
101: reward=-38.66 vs 95.15, winner=blue, r_win=4:41:5, win=17:74:10, time=147/27538
102: reward=-34.72 vs 91.80, winner=blue, r_win=4:41:5, win=17:75:10, time=272/27810
103: reward=-34.19 vs 89.96, winner=blue, r_win=4:41:5, win=17:76:10, time=206/28016
104: reward=-37.45 vs 91.88, winner=blue, r_win=4:42:4, win=17:77:10, time=216/28232
105: reward=-38.10 vs 94.76, winner=blue, r_win=4:42:4, win=17:78:10, time=94/28326
106: reward=-37.49 vs 92.72, winner=blue, r_win=4:42:4, win=17:79:10, time=283/28609
107: reward=-35.30 vs 91.25, winner=blue, r_win=4:42:4, win=17:80:10, time=292/28900
108: reward=-32.34 vs 87.84, winner=blue, r_win=4:42:4, win=17:81:10, time=341/29241
109: reward=73.37 vs -16.25, winner=red, r_win=5:41:4, win=18:81:10, time=373/29613
110: reward=-35.52 vs 91.54, winner=blue, r_win=5:41:4, win=18:82:10, time=306/29919
111: reward=-34.41 vs 90.76, winner=blue, r_win=5:41:4, win=18:83:10, time=176/30095
112: reward=-32.70 vs 88.75, winner=blue, r_win=4:42:4, win=18:84:10, time=322/30417
113: reward=-32.84 vs 89.10, winner=blue, r_win=4:42:4, win=18:85:10, time=315/30732
114: reward=-38.26 vs 95.15, winner=blue, r_win=4:42:4, win=18:86:10, time=88/30820
115: reward=-34.16 vs 90.40, winner=blue, r_win=3:43:4, win=18:87:10, time=299/31119
116: reward=-38.63 vs 93.84, winner=blue, r_win=3:43:4, win=18:88:10, time=252/31371
117: reward=-39.00 vs 95.25, winner=blue, r_win=3:43:4, win=18:89:10, time=193/31564
118: reward=-37.56 vs 93.64, winner=blue, r_win=3:43:4, win=18:90:10, time=212/31775
119: reward=-38.32 vs 94.30, winner=blue, r_win=3:44:3, win=18:91:10, time=160/31935
120: reward=78.19 vs -22.68, winner=red, r_win=4:43:3, win=19:91:10, time=274/32209
121: reward=-34.16 vs 90.40, winner=blue, r_win=4:43:3, win=19:92:10, time=299/32507
122: reward=-15.59 vs -0.59, winner=draw, r_win=4:42:4, win=19:92:11, time=405/32912
123: reward=79.33 vs -22.13, winner=red, r_win=5:41:4, win=20:92:11, time=208/33120
124: reward=-23.80 vs 0.20, winner=draw, r_win=4:41:5, win=20:92:12, time=327/33447
125: reward=-35.10 vs 90.75, winner=blue, r_win=4:41:5, win=20:93:12, time=302/33749
126: reward=79.38 vs -23.05, winner=red, r_win=5:41:4, win=21:93:12, time=234/33982
127: reward=-36.66 vs 92.64, winner=blue, r_win=5:41:4, win=21:94:12, time=275/34257
128: reward=-30.84 vs 88.10, winner=blue, r_win=5:41:4, win=21:95:12, time=315/34571
129: reward=-34.86 vs 90.15, winner=blue, r_win=5:41:4, win=21:96:12, time=314/34885
130: reward=-35.80 vs 90.49, winner=blue, r_win=5:42:3, win=21:97:12, time=181/35066
131: reward=-34.00 vs 89.99, winner=blue, r_win=5:42:3, win=21:98:12, time=307/35372
132: reward=-37.92 vs 93.81, winner=blue, r_win=5:42:3, win=21:99:12, time=137/35509
133: reward=-34.24 vs 88.61, winner=blue, r_win=5:42:3, win=21:100:12, time=346/35855
134: reward=-33.43 vs 89.06, winner=blue, r_win=5:42:3, win=21:101:12, time=286/36140
135: reward=-34.88 vs 90.44, winner=blue, r_win=5:42:3, win=21:102:12, time=158/36298
136: reward=-39.28 vs 95.44, winner=blue, r_win=5:42:3, win=21:103:12, time=224/36522
137: reward=-19.97 vs -12.47, winner=draw, r_win=5:41:4, win=21:103:13, time=175/36697
138: reward=-38.19 vs 94.23, winner=blue, r_win=4:42:4, win=21:104:13, time=146/36843
139: reward=-38.01 vs 94.52, winner=blue, r_win=4:42:4, win=21:105:13, time=97/36940
140: reward=-36.70 vs 93.25, winner=blue, r_win=4:42:4, win=21:106:13, time=108/37048
141: reward=-35.46 vs 91.66, winner=blue, r_win=4:42:4, win=21:107:13, time=154/37202
142: reward=-35.73 vs 91.31, winner=blue, r_win=4:42:4, win=21:108:13, time=226/37428
143: reward=-38.11 vs 94.52, winner=blue, r_win=4:42:4, win=21:109:13, time=111/37540
144: reward=-38.02 vs 94.29, winner=blue, r_win=4:43:3, win=21:110:13, time=115/37655
145: reward=-35.25 vs 91.62, winner=blue, r_win=4:43:3, win=21:111:13, time=125/37779
146: reward=-32.91 vs 87.28, winner=blue, r_win=4:43:3, win=21:112:13, time=364/38143
147: reward=-37.21 vs 94.77, winner=blue, r_win=4:43:3, win=21:113:13, time=73/38216
148: reward=-35.60 vs 90.25, winner=blue, r_win=4:43:3, win=21:114:13, time=169/38385
149: reward=-36.52 vs 92.04, winner=blue, r_win=4:43:3, win=21:115:13, time=172/38557
150: reward=-36.81 vs 93.27, winner=blue, r_win=4:43:3, win=21:116:13, time=122/38679
151: reward=-34.61 vs 90.77, winner=blue, r_win=4:43:3, win=21:117:13, time=209/38889
152: reward=-35.24 vs 91.09, winner=blue, r_win=4:43:3, win=21:118:13, time=163/39052
153: reward=-38.25 vs 94.62, winner=blue, r_win=4:43:3, win=21:119:13, time=125/39176
154: reward=-35.81 vs 92.77, winner=blue, r_win=4:43:3, win=21:120:13, time=122/39299
155: reward=-36.88 vs 92.70, winner=blue, r_win=4:43:3, win=21:121:13, time=177/39476
156: reward=-35.18 vs 90.95, winner=blue, r_win=4:43:3, win=21:122:13, time=298/39774
157: reward=-31.74 vs 88.59, winner=blue, r_win=4:43:3, win=21:123:13, time=163/39937
158: reward=-36.66 vs 92.65, winner=blue, r_win=4:43:3, win=21:124:13, time=147/40084
159: reward=-36.20 vs 92.25, winner=blue, r_win=3:44:3, win=21:125:13, time=108/40192
160: reward=-37.81 vs 93.77, winner=blue, r_win=3:44:3, win=21:126:13, time=122/40315
161: reward=-32.11 vs 87.52, winner=blue, r_win=3:44:3, win=21:127:13, time=188/40503
162: reward=-36.89 vs 93.97, winner=blue, r_win=3:44:3, win=21:128:13, time=84/40587
163: reward=-36.20 vs 92.25, winner=blue, r_win=3:44:3, win=21:129:13, time=108/40695
164: reward=-33.84 vs 90.09, winner=blue, r_win=3:44:3, win=21:130:13, time=140/40835
165: reward=-36.64 vs 93.61, winner=blue, r_win=3:44:3, win=21:131:13, time=75/40911
166: reward=-35.08 vs 89.94, winner=blue, r_win=3:44:3, win=21:132:13, time=232/41143
167: reward=-35.72 vs 91.04, winner=blue, r_win=3:44:3, win=21:133:13, time=126/41269
168: reward=-32.35 vs 88.37, winner=blue, r_win=3:44:3, win=21:134:13, time=159/41428
169: reward=-36.99 vs 93.72, winner=blue, r_win=3:44:3, win=21:135:13, time=116/41544
170: reward=-37.75 vs 93.37, winner=blue, r_win=2:45:3, win=21:136:13, time=143/41687
