97: reward=-17.07 vs -13.87, winner=draw, r_win=3:42:5, win=7:82:8, time=362/24173
98: reward=-32.76 vs 81.15, winner=blue, r_win=3:42:5, win=7:83:8, time=294/24467
99: reward=-35.18 vs 86.15, winner=blue, r_win=3:42:5, win=7:84:8, time=215/24682
100: reward=84.46 vs -33.19, winner=red, r_win=4:41:5, win=8:84:8, time=206/24888
101: reward=-35.44 vs 86.79, winner=blue, r_win=4:41:5, win=8:85:8, time=204/25092
102: reward=-35.77 vs 88.66, winner=blue, r_win=4:41:5, win=8:86:8, time=162/25254
103: reward=-16.00 vs -15.40, winner=draw, r_win=4:40:6, win=8:86:9, time=338/25591
104: reward=-32.70 vs 80.85, winner=blue, r_win=4:40:6, win=8:87:9, time=302/25893
105: reward=-35.44 vs 88.01, winner=blue, r_win=4:41:5, win=8:88:9, time=171/26064
106: reward=-16.27 vs -15.07, winner=draw, r_win=3:41:6, win=8:88:10, time=341/26404
107: reward=-33.58 vs 82.59, winner=blue, r_win=3:41:6, win=8:89:10, time=274/26678
108: reward=-34.53 vs 84.52, winner=blue, r_win=3:41:6, win=8:90:10, time=243/26922
109: reward=-35.46 vs 87.90, winner=blue, r_win=2:42:6, win=8:91:10, time=174/27096
110: reward=-34.98 vs 86.11, winner=blue, r_win=2:42:6, win=8:92:10, time=210/27306
111: reward=-33.78 vs 83.56, winner=blue, r_win=2:42:6, win=8:93:10, time=250/27556
112: reward=81.66 vs -32.06, winner=red, r_win=3:41:6, win=9:93:10, time=256/27812
113: reward=-33.80 vs 83.01, winner=blue, r_win=3:41:6, win=9:94:10, time=268/28080
114: reward=-33.69 vs 82.58, winner=blue, r_win=3:41:6, win=9:95:10, time=278/28357
115: reward=81.50 vs -31.94, winner=red, r_win=4:40:6, win=10:95:10, time=257/28614
116: reward=-36.02 vs 88.26, winner=blue, r_win=4:40:6, win=10:96:10, time=180/28793
117: reward=-32.75 vs 79.17, winner=blue, r_win=4:40:6, win=10:97:10, time=362/29155
118: reward=-32.04 vs 79.51, winner=blue, r_win=4:40:6, win=10:98:10, time=325/29480
119: reward=-31.60 vs 78.55, winner=blue, r_win=4:40:6, win=10:99:10, time=343/29822
120: reward=-32.92 vs 81.10, winner=blue, r_win=4:40:6, win=10:100:10, time=301/30123
121: reward=-33.30 vs 82.34, winner=blue, r_win=4:40:6, win=10:101:10, time=273/30395
122: reward=-33.49 vs 82.82, winner=blue, r_win=4:41:5, win=10:102:10, time=264/30659
123: reward=-32.90 vs 81.35, winner=blue, r_win=4:42:4, win=10:103:10, time=292/30951
124: reward=-33.43 vs 80.58, winner=blue, r_win=4:42:4, win=10:104:10, time=336/31286
125: reward=-16.38 vs -15.38, winner=draw, r_win=4:41:5, win=10:104:11, time=319/31605
126: reward=-31.77 vs 78.97, winner=blue, r_win=4:41:5, win=10:105:11, time=334/31938
127: reward=-17.40 vs -13.60, winner=draw, r_win=4:40:6, win=10:105:12, time=359/32297
128: reward=-17.64 vs -13.64, winner=draw, r_win=4:39:7, win=10:105:13, time=344/32641
129: reward=-33.96 vs 83.84, winner=blue, r_win=4:39:7, win=10:106:13, time=247/32887
130: reward=76.41 vs -29.61, winner=red, r_win=5:38:7, win=11:106:13, time=348/33235
131: reward=-17.79 vs -14.19, winner=draw, r_win=5:37:8, win=11:106:14, time=308/33543
132: reward=-17.40 vs -14.00, winner=draw, r_win=5:36:9, win=11:106:15, time=338/33880
133: reward=-17.66 vs -14.26, winner=draw, r_win=4:36:10, win=11:106:16, time=311/34191
134: reward=-32.96 vs 81.51, winner=blue, r_win=4:36:10, win=11:107:16, time=289/34479
135: reward=81.66 vs -32.06, winner=red, r_win=5:35:10, win=12:107:16, time=256/34735
136: reward=-31.45 vs 78.17, winner=blue, r_win=5:35:10, win=12:108:16, time=351/35086
137: reward=-18.11 vs -16.31, winner=draw, r_win=5:34:11, win=12:108:17, time=196/35282
138: reward=-17.70 vs -14.30, winner=draw, r_win=5:33:12, win=12:108:18, time=307/35588
139: reward=-30.26 vs 75.49, winner=blue, r_win=5:33:12, win=12:109:18, time=407/35995
140: reward=-35.23 vs 86.28, winner=blue, r_win=5:34:11, win=12:110:18, time=213/36208
141: reward=-33.70 vs 82.91, winner=blue, r_win=5:34:11, win=12:111:18, time=268/36475
142: reward=-17.37 vs -14.57, winner=draw, r_win=5:33:12, win=12:111:19, time=310/36785
143: reward=-33.27 vs 80.61, winner=blue, r_win=5:33:12, win=12:112:19, time=329/37114
144: reward=-33.04 vs 81.40, winner=blue, r_win=5:33:12, win=12:113:19, time=295/37408
145: reward=-32.92 vs 79.76, winner=blue, r_win=5:33:12, win=12:114:19, time=347/37755
146: reward=-32.30 vs 80.15, winner=blue, r_win=5:33:12, win=12:115:19, time=312/38066
147: reward=76.60 vs -29.62, winner=red, r_win=6:33:11, win=13:115:19, time=342/38408
148: reward=-33.76 vs 83.50, winner=blue, r_win=6:33:11, win=13:116:19, time=251/38659
149: reward=-32.75 vs 78.87, winner=blue, r_win=6:33:11, win=13:117:19, time=373/39032
150: reward=-31.75 vs 79.07, winner=blue, r_win=5:34:11, win=13:118:19, time=330/39361
151: reward=-33.42 vs 80.40, winner=blue, r_win=5:34:11, win=13:119:19, time=342/39703
152: reward=-32.36 vs 77.75, winner=blue, r_win=5:34:11, win=13:120:19, time=401/40104
153: reward=-34.24 vs 82.60, winner=blue, r_win=5:35:10, win=13:121:19, time=295/40398
154: reward=-17.78 vs -15.58, winner=draw, r_win=5:34:11, win=13:121:20, time=242/40641
155: reward=-16.44 vs -15.84, winner=draw, r_win=5:33:12, win=13:121:21, time=293/40933
156: reward=79.93 vs -31.07, winner=red, r_win=6:33:11, win=14:121:21, time=279/41212
157: reward=85.15 vs -33.40, winner=red, r_win=7:32:11, win=15:121:21, time=193/41405
158: reward=-17.53 vs -13.93, winner=draw, r_win=7:31:12, win=15:121:22, time=334/41738
159: reward=-30.45 vs 75.54, winner=blue, r_win=7:31:12, win=15:122:22, time=413/42151
160: reward=-33.16 vs 82.14, winner=blue, r_win=7:31:12, win=15:123:22, time=275/42425
161: reward=-32.38 vs 79.91, winner=blue, r_win=7:31:12, win=15:124:22, time=323/42748
162: reward=-30.98 vs 77.16, winner=blue, r_win=6:32:12, win=15:125:22, time=371/43119
163: reward=82.80 vs -32.40, winner=red, r_win=7:31:12, win=16:125:22, time=231/43350
164: reward=84.63 vs -33.31, winner=red, r_win=8:30:12, win=17:125:22, time=205/43555
165: reward=81.12 vs -31.85, winner=red, r_win=8:30:12, win=18:125:22, time=266/43821
166: reward=-32.70 vs 80.40, winner=blue, r_win=8:30:12, win=18:126:22, time=317/44137
