97: reward=1.50 vs 0.15, winner=draw, r_win=3:18:29, win=8:37:52, time=98/11546
98: reward=1.00 vs 0.00, winner=draw, r_win=3:18:29, win=8:37:53, time=103/11649
99: reward=1.00 vs 91.37, winner=blue, r_win=3:18:29, win=8:38:53, time=116/11764
100: reward=1.50 vs 91.37, winner=blue, r_win=3:19:28, win=8:39:53, time=116/11880
101: reward=1.00 vs 89.67, winner=blue, r_win=3:20:27, win=8:40:53, time=141/12022
102: reward=1.50 vs 0.15, winner=draw, r_win=3:20:27, win=8:40:54, time=115/12136
103: reward=1.00 vs 0.10, winner=draw, r_win=3:19:28, win=8:40:55, time=103/12239
104: reward=1.00 vs 92.44, winner=blue, r_win=2:20:28, win=8:41:55, time=100/12340
105: reward=0.00 vs 0.00, winner=draw, r_win=2:19:29, win=8:41:56, time=92/12431
106: reward=0.00 vs 0.00, winner=draw, r_win=2:19:29, win=8:41:57, time=82/12513
107: reward=1.50 vs 0.15, winner=draw, r_win=2:19:29, win=8:41:58, time=116/12629
108: reward=1.50 vs 88.88, winner=blue, r_win=2:20:28, win=8:42:58, time=153/12782
109: reward=1.00 vs 89.09, winner=blue, r_win=2:20:28, win=8:43:58, time=150/12932
110: reward=1.00 vs 92.59, winner=blue, r_win=2:21:27, win=8:44:58, time=98/13031
111: reward=1.00 vs 0.10, winner=draw, r_win=2:21:27, win=8:44:59, time=78/13109
112: reward=0.00 vs 0.00, winner=draw, r_win=2:21:27, win=8:44:60, time=72/13181
113: reward=1.83 vs 90.34, winner=blue, r_win=2:22:26, win=8:45:60, time=147/13328
114: reward=0.00 vs 0.00, winner=draw, r_win=2:22:26, win=8:45:61, time=70/13397
115: reward=1.50 vs 89.27, winner=blue, r_win=2:23:25, win=8:46:61, time=148/13545
116: reward=0.00 vs 0.00, winner=draw, r_win=2:23:25, win=8:46:62, time=131/13676
117: reward=1.00 vs 90.77, winner=blue, r_win=2:24:24, win=8:47:62, time=125/13801
118: reward=1.00 vs 91.29, winner=blue, r_win=2:24:24, win=8:48:62, time=117/13918
119: reward=0.00 vs 0.00, winner=draw, r_win=2:23:25, win=8:48:63, time=96/14014
120: reward=1.00 vs 89.84, winner=blue, r_win=2:23:25, win=8:49:63, time=139/14153
