82: reward=0.00 vs 97.03, reward_evade=0.00 vs 2.00, win=0 vs 82, recent_win=0 vs 50, draw=0, winner=blue, time=76/7236
83: reward=0.00 vs 97.52, reward_evade=0.00 vs 2.00, win=0 vs 83, recent_win=0 vs 50, draw=0, winner=blue, time=70/7305
84: reward=0.00 vs 94.13, reward_evade=0.00 vs 1.00, win=0 vs 84, recent_win=0 vs 50, draw=0, winner=blue, time=103/7408
85: reward=0.00 vs 97.60, reward_evade=0.00 vs 2.00, win=0 vs 85, recent_win=0 vs 50, draw=0, winner=blue, time=69/7477
86: reward=0.00 vs 97.03, reward_evade=0.00 vs 2.00, win=0 vs 86, recent_win=0 vs 50, draw=0, winner=blue, time=76/7553
87: reward=0.00 vs 97.19, reward_evade=0.00 vs 2.00, win=0 vs 87, recent_win=0 vs 50, draw=0, winner=blue, time=74/7627
88: reward=0.00 vs 97.11, reward_evade=0.00 vs 2.00, win=0 vs 88, recent_win=0 vs 50, draw=0, winner=blue, time=75/7702
89: reward=0.00 vs 97.11, reward_evade=0.00 vs 2.00, win=0 vs 89, recent_win=0 vs 50, draw=0, winner=blue, time=75/7777
90: reward=0.00 vs 93.99, reward_evade=0.00 vs 2.00, win=0 vs 90, recent_win=0 vs 50, draw=0, winner=blue, time=119/7897
91: reward=0.00 vs 96.87, reward_evade=0.00 vs 2.00, win=0 vs 91, recent_win=0 vs 50, draw=0, winner=blue, time=78/7975
92: reward=0.00 vs 95.29, reward_evade=0.00 vs 2.00, win=0 vs 92, recent_win=0 vs 50, draw=0, winner=blue, time=100/8076
93: reward=0.00 vs 93.99, reward_evade=0.00 vs 2.00, win=0 vs 93, recent_win=0 vs 50, draw=0, winner=blue, time=119/8195
94: reward=0.00 vs 97.60, reward_evade=0.00 vs 2.00, win=0 vs 94, recent_win=0 vs 50, draw=0, winner=blue, time=69/8263
95: reward=0.00 vs 95.21, reward_evade=0.00 vs 2.00, win=0 vs 95, recent_win=0 vs 50, draw=0, winner=blue, time=102/8365
96: reward=0.00 vs 96.39, reward_evade=0.00 vs 2.00, win=0 vs 96, recent_win=0 vs 50, draw=0, winner=blue, time=85/8450
97: reward=0.00 vs 96.15, reward_evade=0.00 vs 2.00, win=0 vs 97, recent_win=0 vs 50, draw=0, winner=blue, time=88/8538
98: reward=0.00 vs 93.39, reward_evade=0.00 vs 2.00, win=0 vs 98, recent_win=0 vs 50, draw=0, winner=blue, time=128/8666
99: reward=0.00 vs 96.23, reward_evade=0.00 vs 2.00, win=0 vs 99, recent_win=0 vs 50, draw=0, winner=blue, time=87/8754
100: reward=0.00 vs 96.15, reward_evade=0.00 vs 2.00, win=0 vs 100, recent_win=0 vs 50, draw=0, winner=blue, time=88/8842
101: reward=0.00 vs 97.03, reward_evade=0.00 vs 2.00, win=0 vs 101, recent_win=0 vs 50, draw=0, winner=blue, time=76/8918
102: reward=0.00 vs 93.47, reward_evade=0.00 vs 2.00, win=0 vs 102, recent_win=0 vs 50, draw=0, winner=blue, time=127/9045
103: reward=0.00 vs 97.45, reward_evade=0.00 vs 1.00, win=0 vs 103, recent_win=0 vs 50, draw=0, winner=blue, time=57/9103
104: reward=0.00 vs 93.92, reward_evade=0.00 vs 2.00, win=0 vs 104, recent_win=0 vs 50, draw=0, winner=blue, time=120/9223
105: reward=0.00 vs 97.52, reward_evade=0.00 vs 2.00, win=0 vs 105, recent_win=0 vs 50, draw=0, winner=blue, time=70/9293
106: reward=0.00 vs 97.19, reward_evade=0.00 vs 2.00, win=0 vs 106, recent_win=0 vs 50, draw=0, winner=blue, time=74/9367
107: reward=0.00 vs 95.21, reward_evade=0.00 vs 2.00, win=0 vs 107, recent_win=0 vs 50, draw=0, winner=blue, time=102/9468
108: reward=0.00 vs 96.87, reward_evade=0.00 vs 2.00, win=0 vs 108, recent_win=0 vs 50, draw=0, winner=blue, time=78/9547
109: reward=0.00 vs 97.45, reward_evade=0.00 vs 1.00, win=0 vs 109, recent_win=0 vs 50, draw=0, winner=blue, time=57/9604
110: reward=0.00 vs 97.52, reward_evade=0.00 vs 2.00, win=0 vs 110, recent_win=0 vs 50, draw=0, winner=blue, time=70/9674
111: reward=0.00 vs 96.31, reward_evade=0.00 vs 2.00, win=0 vs 111, recent_win=0 vs 50, draw=0, winner=blue, time=86/9760
112: reward=0.00 vs 97.60, reward_evade=0.00 vs 2.00, win=0 vs 112, recent_win=0 vs 50, draw=0, winner=blue, time=69/9828
113: reward=0.00 vs 93.69, reward_evade=0.00 vs 2.00, win=0 vs 113, recent_win=0 vs 50, draw=0, winner=blue, time=124/9952
114: reward=0.00 vs 97.27, reward_evade=0.00 vs 2.00, win=0 vs 114, recent_win=0 vs 50, draw=0, winner=blue, time=73/10025
115: reward=0.00 vs 96.79, reward_evade=0.00 vs 2.00, win=0 vs 115, recent_win=0 vs 50, draw=0, winner=blue, time=80/10105
116: reward=0.00 vs 94.29, reward_evade=0.00 vs 2.00, win=0 vs 116, recent_win=0 vs 50, draw=0, winner=blue, time=115/10219
117: reward=0.00 vs 97.52, reward_evade=0.00 vs 2.00, win=0 vs 117, recent_win=0 vs 50, draw=0, winner=blue, time=70/10289
118: reward=0.00 vs 94.22, reward_evade=0.00 vs 2.00, win=0 vs 118, recent_win=0 vs 50, draw=0, winner=blue, time=116/10405
119: reward=0.00 vs 94.29, reward_evade=0.00 vs 2.00, win=0 vs 119, recent_win=0 vs 50, draw=0, winner=blue, time=115/10520
120: reward=0.00 vs 97.03, reward_evade=0.00 vs 2.00, win=0 vs 120, recent_win=0 vs 50, draw=0, winner=blue, time=76/10596
121: reward=0.00 vs 93.75, reward_evade=0.00 vs 1.00, win=0 vs 121, recent_win=0 vs 50, draw=0, winner=blue, time=108/10704
122: reward=0.00 vs 93.83, reward_evade=0.00 vs 1.00, win=0 vs 122, recent_win=0 vs 50, draw=0, winner=blue, time=107/10811
123: reward=0.00 vs 97.03, reward_evade=0.00 vs 2.00, win=0 vs 123, recent_win=0 vs 50, draw=0, winner=blue, time=76/10888
124: reward=0.00 vs 94.29, reward_evade=0.00 vs 2.00, win=0 vs 124, recent_win=0 vs 50, draw=0, winner=blue, time=115/11003
125: reward=0.00 vs 95.44, reward_evade=0.00 vs 2.00, win=0 vs 125, recent_win=0 vs 50, draw=0, winner=blue, time=98/11101
126: reward=0.00 vs 94.60, reward_evade=0.00 vs 2.00, win=0 vs 126, recent_win=0 vs 50, draw=0, winner=blue, time=110/11211
127: reward=0.00 vs 96.87, reward_evade=0.00 vs 2.00, win=0 vs 127, recent_win=0 vs 50, draw=0, winner=blue, time=78/11290
128: reward=0.00 vs 97.52, reward_evade=0.00 vs 2.00, win=0 vs 128, recent_win=0 vs 50, draw=0, winner=blue, time=70/11359
129: reward=0.00 vs 97.11, reward_evade=0.00 vs 2.00, win=0 vs 129, recent_win=0 vs 50, draw=0, winner=blue, time=75/11435
130: reward=0.00 vs 93.99, reward_evade=0.00 vs 2.00, win=0 vs 130, recent_win=0 vs 50, draw=0, winner=blue, time=119/11554
131: reward=0.00 vs 97.03, reward_evade=0.00 vs 2.00, win=0 vs 131, recent_win=0 vs 50, draw=0, winner=blue, time=76/11630
