104: reward=-31.25 vs 88.33, winner=blue, r_win=2:45:3, win=4:91:9, time=220/24941
105: reward=-30.80 vs 84.81, winner=blue, r_win=2:46:2, win=4:92:9, time=287/25228
106: reward=-29.80 vs 89.79, winner=blue, r_win=2:46:2, win=4:93:9, time=393/25621
107: reward=-33.51 vs 89.17, winner=blue, r_win=2:46:2, win=4:94:9, time=209/25830
108: reward=-29.57 vs 94.47, winner=blue, r_win=2:46:2, win=4:95:9, time=449/26279
109: reward=-33.03 vs 90.39, winner=blue, r_win=2:46:2, win=4:96:9, time=187/26466
110: reward=-33.12 vs 90.59, winner=blue, r_win=2:46:2, win=4:97:9, time=184/26650
111: reward=-34.78 vs 92.34, winner=blue, r_win=2:46:2, win=4:98:9, time=158/26808
112: reward=-34.53 vs 91.71, winner=blue, r_win=2:46:2, win=4:99:9, time=168/26975
113: reward=-31.85 vs 89.82, winner=blue, r_win=2:46:2, win=4:100:9, time=195/27170
114: reward=-31.79 vs 94.48, winner=blue, r_win=2:46:2, win=4:101:9, time=429/27599
115: reward=-34.64 vs 91.99, winner=blue, r_win=2:46:2, win=4:102:9, time=163/27762
116: reward=-32.77 vs 89.72, winner=blue, r_win=2:46:2, win=4:103:9, time=198/27961
117: reward=-31.87 vs 89.89, winner=blue, r_win=2:46:2, win=4:104:9, time=194/28155
118: reward=-9.83 vs -9.83, winner=draw, r_win=2:45:3, win=4:104:10, time=643/28797
119: reward=-30.48 vs 92.40, winner=blue, r_win=2:45:3, win=4:105:10, time=293/29090
120: reward=-31.77 vs 89.62, winner=blue, r_win=2:45:3, win=4:106:10, time=198/29288
121: reward=-34.31 vs 91.16, winner=blue, r_win=2:45:3, win=4:107:10, time=176/29465
122: reward=-31.68 vs 91.49, winner=blue, r_win=2:45:3, win=4:108:10, time=274/29738
123: reward=-35.15 vs 93.27, winner=blue, r_win=2:45:3, win=4:109:10, time=143/29882
124: reward=-34.12 vs 93.10, winner=blue, r_win=2:45:3, win=4:110:10, time=144/30026
125: reward=-33.12 vs 90.59, winner=blue, r_win=1:46:3, win=4:111:10, time=184/30210
126: reward=-31.95 vs 92.77, winner=blue, r_win=0:47:3, win=4:112:10, time=330/30540
127: reward=-34.72 vs 92.20, winner=blue, r_win=0:47:3, win=4:113:10, time=160/30700
128: reward=-34.42 vs 91.44, winner=blue, r_win=0:47:3, win=4:114:10, time=172/30872
129: reward=-30.98 vs 90.66, winner=blue, r_win=0:47:3, win=4:115:10, time=250/31122
130: reward=-32.32 vs 90.86, winner=blue, r_win=0:47:3, win=4:116:10, time=230/31352
131: reward=-31.28 vs 88.39, winner=blue, r_win=0:47:3, win=4:117:10, time=219/31571
132: reward=-35.03 vs 92.98, winner=blue, r_win=0:47:3, win=4:118:10, time=148/31719
