94: reward=0.00 vs 73.01, recent_win=3 vs 45, winner=blue, win=7 vs 85, draw=2, time=466/42052
95: reward=76.65 vs 0.00, recent_win=4 vs 44, winner=red, win=8 vs 85, draw=2, time=378/42429
96: reward=0.00 vs 71.85, recent_win=4 vs 44, winner=blue, win=8 vs 86, draw=2, time=497/42926
97: reward=0.00 vs 82.49, recent_win=4 vs 44, winner=blue, win=8 vs 87, draw=2, time=259/43185
98: reward=0.00 vs 73.09, recent_win=4 vs 44, winner=blue, win=8 vs 88, draw=2, time=464/43648
99: reward=0.00 vs 0.00, recent_win=4 vs 43, winner=draw, win=8 vs 88, draw=3, time=716/44364
100: reward=0.00 vs 66.77, recent_win=4 vs 43, winner=blue, win=8 vs 89, draw=3, time=656/45019
101: reward=0.00 vs 78.63, recent_win=4 vs 43, winner=blue, win=8 vs 90, draw=3, time=335/45354
102: reward=0.00 vs 82.55, recent_win=4 vs 43, winner=blue, win=8 vs 91, draw=3, time=258/45612
103: reward=0.00 vs 83.14, recent_win=4 vs 43, winner=blue, win=8 vs 92, draw=3, time=247/45858
104: reward=0.00 vs 78.39, recent_win=3 vs 44, winner=blue, win=8 vs 93, draw=3, time=340/46198
105: reward=0.00 vs 73.05, recent_win=3 vs 44, winner=blue, win=8 vs 94, draw=3, time=465/46663
106: reward=0.00 vs 76.60, recent_win=3 vs 44, winner=blue, win=8 vs 95, draw=3, time=379/47041
107: reward=0.00 vs 64.10, recent_win=3 vs 44, winner=blue, win=8 vs 96, draw=3, time=760/47801
108: reward=0.00 vs 72.90, recent_win=3 vs 44, winner=blue, win=8 vs 97, draw=3, time=469/48269
109: reward=0.00 vs 71.21, recent_win=3 vs 44, winner=blue, win=8 vs 98, draw=3, time=515/48784
110: reward=0.00 vs 77.01, recent_win=3 vs 44, winner=blue, win=8 vs 99, draw=3, time=370/49154
111: reward=0.00 vs 80.86, recent_win=2 vs 45, winner=blue, win=8 vs 100, draw=3, time=290/49443
