87: reward=1.00 vs 0.00, win=1 vs 48, recent_win=0 vs 28, draw=38, winner=blue, time=115/10997
88: reward=1.00 vs 0.00, win=1 vs 48, recent_win=0 vs 27, draw=39, winner=draw, time=131/11129
89: reward=1.00 vs 0.00, win=1 vs 49, recent_win=0 vs 27, draw=39, winner=blue, time=152/11281
90: reward=1.00 vs 0.00, win=1 vs 50, recent_win=0 vs 27, draw=39, winner=blue, time=113/11393
91: reward=3.00 vs 0.00, win=1 vs 51, recent_win=0 vs 28, draw=39, winner=blue, time=140/11534
92: reward=3.00 vs 0.00, win=1 vs 51, recent_win=0 vs 27, draw=40, winner=draw, time=84/11618
93: reward=1.00 vs 0.00, win=1 vs 51, recent_win=0 vs 26, draw=41, winner=draw, time=141/11759
94: reward=1.00 vs 0.00, win=1 vs 51, recent_win=0 vs 26, draw=42, winner=draw, time=115/11874
95: reward=1.00 vs 0.00, win=1 vs 51, recent_win=0 vs 26, draw=43, winner=draw, time=92/11965
96: reward=5.00 vs 0.00, win=1 vs 51, recent_win=0 vs 26, draw=44, winner=draw, time=152/12117
97: reward=1.00 vs 0.00, win=1 vs 51, recent_win=0 vs 26, draw=45, winner=draw, time=144/12262
98: reward=1.00 vs 0.00, win=1 vs 51, recent_win=0 vs 26, draw=46, winner=draw, time=119/12381
99: reward=1.00 vs 0.00, win=1 vs 51, recent_win=0 vs 25, draw=47, winner=draw, time=137/12518
100: reward=1.00 vs 0.00, win=1 vs 52, recent_win=0 vs 25, draw=47, winner=blue, time=120/12638
101: reward=3.00 vs 0.00, win=1 vs 53, recent_win=0 vs 25, draw=47, winner=blue, time=109/12748
102: reward=2.00 vs 0.00, win=1 vs 53, recent_win=0 vs 24, draw=48, winner=draw, time=144/12892
103: reward=1.00 vs 0.00, win=1 vs 54, recent_win=0 vs 24, draw=48, winner=blue, time=153/13045
104: reward=1.00 vs 0.00, win=1 vs 54, recent_win=0 vs 24, draw=49, winner=draw, time=146/13191
105: reward=1.00 vs 0.00, win=1 vs 54, recent_win=0 vs 24, draw=50, winner=draw, time=108/13299
106: reward=2.00 vs 0.00, win=1 vs 55, recent_win=0 vs 24, draw=50, winner=blue, time=152/13451
107: reward=2.00 vs 0.00, win=1 vs 55, recent_win=0 vs 23, draw=51, winner=draw, time=85/13536
108: reward=1.00 vs 0.00, win=1 vs 56, recent_win=0 vs 23, draw=51, winner=blue, time=129/13666
109: reward=8.00 vs 0.00, win=1 vs 56, recent_win=0 vs 23, draw=52, winner=draw, time=294/13959
110: reward=1.00 vs 0.00, win=1 vs 57, recent_win=0 vs 23, draw=52, winner=blue, time=144/14104
111: reward=5.00 vs 0.00, win=1 vs 58, recent_win=0 vs 24, draw=52, winner=blue, time=159/14262
112: reward=2.00 vs 0.00, win=1 vs 59, recent_win=0 vs 24, draw=52, winner=blue, time=154/14417
113: reward=1.00 vs 0.00, win=1 vs 60, recent_win=0 vs 25, draw=52, winner=blue, time=125/14542
114: reward=1.00 vs 0.00, win=1 vs 60, recent_win=0 vs 24, draw=53, winner=draw, time=129/14671
115: reward=1.00 vs 0.00, win=1 vs 60, recent_win=0 vs 24, draw=54, winner=draw, time=131/14802
116: reward=1.00 vs 0.00, win=1 vs 60, recent_win=0 vs 24, draw=55, winner=draw, time=155/14957
117: reward=2.00 vs 0.00, win=1 vs 60, recent_win=0 vs 23, draw=56, winner=draw, time=150/15107
118: reward=5.00 vs 0.00, win=1 vs 61, recent_win=0 vs 24, draw=56, winner=blue, time=172/15279
119: reward=5.00 vs 0.00, win=1 vs 62, recent_win=0 vs 25, draw=56, winner=blue, time=107/15387
120: reward=1.00 vs 0.00, win=1 vs 63, recent_win=0 vs 25, draw=56, winner=blue, time=126/15512
121: reward=4.00 vs 0.00, win=1 vs 64, recent_win=0 vs 26, draw=56, winner=blue, time=147/15659
122: reward=2.00 vs 0.00, win=1 vs 65, recent_win=0 vs 26, draw=56, winner=blue, time=115/15774
123: reward=2.00 vs 0.00, win=1 vs 66, recent_win=0 vs 27, draw=56, winner=blue, time=115/15889
124: reward=1.00 vs 0.00, win=1 vs 67, recent_win=0 vs 28, draw=56, winner=blue, time=129/16018
125: reward=1.00 vs 0.00, win=1 vs 68, recent_win=0 vs 29, draw=56, winner=blue, time=138/16156
126: reward=5.00 vs 0.00, win=1 vs 68, recent_win=0 vs 28, draw=57, winner=draw, time=140/16296
127: reward=5.00 vs 0.00, win=1 vs 68, recent_win=0 vs 27, draw=58, winner=draw, time=80/16375
128: reward=1.00 vs 0.00, win=1 vs 68, recent_win=0 vs 27, draw=59, winner=draw, time=103/16478
129: reward=2.00 vs 0.00, win=1 vs 69, recent_win=0 vs 27, draw=59, winner=blue, time=172/16650
130: reward=1.00 vs 0.00, win=2 vs 69, recent_win=1 vs 26, draw=59, winner=red, time=96/16746
131: reward=1.00 vs 0.00, win=2 vs 69, recent_win=1 vs 25, draw=60, winner=draw, time=133/16880
132: reward=1.00 vs 0.00, win=2 vs 69, recent_win=1 vs 25, draw=61, winner=draw, time=131/17011
133: reward=1.00 vs 0.00, win=2 vs 69, recent_win=1 vs 24, draw=62, winner=draw, time=125/17136
134: reward=6.00 vs 0.00, win=2 vs 70, recent_win=1 vs 24, draw=62, winner=blue, time=209/17345
135: reward=3.00 vs 0.00, win=2 vs 71, recent_win=1 vs 25, draw=62, winner=blue, time=107/17452
136: reward=3.00 vs 0.00, win=2 vs 71, recent_win=1 vs 24, draw=63, winner=draw, time=71/17523
137: reward=1.00 vs 0.00, win=2 vs 72, recent_win=1 vs 24, draw=63, winner=blue, time=127/17650
138: reward=1.00 vs 0.00, win=2 vs 73, recent_win=1 vs 25, draw=63, winner=blue, time=103/17753
139: reward=2.00 vs 0.00, win=2 vs 74, recent_win=1 vs 25, draw=63, winner=blue, time=129/17882
140: reward=5.00 vs 0.00, win=2 vs 75, recent_win=1 vs 25, draw=63, winner=blue, time=198/18080
141: reward=5.00 vs 0.00, win=2 vs 75, recent_win=1 vs 24, draw=64, winner=draw, time=138/18218
142: reward=2.00 vs 0.00, win=2 vs 75, recent_win=1 vs 24, draw=65, winner=draw, time=153/18371
143: reward=1.00 vs 0.00, win=2 vs 75, recent_win=1 vs 24, draw=66, winner=draw, time=154/18526
144: reward=4.00 vs 0.00, win=2 vs 76, recent_win=1 vs 25, draw=66, winner=blue, time=164/18690
145: reward=2.00 vs 0.00, win=2 vs 76, recent_win=1 vs 25, draw=67, winner=draw, time=143/18833
146: reward=2.00 vs 0.00, win=2 vs 76, recent_win=1 vs 25, draw=68, winner=draw, time=135/18968
147: reward=3.00 vs 0.00, win=2 vs 77, recent_win=1 vs 26, draw=68, winner=blue, time=126/19094
148: reward=1.00 vs 0.00, win=2 vs 77, recent_win=1 vs 26, draw=69, winner=draw, time=135/19228
149: reward=1.00 vs 0.00, win=2 vs 77, recent_win=1 vs 26, draw=70, winner=draw, time=135/19363
150: reward=1.00 vs 0.00, win=2 vs 78, recent_win=1 vs 26, draw=70, winner=blue, time=135/19498
151: reward=1.00 vs 0.00, win=2 vs 78, recent_win=1 vs 25, draw=71, winner=draw, time=66/19564
152: reward=1.00 vs 0.00, win=2 vs 79, recent_win=1 vs 26, draw=71, winner=blue, time=150/19714
153: reward=5.00 vs 0.00, win=2 vs 80, recent_win=1 vs 26, draw=71, winner=blue, time=141/19855
154: reward=6.00 vs 0.00, win=2 vs 80, recent_win=1 vs 26, draw=72, winner=draw, time=170/20025
155: reward=1.00 vs 0.00, win=2 vs 80, recent_win=1 vs 26, draw=73, winner=draw, time=111/20136
156: reward=3.00 vs 0.00, win=2 vs 81, recent_win=1 vs 26, draw=73, winner=blue, time=166/20303
