132: reward=0.00 vs 0.00, winner=draw, r_win=20:2:28, win=60:5:67, time=54/11048
133: reward=95.77 vs 0.00, winner=red, r_win=21:2:27, win=61:5:67, time=73/11121
134: reward=0.00 vs 0.00, winner=draw, r_win=20:2:28, win=61:5:68, time=93/11214
135: reward=95.29 vs 0.00, winner=red, r_win=20:2:28, win=62:5:68, time=80/11293
136: reward=0.00 vs 0.00, winner=draw, r_win=20:2:28, win=62:5:69, time=93/11386
137: reward=1.83 vs 90.05, winner=blue, r_win=19:3:28, win=62:6:69, time=151/11537
138: reward=0.00 vs 0.00, winner=draw, r_win=19:3:28, win=62:6:70, time=100/11638
139: reward=93.17 vs 0.00, winner=red, r_win=20:3:27, win=63:6:70, time=109/11747
140: reward=0.00 vs 0.00, winner=draw, r_win=20:3:27, win=63:6:71, time=89/11836
141: reward=95.27 vs 0.00, winner=red, r_win=21:3:26, win=64:6:71, time=73/11909
142: reward=0.00 vs 0.00, winner=draw, r_win=21:3:26, win=64:6:72, time=99/12009
143: reward=0.00 vs 0.00, winner=draw, r_win=21:3:26, win=64:6:73, time=93/12102
144: reward=0.00 vs 0.00, winner=draw, r_win=20:3:27, win=64:6:74, time=105/12206
145: reward=0.00 vs 0.00, winner=draw, r_win=19:3:28, win=64:6:75, time=64/12271
146: reward=0.00 vs 0.00, winner=draw, r_win=18:3:29, win=64:6:76, time=80/12350
147: reward=92.87 vs 0.00, winner=red, r_win=19:3:28, win=65:6:76, time=114/12464
148: reward=0.00 vs 0.00, winner=draw, r_win=19:3:28, win=65:6:77, time=58/12522
149: reward=0.00 vs 0.00, winner=draw, r_win=19:3:28, win=65:6:78, time=81/12603
150: reward=1.00 vs 0.00, winner=draw, r_win=18:3:29, win=65:6:79, time=72/12675
151: reward=92.79 vs 0.00, winner=red, r_win=18:3:29, win=66:6:79, time=115/12790
152: reward=95.60 vs 0.00, winner=red, r_win=18:3:29, win=67:6:79, time=69/12858
153: reward=0.00 vs 0.00, winner=draw, r_win=18:3:29, win=67:6:80, time=55/12913
