127: reward=79.18 vs -32.09, winner=red, r_win=45:5:0, win=121:6:0, time=338/45256
128: reward=70.34 vs -28.56, winner=red, r_win=45:5:0, win=122:6:0, time=561/45817
129: reward=78.15 vs -31.92, winner=red, r_win=46:4:0, win=123:6:0, time=369/46185
130: reward=80.70 vs -32.94, winner=red, r_win=46:4:0, win=124:6:0, time=315/46500
131: reward=-30.32 vs 77.16, winner=blue, r_win=46:4:0, win=124:7:0, time=347/46846
132: reward=78.92 vs -32.17, winner=red, r_win=46:4:0, win=125:7:0, time=350/47196
133: reward=77.78 vs -31.71, winner=red, r_win=46:4:0, win=126:7:0, time=375/47571
134: reward=80.65 vs -32.92, winner=red, r_win=46:4:0, win=127:7:0, time=316/47886
135: reward=79.21 vs -32.34, winner=red, r_win=46:4:0, win=128:7:0, time=346/48232
136: reward=79.71 vs -32.37, winner=red, r_win=46:4:0, win=129:7:0, time=329/48560
137: reward=79.39 vs -32.36, winner=red, r_win=46:4:0, win=130:7:0, time=340/48900
138: reward=77.16 vs -31.22, winner=red, r_win=46:4:0, win=131:7:0, time=380/49280
139: reward=72.17 vs -28.93, winner=red, r_win=46:4:0, win=132:7:0, time=491/49770
140: reward=-36.54 vs 91.04, winner=blue, r_win=45:5:0, win=132:8:0, time=121/49892
141: reward=80.70 vs -32.94, winner=red, r_win=45:5:0, win=133:8:0, time=315/50206
142: reward=75.22 vs -30.51, winner=red, r_win=45:5:0, win=134:8:0, time=428/50634
143: reward=78.81 vs -31.94, winner=red, r_win=45:5:0, win=135:8:0, time=346/50979
144: reward=77.81 vs -31.60, winner=red, r_win=45:5:0, win=136:8:0, time=370/51349
145: reward=73.52 vs -29.83, winner=red, r_win=45:5:0, win=137:8:0, time=471/51820
146: reward=80.35 vs -32.62, winner=red, r_win=46:4:0, win=138:8:0, time=316/52135
147: reward=79.67 vs -32.47, winner=red, r_win=46:4:0, win=139:8:0, time=334/52469
148: reward=80.06 vs -32.69, winner=red, r_win=46:4:0, win=140:8:0, time=328/52796
149: reward=77.75 vs -31.52, winner=red, r_win=46:4:0, win=141:8:0, time=369/53165
150: reward=79.05 vs -32.10, winner=red, r_win=46:4:0, win=142:8:0, time=343/53508
151: reward=79.58 vs -32.43, winner=red, r_win=46:4:0, win=143:8:0, time=336/53843
152: reward=81.30 vs -33.18, winner=red, r_win=46:4:0, win=144:8:0, time=303/54146
153: reward=80.90 vs -33.02, winner=red, r_win=46:4:0, win=145:8:0, time=311/54456
154: reward=60.70 vs -23.80, winner=red, r_win=46:4:0, win=146:8:0, time=882/55338
155: reward=72.98 vs -29.49, winner=red, r_win=46:4:0, win=147:8:0, time=480/55818
156: reward=78.70 vs -32.14, winner=red, r_win=46:4:0, win=148:8:0, time=357/56174
157: reward=80.60 vs -32.84, winner=red, r_win=46:4:0, win=149:8:0, time=315/56489
158: reward=80.26 vs -32.76, winner=red, r_win=46:4:0, win=150:8:0, time=324/56812
159: reward=-30.84 vs 78.60, winner=blue, r_win=45:5:0, win=150:9:0, time=315/57127
160: reward=80.50 vs -32.86, winner=red, r_win=45:5:0, win=151:9:0, time=319/57446
161: reward=75.81 vs -30.80, winner=red, r_win=45:5:0, win=152:9:0, time=416/57861
162: reward=79.49 vs -32.46, winner=red, r_win=45:5:0, win=153:9:0, time=340/58201
163: reward=80.11 vs -32.64, winner=red, r_win=45:5:0, win=154:9:0, time=325/58525
164: reward=72.68 vs -29.19, winner=red, r_win=45:5:0, win=155:9:0, time=480/59005
165: reward=78.37 vs -31.95, winner=red, r_win=45:5:0, win=156:9:0, time=362/59367
166: reward=78.42 vs -32.03, winner=red, r_win=45:5:0, win=157:9:0, time=363/59729
167: reward=-32.87 vs 83.39, winner=blue, r_win=44:6:0, win=157:10:0, time=228/59957
168: reward=80.35 vs -32.80, winner=red, r_win=44:6:0, win=158:10:0, time=322/60279
169: reward=76.03 vs -30.77, winner=red, r_win=44:6:0, win=159:10:0, time=406/60685
170: reward=79.16 vs -32.32, winner=red, r_win=45:5:0, win=160:10:0, time=347/61031
171: reward=77.78 vs -31.71, winner=red, r_win=46:4:0, win=161:10:0, time=375/61406
172: reward=79.63 vs -32.45, winner=red, r_win=46:4:0, win=162:10:0, time=335/61740
173: reward=77.65 vs -31.66, winner=red, r_win=46:4:0, win=163:10:0, time=378/62118
174: reward=78.97 vs -32.25, winner=red, r_win=46:4:0, win=164:10:0, time=351/62469
175: reward=68.39 vs -27.48, winner=red, r_win=46:4:0, win=165:10:0, time=607/63075
176: reward=78.68 vs -32.01, winner=red, r_win=46:4:0, win=166:10:0, time=353/63428
177: reward=77.87 vs -31.75, winner=red, r_win=46:4:0, win=167:10:0, time=373/63800
178: reward=73.77 vs -29.87, winner=red, r_win=46:4:0, win=168:10:0, time=462/64262
179: reward=79.14 vs -32.14, winner=red, r_win=46:4:0, win=169:10:0, time=341/64603
180: reward=72.78 vs -29.47, winner=red, r_win=46:4:0, win=170:10:0, time=488/65090
181: reward=71.49 vs -28.96, winner=red, r_win=47:3:0, win=171:10:0, time=524/65614
182: reward=78.68 vs -32.01, winner=red, r_win=47:3:0, win=172:10:0, time=353/65966
183: reward=79.42 vs -32.19, winner=red, r_win=47:3:0, win=173:10:0, time=333/66299
184: reward=77.55 vs -31.56, winner=red, r_win=47:3:0, win=174:10:0, time=378/66677
185: reward=77.55 vs -31.32, winner=red, r_win=47:3:0, win=175:10:0, time=369/67045
186: reward=78.33 vs -31.99, winner=red, r_win=47:3:0, win=176:10:0, time=365/67410
187: reward=79.52 vs -32.29, winner=red, r_win=47:3:0, win=177:10:0, time=333/67742
188: reward=79.87 vs -32.55, winner=red, r_win=47:3:0, win=178:10:0, time=330/68072
189: reward=79.44 vs -32.37, winner=red, r_win=47:3:0, win=179:10:0, time=339/68411
190: reward=-14.93 vs -16.53, winner=draw, r_win=47:2:1, win=179:10:1, time=335/68745
191: reward=74.51 vs -30.04, winner=red, r_win=47:2:1, win=180:10:1, time=438/69183
