77: reward=-0.05 vs 1.00, win=5 vs 54, recent_win=3 vs 36, draw=18, winner=blue, time=66/6996
78: reward=1.90 vs 1.80, win=5 vs 55, recent_win=2 vs 37, draw=18, winner=blue, time=102/7098
79: reward=-0.15 vs 2.00, win=5 vs 56, recent_win=2 vs 38, draw=18, winner=blue, time=61/7159
80: reward=0.90 vs 1.90, win=5 vs 57, recent_win=2 vs 38, draw=18, winner=blue, time=88/7247
81: reward=1.00 vs 0.90, win=5 vs 58, recent_win=2 vs 38, draw=18, winner=blue, time=76/7324
82: reward=0.95 vs 1.90, win=5 vs 59, recent_win=2 vs 38, draw=18, winner=blue, time=76/7400
83: reward=0.95 vs 2.00, win=5 vs 60, recent_win=1 vs 39, draw=18, winner=blue, time=62/7462
84: reward=-0.05 vs 1.00, win=5 vs 61, recent_win=1 vs 39, draw=18, winner=blue, time=61/7523
85: reward=-0.05 vs 1.00, win=5 vs 62, recent_win=0 vs 40, draw=18, winner=blue, time=61/7585
86: reward=-0.10 vs 1.00, win=5 vs 63, recent_win=0 vs 41, draw=18, winner=blue, time=76/7661
87: reward=-0.15 vs 2.00, win=5 vs 64, recent_win=0 vs 41, draw=18, winner=blue, time=80/7740
88: reward=1.00 vs 0.90, win=5 vs 65, recent_win=0 vs 42, draw=18, winner=blue, time=87/7828
89: reward=1.00 vs 0.90, win=5 vs 66, recent_win=0 vs 43, draw=18, winner=blue, time=76/7904
90: reward=1.00 vs 1.00, win=5 vs 67, recent_win=0 vs 44, draw=18, winner=blue, time=61/7965
91: reward=1.00 vs 0.90, win=5 vs 68, recent_win=0 vs 45, draw=18, winner=blue, time=92/8057
92: reward=-0.10 vs 1.00, win=5 vs 69, recent_win=0 vs 45, draw=18, winner=blue, time=65/8122
93: reward=-0.10 vs 1.00, win=5 vs 70, recent_win=0 vs 45, draw=18, winner=blue, time=66/8189
94: reward=1.00 vs 0.90, win=5 vs 71, recent_win=0 vs 46, draw=18, winner=blue, time=76/8265
95: reward=-0.05 vs 1.00, win=5 vs 72, recent_win=0 vs 46, draw=18, winner=blue, time=61/8326
96: reward=0.95 vs 0.90, win=5 vs 73, recent_win=0 vs 46, draw=18, winner=blue, time=76/8402
97: reward=0.95 vs 0.90, win=5 vs 74, recent_win=0 vs 47, draw=18, winner=blue, time=88/8491
98: reward=1.00 vs 0.90, win=5 vs 75, recent_win=0 vs 47, draw=18, winner=blue, time=98/8589
99: reward=1.00 vs 0.90, win=5 vs 76, recent_win=0 vs 48, draw=18, winner=blue, time=83/8672
100: reward=1.00 vs 1.90, win=5 vs 77, recent_win=0 vs 49, draw=18, winner=blue, time=81/8753
101: reward=1.00 vs 0.90, win=5 vs 78, recent_win=0 vs 50, draw=18, winner=blue, time=94/8847
102: reward=1.00 vs 0.90, win=5 vs 79, recent_win=0 vs 50, draw=18, winner=blue, time=76/8923
103: reward=2.00 vs -0.20, win=5 vs 80, recent_win=0 vs 50, draw=18, winner=blue, time=70/8993
104: reward=2.00 vs 1.00, win=5 vs 81, recent_win=0 vs 50, draw=18, winner=blue, time=65/9058
105: reward=2.00 vs 1.00, win=5 vs 82, recent_win=0 vs 50, draw=18, winner=blue, time=77/9135
106: reward=2.00 vs -0.20, win=5 vs 83, recent_win=0 vs 50, draw=18, winner=blue, time=73/9208
