69: reward=93.99 vs 1.00, reward_evade=0.00 vs 0.00, win=26 vs 20, recent_win=20 vs 14, draw=23, winner=draw, time=94/7927
70: reward=1.00 vs 0.90, reward_evade=0.00 vs 0.00, win=26 vs 20, recent_win=19 vs 14, draw=24, winner=draw, time=122/8050
71: reward=4.00 vs 0.60, reward_evade=0.00 vs 0.00, win=26 vs 20, recent_win=19 vs 13, draw=25, winner=draw, time=142/8192
72: reward=92.05 vs -0.10, reward_evade=0.00 vs 0.00, win=27 vs 20, recent_win=20 vs 12, draw=25, winner=red, time=147/8339
73: reward=96.21 vs -0.10, reward_evade=0.00 vs 0.00, win=28 vs 20, recent_win=21 vs 11, draw=25, winner=red, time=86/8425
74: reward=92.42 vs -0.10, reward_evade=0.00 vs 0.00, win=29 vs 20, recent_win=22 vs 11, draw=25, winner=red, time=141/8566
75: reward=93.62 vs -0.10, reward_evade=0.00 vs 0.00, win=30 vs 20, recent_win=22 vs 11, draw=25, winner=red, time=125/8691
76: reward=93.62 vs -0.10, reward_evade=0.00 vs 0.00, win=31 vs 20, recent_win=22 vs 11, draw=25, winner=red, time=125/8815
77: reward=4.00 vs 89.08, reward_evade=0.00 vs 0.00, win=31 vs 21, recent_win=21 vs 12, draw=25, winner=blue, time=155/8971
78: reward=5.00 vs 89.59, reward_evade=0.00 vs 0.00, win=31 vs 22, recent_win=20 vs 13, draw=25, winner=blue, time=163/9134
79: reward=92.93 vs -0.10, reward_evade=0.00 vs 0.00, win=32 vs 22, recent_win=21 vs 13, draw=25, winner=red, time=133/9268
80: reward=92.93 vs 1.00, reward_evade=0.00 vs 0.00, win=32 vs 22, recent_win=20 vs 13, draw=26, winner=draw, time=91/9358
81: reward=92.93 vs 1.00, reward_evade=0.00 vs 0.00, win=32 vs 22, recent_win=20 vs 12, draw=27, winner=draw, time=55/9413
82: reward=93.73 vs -0.20, reward_evade=0.00 vs 0.00, win=33 vs 22, recent_win=20 vs 12, draw=27, winner=red, time=138/9551
83: reward=92.56 vs -0.10, reward_evade=0.00 vs 0.00, win=34 vs 22, recent_win=21 vs 12, draw=27, winner=red, time=139/9690
84: reward=4.00 vs 89.87, reward_evade=0.00 vs 0.00, win=34 vs 23, recent_win=21 vs 12, draw=27, winner=blue, time=143/9834
85: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=34 vs 23, recent_win=21 vs 12, draw=28, winner=draw, time=107/9941
86: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=34 vs 23, recent_win=21 vs 12, draw=29, winner=draw, time=102/10042
87: reward=94.37 vs -0.10, reward_evade=0.00 vs 0.00, win=35 vs 23, recent_win=22 vs 11, draw=29, winner=red, time=114/10156
88: reward=92.63 vs -0.10, reward_evade=0.00 vs 0.00, win=36 vs 23, recent_win=22 vs 11, draw=29, winner=red, time=138/10294
89: reward=5.00 vs 90.09, reward_evade=0.00 vs 0.00, win=36 vs 24, recent_win=21 vs 12, draw=29, winner=blue, time=140/10434
90: reward=1.00 vs 0.90, reward_evade=0.00 vs 0.00, win=36 vs 24, recent_win=21 vs 11, draw=30, winner=draw, time=125/10559
91: reward=4.00 vs 89.58, reward_evade=0.00 vs 0.00, win=36 vs 25, recent_win=21 vs 11, draw=30, winner=blue, time=148/10707
92: reward=5.00 vs 90.37, reward_evade=0.00 vs 0.00, win=36 vs 26, recent_win=21 vs 12, draw=30, winner=blue, time=151/10858
93: reward=94.14 vs -0.10, reward_evade=0.00 vs 0.00, win=37 vs 26, recent_win=22 vs 12, draw=30, winner=red, time=117/10975
94: reward=93.44 vs -0.10, reward_evade=0.00 vs 0.00, win=38 vs 26, recent_win=23 vs 11, draw=30, winner=red, time=126/11100
95: reward=4.00 vs 90.02, reward_evade=0.00 vs 0.00, win=38 vs 27, recent_win=23 vs 11, draw=30, winner=blue, time=141/11242
96: reward=3.00 vs 0.70, reward_evade=0.00 vs 0.00, win=38 vs 27, recent_win=22 vs 11, draw=31, winner=draw, time=138/11380
97: reward=1.00 vs 0.90, reward_evade=0.00 vs 0.00, win=38 vs 27, recent_win=22 vs 11, draw=32, winner=draw, time=120/11500
98: reward=93.99 vs -0.10, reward_evade=0.00 vs 0.00, win=39 vs 27, recent_win=23 vs 10, draw=32, winner=red, time=119/11619
99: reward=93.99 vs 1.00, reward_evade=0.00 vs 0.00, win=39 vs 27, recent_win=22 vs 10, draw=33, winner=draw, time=98/11717
100: reward=97.37 vs -0.10, reward_evade=0.00 vs 0.00, win=40 vs 27, recent_win=22 vs 10, draw=33, winner=red, time=84/11801
101: reward=4.00 vs 89.58, reward_evade=0.00 vs 0.00, win=40 vs 28, recent_win=22 vs 11, draw=33, winner=blue, time=148/11949
102: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=40 vs 28, recent_win=21 vs 11, draw=34, winner=draw, time=50/11999
103: reward=93.52 vs -0.10, reward_evade=0.00 vs 0.00, win=41 vs 28, recent_win=22 vs 11, draw=34, winner=red, time=125/12124
104: reward=4.00 vs 91.97, reward_evade=0.00 vs 0.00, win=41 vs 29, recent_win=22 vs 12, draw=34, winner=blue, time=114/12238
105: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=41 vs 29, recent_win=21 vs 12, draw=35, winner=draw, time=92/12329
106: reward=4.00 vs 90.61, reward_evade=0.00 vs 0.00, win=41 vs 30, recent_win=20 vs 13, draw=35, winner=blue, time=149/12478
107: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=41 vs 30, recent_win=20 vs 13, draw=36, winner=draw, time=100/12579
108: reward=4.00 vs 90.47, reward_evade=0.00 vs 0.00, win=41 vs 31, recent_win=20 vs 14, draw=36, winner=blue, time=151/12730
109: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=41 vs 31, recent_win=20 vs 13, draw=37, winner=draw, time=105/12835
110: reward=94.29 vs -0.10, reward_evade=0.00 vs 0.00, win=42 vs 31, recent_win=20 vs 13, draw=37, winner=red, time=115/12950
111: reward=93.44 vs -0.10, reward_evade=0.00 vs 0.00, win=43 vs 31, recent_win=21 vs 12, draw=37, winner=red, time=126/13075
112: reward=2.00 vs 0.80, reward_evade=0.00 vs 0.00, win=43 vs 31, recent_win=20 vs 12, draw=38, winner=draw, time=131/13207
113: reward=3.00 vs 90.85, reward_evade=0.00 vs 0.00, win=43 vs 32, recent_win=20 vs 12, draw=38, winner=blue, time=147/13353
114: reward=5.00 vs 90.37, reward_evade=0.00 vs 0.00, win=43 vs 33, recent_win=20 vs 13, draw=38, winner=blue, time=151/13505
115: reward=4.00 vs 90.85, reward_evade=0.00 vs 0.00, win=43 vs 34, recent_win=19 vs 14, draw=38, winner=blue, time=130/13635
116: reward=2.00 vs 0.80, reward_evade=0.00 vs 0.00, win=43 vs 34, recent_win=18 vs 14, draw=39, winner=draw, time=129/13764
117: reward=94.37 vs -0.10, reward_evade=0.00 vs 0.00, win=44 vs 34, recent_win=18 vs 14, draw=39, winner=red, time=114/13878
118: reward=93.99 vs -0.10, reward_evade=0.00 vs 0.00, win=45 vs 34, recent_win=19 vs 14, draw=39, winner=red, time=119/13997
119: reward=4.00 vs 90.31, reward_evade=0.00 vs 0.00, win=45 vs 35, recent_win=19 vs 15, draw=39, winner=blue, time=137/14134
120: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=45 vs 35, recent_win=19 vs 15, draw=40, winner=draw, time=103/14236
121: reward=92.85 vs -0.10, reward_evade=0.00 vs 0.00, win=46 vs 35, recent_win=20 vs 15, draw=40, winner=red, time=135/14371
