99: reward=1.30 vs 0.00, recent_win=0 vs 32, winner=draw, win=1 vs 57, draw=41, time=150/12643
100: reward=0.40 vs 89.73, recent_win=0 vs 32, winner=blue, win=1 vs 58, draw=41, time=138/12781
101: reward=0.40 vs 88.94, recent_win=0 vs 32, winner=blue, win=1 vs 59, draw=41, time=150/12931
102: reward=-0.20 vs 0.00, recent_win=0 vs 31, winner=draw, win=1 vs 59, draw=42, time=69/13000
103: reward=0.50 vs 90.62, recent_win=0 vs 31, winner=blue, win=1 vs 60, draw=42, time=125/13125
104: reward=0.50 vs 0.00, recent_win=0 vs 30, winner=draw, win=1 vs 60, draw=43, time=139/13264
105: reward=3.20 vs 86.99, recent_win=0 vs 30, winner=blue, win=1 vs 61, draw=43, time=181/13444
106: reward=5.20 vs 0.00, recent_win=0 vs 30, winner=draw, win=1 vs 61, draw=44, time=165/13610
107: reward=0.60 vs 91.29, recent_win=0 vs 31, winner=blue, win=1 vs 62, draw=44, time=115/13725
108: reward=0.60 vs 91.98, recent_win=0 vs 32, winner=blue, win=1 vs 63, draw=44, time=105/13829
109: reward=-0.40 vs 92.44, recent_win=0 vs 32, winner=blue, win=1 vs 64, draw=44, time=98/13928
110: reward=4.20 vs 0.00, recent_win=0 vs 32, winner=draw, win=1 vs 64, draw=45, time=163/14091
111: reward=1.50 vs 90.92, recent_win=0 vs 32, winner=blue, win=1 vs 65, draw=45, time=120/14211
112: reward=0.60 vs 91.37, recent_win=0 vs 33, winner=blue, win=1 vs 66, draw=45, time=114/14325
113: reward=0.70 vs 0.00, recent_win=0 vs 33, winner=draw, win=1 vs 66, draw=46, time=95/14420
114: reward=0.50 vs 90.47, recent_win=0 vs 34, winner=blue, win=1 vs 67, draw=46, time=127/14547
115: reward=5.10 vs 86.86, recent_win=0 vs 34, winner=blue, win=1 vs 68, draw=46, time=183/14730
116: reward=94.40 vs 0.00, recent_win=1 vs 34, winner=red, win=2 vs 68, draw=46, time=69/14798
117: reward=0.60 vs 91.44, recent_win=1 vs 34, winner=blue, win=2 vs 69, draw=46, time=113/14911
118: reward=0.50 vs 90.10, recent_win=1 vs 34, winner=blue, win=2 vs 70, draw=46, time=132/15043
119: reward=0.40 vs 87.88, recent_win=1 vs 34, winner=blue, win=2 vs 71, draw=46, time=166/15210
120: reward=0.70 vs 0.00, recent_win=1 vs 34, winner=draw, win=2 vs 71, draw=47, time=99/15309
121: reward=0.30 vs 89.01, recent_win=1 vs 34, winner=blue, win=2 vs 72, draw=47, time=149/15458
122: reward=0.40 vs 0.00, recent_win=1 vs 33, winner=draw, win=2 vs 72, draw=48, time=158/15616
123: reward=-0.30 vs 0.00, recent_win=1 vs 32, winner=draw, win=2 vs 72, draw=49, time=92/15708
124: reward=2.30 vs 87.26, recent_win=1 vs 32, winner=blue, win=2 vs 73, draw=49, time=176/15884
125: reward=0.40 vs 88.44, recent_win=1 vs 33, winner=blue, win=2 vs 74, draw=49, time=158/16042
126: reward=0.40 vs 89.52, recent_win=1 vs 33, winner=blue, win=2 vs 75, draw=49, time=141/16183
127: reward=1.30 vs 0.00, recent_win=1 vs 32, winner=draw, win=2 vs 75, draw=50, time=153/16336
128: reward=0.40 vs 88.44, recent_win=1 vs 33, winner=blue, win=2 vs 76, draw=50, time=158/16494
129: reward=2.30 vs 88.87, recent_win=1 vs 33, winner=blue, win=2 vs 77, draw=50, time=151/16645
130: reward=3.40 vs 88.80, recent_win=1 vs 33, winner=blue, win=2 vs 78, draw=50, time=152/16797
131: reward=0.60 vs 0.00, recent_win=1 vs 32, winner=draw, win=2 vs 78, draw=51, time=114/16911
132: reward=2.40 vs 89.01, recent_win=1 vs 33, winner=blue, win=2 vs 79, draw=51, time=149/17060
133: reward=-0.40 vs 91.07, recent_win=1 vs 33, winner=blue, win=2 vs 80, draw=51, time=118/17178
134: reward=1.50 vs 90.10, recent_win=1 vs 33, winner=blue, win=2 vs 81, draw=51, time=132/17310
135: reward=0.60 vs 91.44, recent_win=1 vs 33, winner=blue, win=2 vs 82, draw=51, time=113/17423
136: reward=0.50 vs 90.03, recent_win=1 vs 33, winner=blue, win=2 vs 83, draw=51, time=133/17556
137: reward=94.01 vs 0.00, recent_win=2 vs 32, winner=red, win=3 vs 83, draw=51, time=86/17643
138: reward=1.30 vs 88.87, recent_win=2 vs 32, winner=blue, win=3 vs 84, draw=51, time=151/17794
139: reward=-0.50 vs 0.00, recent_win=2 vs 32, winner=draw, win=3 vs 84, draw=52, time=129/17923
140: reward=-0.20 vs 0.00, recent_win=2 vs 32, winner=draw, win=3 vs 84, draw=53, time=82/18005
141: reward=0.50 vs 90.25, recent_win=2 vs 33, winner=blue, win=3 vs 85, draw=53, time=130/18135
142: reward=1.30 vs 88.44, recent_win=2 vs 34, winner=blue, win=3 vs 86, draw=53, time=158/18293
143: reward=3.20 vs 87.75, recent_win=2 vs 34, winner=blue, win=3 vs 87, draw=53, time=169/18461
144: reward=0.40 vs 88.58, recent_win=2 vs 34, winner=blue, win=3 vs 88, draw=53, time=155/18617
145: reward=-0.30 vs 0.00, recent_win=2 vs 33, winner=draw, win=3 vs 88, draw=54, time=80/18696
146: reward=2.20 vs 88.16, recent_win=2 vs 33, winner=blue, win=3 vs 89, draw=54, time=162/18858
147: reward=-0.20 vs 0.00, recent_win=2 vs 33, winner=draw, win=3 vs 89, draw=55, time=74/18933
148: reward=5.10 vs 0.00, recent_win=2 vs 32, winner=draw, win=3 vs 89, draw=56, time=187/19120
149: reward=0.50 vs 90.25, recent_win=2 vs 33, winner=blue, win=3 vs 90, draw=56, time=130/19250
150: reward=2.50 vs 0.00, recent_win=2 vs 32, winner=draw, win=3 vs 90, draw=57, time=132/19383
151: reward=3.20 vs 87.75, recent_win=2 vs 32, winner=blue, win=3 vs 91, draw=57, time=169/19551
152: reward=0.50 vs 90.77, recent_win=2 vs 33, winner=blue, win=3 vs 92, draw=57, time=122/19674
153: reward=-0.30 vs 0.00, recent_win=2 vs 32, winner=draw, win=3 vs 92, draw=58, time=81/19754
154: reward=3.10 vs 87.06, recent_win=2 vs 33, winner=blue, win=3 vs 93, draw=58, time=180/19934
155: reward=2.30 vs 87.20, recent_win=2 vs 33, winner=blue, win=3 vs 94, draw=58, time=177/20112
156: reward=3.30 vs 88.44, recent_win=2 vs 34, winner=blue, win=3 vs 95, draw=58, time=158/20269
157: reward=5.10 vs 86.19, recent_win=2 vs 34, winner=blue, win=3 vs 96, draw=58, time=194/20463
158: reward=-0.50 vs 90.17, recent_win=2 vs 34, winner=blue, win=3 vs 97, draw=58, time=131/20595
159: reward=0.40 vs 90.10, recent_win=2 vs 34, winner=blue, win=3 vs 98, draw=58, time=132/20727
160: reward=1.30 vs 0.00, recent_win=2 vs 34, winner=draw, win=3 vs 98, draw=59, time=170/20897
161: reward=0.40 vs 0.00, recent_win=2 vs 33, winner=draw, win=3 vs 98, draw=60, time=139/21036
162: reward=0.50 vs 0.00, recent_win=2 vs 32, winner=draw, win=3 vs 98, draw=61, time=144/21180
163: reward=5.00 vs 86.05, recent_win=2 vs 33, winner=blue, win=3 vs 99, draw=61, time=196/21377
