136: reward=-33.80 vs 89.50, winner=blue, r_win=3:47:0, win=13:118:5, time=317/32553
137: reward=-34.04 vs 91.59, winner=blue, r_win=3:47:0, win=13:119:5, time=305/32858
138: reward=-34.61 vs 91.53, winner=blue, r_win=3:47:0, win=13:120:5, time=277/33135
139: reward=-36.61 vs 92.53, winner=blue, r_win=3:47:0, win=13:121:5, time=277/33411
140: reward=-36.28 vs 91.70, winner=blue, r_win=3:47:0, win=13:122:5, time=293/33704
141: reward=-34.45 vs 89.13, winner=blue, r_win=3:47:0, win=13:123:5, time=335/34038
142: reward=-35.78 vs 90.45, winner=blue, r_win=3:47:0, win=13:124:5, time=318/34356
143: reward=-35.76 vs 92.40, winner=blue, r_win=2:48:0, win=13:125:5, time=270/34626
144: reward=-37.49 vs 93.97, winner=blue, r_win=2:48:0, win=13:126:5, time=173/34799
145: reward=76.37 vs -22.05, winner=red, r_win=3:47:0, win=14:126:5, time=330/35128
146: reward=-35.53 vs 91.82, winner=blue, r_win=3:47:0, win=14:127:5, time=281/35409
147: reward=-37.15 vs 92.62, winner=blue, r_win=3:47:0, win=14:128:5, time=229/35638
148: reward=-34.22 vs 90.55, winner=blue, r_win=3:47:0, win=14:129:5, time=296/35934
149: reward=-41.21 vs 98.01, winner=blue, r_win=3:47:0, win=14:130:5, time=348/36281
150: reward=-37.79 vs 94.73, winner=blue, r_win=3:47:0, win=14:131:5, time=161/36442
151: reward=-37.32 vs 93.80, winner=blue, r_win=3:47:0, win=14:132:5, time=160/36602
152: reward=-35.51 vs 91.77, winner=blue, r_win=3:47:0, win=14:133:5, time=282/36884
153: reward=-36.00 vs 92.99, winner=blue, r_win=3:47:0, win=14:134:5, time=259/37142
154: reward=-38.41 vs 95.03, winner=blue, r_win=3:47:0, win=14:135:5, time=392/37534
155: reward=-38.34 vs 95.60, winner=blue, r_win=3:47:0, win=14:136:5, time=69/37602
156: reward=74.70 vs -17.28, winner=red, r_win=4:46:0, win=15:136:5, time=293/37895
157: reward=-32.84 vs 90.86, winner=blue, r_win=4:46:0, win=15:137:5, time=290/38185
158: reward=-32.99 vs 94.21, winner=blue, r_win=4:46:0, win=15:138:5, time=448/38632
159: reward=-34.16 vs 92.40, winner=blue, r_win=4:46:0, win=15:139:5, time=251/38884
160: reward=-35.53 vs 91.82, winner=blue, r_win=4:46:0, win=15:140:5, time=281/39164
161: reward=-34.34 vs 90.86, winner=blue, r_win=4:46:0, win=15:141:5, time=290/39454
162: reward=-38.17 vs 94.67, winner=blue, r_win=4:46:0, win=15:142:5, time=109/39563
163: reward=-38.63 vs 95.08, winner=blue, r_win=4:46:0, win=15:143:5, time=148/39711
164: reward=75.70 vs -17.28, winner=red, r_win=5:45:0, win=16:143:5, time=344/40054
165: reward=-33.34 vs 92.10, winner=blue, r_win=5:45:0, win=16:144:5, time=426/40480
166: reward=-36.13 vs 93.34, winner=blue, r_win=5:45:0, win=16:145:5, time=252/40732
167: reward=85.51 vs -29.41, winner=red, r_win=6:44:0, win=17:145:5, time=157/40889
168: reward=-35.95 vs 92.88, winner=blue, r_win=6:44:0, win=17:146:5, time=261/41150
169: reward=-33.95 vs 91.61, winner=blue, r_win=5:45:0, win=17:147:5, time=285/41434
170: reward=-32.28 vs 89.70, winner=blue, r_win=5:45:0, win=17:148:5, time=293/41727
171: reward=-37.11 vs 93.02, winner=blue, r_win=5:45:0, win=17:149:5, time=188/41915
172: reward=-37.93 vs 92.57, winner=blue, r_win=5:45:0, win=17:150:5, time=239/42154
173: reward=-34.06 vs 90.15, winner=blue, r_win=5:45:0, win=17:151:5, time=304/42458
174: reward=-32.94 vs 89.35, winner=blue, r_win=5:45:0, win=17:152:5, time=310/42768
175: reward=-34.30 vs 90.75, winner=blue, r_win=5:45:0, win=17:153:5, time=292/43059
176: reward=-19.48 vs -7.48, winner=draw, r_win=4:45:1, win=17:153:6, time=261/43320
177: reward=-39.05 vs 95.87, winner=blue, r_win=4:45:1, win=17:154:6, time=151/43471
