120: reward=93.52 vs -0.10, reward_evade=0.00 vs 0.00, win=52 vs 31, recent_win=28 vs 11, draw=37, winner=red, time=125/14380
121: reward=93.62 vs -0.10, reward_evade=0.00 vs 0.00, win=53 vs 31, recent_win=29 vs 10, draw=37, winner=red, time=125/14505
122: reward=93.62 vs 1.00, reward_evade=0.00 vs 0.00, win=53 vs 31, recent_win=28 vs 10, draw=38, winner=draw, time=126/14630
123: reward=4.00 vs 89.27, reward_evade=0.00 vs 0.00, win=53 vs 32, recent_win=27 vs 11, draw=38, winner=blue, time=151/14782
124: reward=93.32 vs 89.27, reward_evade=0.00 vs 0.00, win=54 vs 32, recent_win=28 vs 11, draw=38, winner=red, time=129/14911
125: reward=5.00 vs 89.94, reward_evade=0.00 vs 0.00, win=54 vs 33, recent_win=28 vs 11, draw=38, winner=blue, time=158/15068
126: reward=93.84 vs -0.10, reward_evade=0.00 vs 0.00, win=55 vs 33, recent_win=29 vs 10, draw=38, winner=red, time=121/15190
127: reward=94.14 vs -0.10, reward_evade=0.00 vs 0.00, win=56 vs 33, recent_win=30 vs 9, draw=38, winner=red, time=117/15307
128: reward=4.00 vs 92.35, reward_evade=0.00 vs 0.00, win=56 vs 34, recent_win=30 vs 10, draw=38, winner=blue, time=108/15415
129: reward=93.59 vs -0.10, reward_evade=0.00 vs 0.00, win=57 vs 34, recent_win=30 vs 10, draw=38, winner=red, time=124/15539
130: reward=93.89 vs -0.10, reward_evade=0.00 vs 0.00, win=58 vs 34, recent_win=31 vs 9, draw=38, winner=red, time=119/15658
131: reward=93.89 vs 1.00, reward_evade=0.00 vs 0.00, win=58 vs 34, recent_win=31 vs 8, draw=39, winner=draw, time=96/15754
132: reward=5.00 vs 89.06, reward_evade=0.00 vs 0.00, win=58 vs 35, recent_win=30 vs 9, draw=39, winner=blue, time=154/15908
133: reward=93.67 vs -0.10, reward_evade=0.00 vs 0.00, win=59 vs 35, recent_win=31 vs 8, draw=39, winner=red, time=122/16031
134: reward=93.67 vs 1.00, reward_evade=0.00 vs 0.00, win=59 vs 35, recent_win=31 vs 8, draw=40, winner=draw, time=96/16127
135: reward=3.00 vs 0.70, reward_evade=0.00 vs 0.00, win=59 vs 35, recent_win=30 vs 8, draw=41, winner=draw, time=137/16264
136: reward=4.00 vs 92.20, reward_evade=0.00 vs 0.00, win=59 vs 36, recent_win=29 vs 9, draw=41, winner=blue, time=110/16374
137: reward=93.59 vs -0.10, reward_evade=0.00 vs 0.00, win=60 vs 36, recent_win=30 vs 9, draw=41, winner=red, time=124/16498
138: reward=5.00 vs 89.94, reward_evade=0.00 vs 0.00, win=60 vs 37, recent_win=30 vs 9, draw=41, winner=blue, time=158/16655
139: reward=5.00 vs 89.94, reward_evade=0.00 vs 0.00, win=60 vs 37, recent_win=29 vs 9, draw=42, winner=draw, time=99/16755
140: reward=5.00 vs 1.00, reward_evade=0.00 vs 0.00, win=60 vs 37, recent_win=28 vs 9, draw=43, winner=draw, time=59/16814
141: reward=5.00 vs 1.00, reward_evade=0.00 vs 0.00, win=60 vs 37, recent_win=27 vs 9, draw=44, winner=draw, time=104/16918
142: reward=2.00 vs 0.80, reward_evade=0.00 vs 0.00, win=60 vs 37, recent_win=27 vs 8, draw=45, winner=draw, time=137/17055
143: reward=2.00 vs 1.00, reward_evade=0.00 vs 0.00, win=60 vs 37, recent_win=26 vs 8, draw=46, winner=draw, time=50/17105
144: reward=5.00 vs 90.09, reward_evade=0.00 vs 0.00, win=60 vs 38, recent_win=25 vs 9, draw=46, winner=blue, time=140/17245
145: reward=92.85 vs -0.10, reward_evade=0.00 vs 0.00, win=61 vs 38, recent_win=26 vs 9, draw=46, winner=red, time=135/17379
146: reward=93.99 vs -0.10, reward_evade=0.00 vs 0.00, win=62 vs 38, recent_win=26 vs 9, draw=46, winner=red, time=119/17499
147: reward=1.00 vs 0.90, reward_evade=0.00 vs 0.00, win=62 vs 38, recent_win=26 vs 9, draw=47, winner=draw, time=124/17622
148: reward=4.00 vs 92.35, reward_evade=0.00 vs 0.00, win=62 vs 39, recent_win=26 vs 10, draw=47, winner=blue, time=108/17730
149: reward=3.00 vs 90.12, reward_evade=0.00 vs 0.00, win=62 vs 40, recent_win=25 vs 11, draw=47, winner=blue, time=141/17872
150: reward=3.00 vs 90.12, reward_evade=0.00 vs 0.00, win=62 vs 40, recent_win=25 vs 11, draw=48, winner=draw, time=102/17973
151: reward=5.00 vs 89.87, reward_evade=0.00 vs 0.00, win=62 vs 41, recent_win=24 vs 12, draw=48, winner=blue, time=143/18117
152: reward=5.00 vs 89.73, reward_evade=0.00 vs 0.00, win=62 vs 42, recent_win=23 vs 13, draw=48, winner=blue, time=161/18278
153: reward=93.62 vs 89.73, reward_evade=0.00 vs 0.00, win=63 vs 42, recent_win=23 vs 13, draw=48, winner=red, time=125/18402
154: reward=96.29 vs -0.10, reward_evade=0.00 vs 0.00, win=64 vs 42, recent_win=23 vs 13, draw=48, winner=red, time=85/18487
155: reward=96.29 vs 1.00, reward_evade=0.00 vs 0.00, win=64 vs 42, recent_win=23 vs 13, draw=49, winner=draw, time=56/18544
156: reward=92.93 vs -0.10, reward_evade=0.00 vs 0.00, win=65 vs 42, recent_win=23 vs 13, draw=49, winner=red, time=133/18677
157: reward=92.93 vs 1.00, reward_evade=0.00 vs 0.00, win=65 vs 42, recent_win=22 vs 13, draw=50, winner=draw, time=96/18773
158: reward=4.00 vs 91.74, reward_evade=0.00 vs 0.00, win=65 vs 43, recent_win=21 vs 14, draw=50, winner=blue, time=117/18890
159: reward=4.00 vs 90.09, reward_evade=0.00 vs 0.00, win=65 vs 44, recent_win=21 vs 15, draw=50, winner=blue, time=140/19030
160: reward=92.93 vs -0.10, reward_evade=0.00 vs 0.00, win=66 vs 44, recent_win=21 vs 15, draw=50, winner=red, time=133/19164
161: reward=4.00 vs 90.02, reward_evade=0.00 vs 0.00, win=66 vs 45, recent_win=21 vs 15, draw=50, winner=blue, time=141/19305
162: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=66 vs 45, recent_win=20 vs 15, draw=51, winner=draw, time=105/19410
163: reward=93.52 vs -0.10, reward_evade=0.00 vs 0.00, win=67 vs 45, recent_win=20 vs 15, draw=51, winner=red, time=125/19535
164: reward=93.52 vs -0.10, reward_evade=0.00 vs 0.00, win=67 vs 45, recent_win=20 vs 15, draw=52, winner=draw, time=88/19623
165: reward=93.52 vs 1.00, reward_evade=0.00 vs 0.00, win=67 vs 45, recent_win=19 vs 15, draw=53, winner=draw, time=97/19720
166: reward=93.52 vs 1.00, reward_evade=0.00 vs 0.00, win=67 vs 45, recent_win=18 vs 15, draw=54, winner=draw, time=92/19812
167: reward=4.00 vs 91.74, reward_evade=0.00 vs 0.00, win=67 vs 46, recent_win=17 vs 16, draw=54, winner=blue, time=117/19929
168: reward=93.62 vs 91.74, reward_evade=0.00 vs 0.00, win=68 vs 46, recent_win=17 vs 16, draw=54, winner=red, time=125/20054
169: reward=93.00 vs -0.10, reward_evade=0.00 vs 0.00, win=69 vs 46, recent_win=18 vs 15, draw=54, winner=red, time=132/20186
170: reward=94.29 vs -0.10, reward_evade=0.00 vs 0.00, win=70 vs 46, recent_win=18 vs 15, draw=54, winner=red, time=115/20301
171: reward=92.56 vs -0.10, reward_evade=0.00 vs 0.00, win=71 vs 46, recent_win=18 vs 15, draw=54, winner=red, time=139/20440
172: reward=92.71 vs -0.10, reward_evade=0.00 vs 0.00, win=72 vs 46, recent_win=19 vs 15, draw=54, winner=red, time=137/20577
173: reward=4.00 vs 90.23, reward_evade=0.00 vs 0.00, win=72 vs 47, recent_win=19 vs 15, draw=54, winner=blue, time=138/20715
174: reward=4.00 vs 90.09, reward_evade=0.00 vs 0.00, win=72 vs 48, recent_win=18 vs 16, draw=54, winner=blue, time=140/20855
