87: reward=2.18 vs 78.96, recent_win=4 vs 32, winner=blue, win=6 vs 61, draw=20, time=328/53275
88: reward=0.35 vs 77.32, recent_win=4 vs 32, winner=blue, win=6 vs 62, draw=20, time=363/53637
89: reward=1.43 vs 66.82, recent_win=4 vs 32, winner=blue, win=6 vs 63, draw=20, time=654/54291
90: reward=3.15 vs 66.54, recent_win=4 vs 32, winner=blue, win=6 vs 64, draw=20, time=664/54954
91: reward=0.33 vs 80.60, recent_win=4 vs 32, winner=blue, win=6 vs 65, draw=20, time=295/55249
92: reward=0.34 vs 0.00, recent_win=4 vs 32, winner=draw, win=6 vs 65, draw=21, time=312/55561
93: reward=1.86 vs 76.34, recent_win=4 vs 33, winner=blue, win=6 vs 66, draw=21, time=385/55945
94: reward=1.46 vs 61.13, recent_win=3 vs 34, winner=blue, win=6 vs 67, draw=21, time=902/56847
95: reward=0.36 vs 76.60, recent_win=3 vs 34, winner=blue, win=6 vs 68, draw=21, time=379/57225
96: reward=2.29 vs 60.64, recent_win=3 vs 35, winner=blue, win=6 vs 69, draw=21, time=929/58154
97: reward=0.34 vs 80.70, recent_win=3 vs 36, winner=blue, win=6 vs 70, draw=21, time=293/58447
98: reward=1.89 vs 71.96, recent_win=3 vs 37, winner=blue, win=6 vs 71, draw=21, time=494/58940
99: reward=3.24 vs 68.90, recent_win=3 vs 37, winner=blue, win=6 vs 72, draw=21, time=584/59524
100: reward=0.29 vs 0.00, recent_win=3 vs 37, winner=draw, win=6 vs 72, draw=22, time=206/59730
101: reward=2.36 vs 0.00, recent_win=3 vs 37, winner=draw, win=6 vs 72, draw=23, time=1800/61530
102: reward=1.39 vs 72.97, recent_win=3 vs 37, winner=blue, win=6 vs 73, draw=23, time=467/61997
103: reward=2.20 vs 72.86, recent_win=3 vs 38, winner=blue, win=6 vs 74, draw=23, time=470/62466
104: reward=0.35 vs 77.87, recent_win=3 vs 38, winner=blue, win=6 vs 75, draw=23, time=351/62817
105: reward=0.36 vs 76.56, recent_win=3 vs 39, winner=blue, win=6 vs 76, draw=23, time=380/63197
106: reward=1.91 vs 69.06, recent_win=3 vs 39, winner=blue, win=6 vs 77, draw=23, time=579/63775
107: reward=0.40 vs 71.00, recent_win=3 vs 39, winner=blue, win=6 vs 78, draw=23, time=521/64296
108: reward=0.35 vs 77.78, recent_win=3 vs 39, winner=blue, win=6 vs 79, draw=23, time=353/64648
109: reward=1.88 vs 73.32, recent_win=3 vs 39, winner=blue, win=6 vs 80, draw=23, time=458/65106
110: reward=78.26 vs 0.00, recent_win=4 vs 38, winner=red, win=7 vs 80, draw=23, time=415/65521
111: reward=0.35 vs 76.43, recent_win=4 vs 39, winner=blue, win=7 vs 81, draw=23, time=383/65903
112: reward=0.33 vs 0.00, recent_win=4 vs 38, winner=draw, win=7 vs 81, draw=24, time=291/66194
113: reward=0.33 vs 81.11, recent_win=4 vs 38, winner=blue, win=7 vs 82, draw=24, time=285/66478
114: reward=0.38 vs 74.60, recent_win=4 vs 38, winner=blue, win=7 vs 83, draw=24, time=426/66904
115: reward=2.91 vs 59.34, recent_win=4 vs 39, winner=blue, win=7 vs 84, draw=24, time=1007/67911
116: reward=2.84 vs 71.85, recent_win=4 vs 39, winner=blue, win=7 vs 85, draw=24, time=497/68407
117: reward=1.39 vs 71.00, recent_win=4 vs 39, winner=blue, win=7 vs 86, draw=24, time=521/68928
118: reward=0.37 vs 72.59, recent_win=3 vs 40, winner=blue, win=7 vs 87, draw=24, time=477/69404
119: reward=2.27 vs 64.33, recent_win=3 vs 40, winner=blue, win=7 vs 88, draw=24, time=750/70154
120: reward=2.48 vs 71.07, recent_win=3 vs 40, winner=blue, win=7 vs 89, draw=24, time=519/70673
