453: reward=93.60 vs 0.00, winner=red, r_win=39:1:10, win=254:14:185, time=96/39432
454: reward=93.37 vs 0.00, winner=red, r_win=39:1:10, win=255:14:185, time=99/39532
455: reward=0.00 vs 0.00, winner=draw, r_win=39:1:10, win=255:14:186, time=81/39613
456: reward=2.08 vs 91.07, winner=blue, r_win=38:2:10, win=255:15:186, time=121/39734
457: reward=0.00 vs 0.00, winner=draw, r_win=37:2:11, win=255:15:187, time=65/39799
458: reward=93.37 vs 0.00, winner=red, r_win=37:2:11, win=256:15:187, time=99/39899
459: reward=95.61 vs 0.00, winner=red, r_win=37:2:11, win=257:15:187, time=75/39974
460: reward=0.00 vs 0.00, winner=draw, r_win=36:2:12, win=257:15:188, time=97/40071
461: reward=0.00 vs 0.00, winner=draw, r_win=35:2:13, win=257:15:189, time=66/40137
462: reward=93.06 vs 0.00, winner=red, r_win=35:2:13, win=258:15:189, time=104/40241
463: reward=91.97 vs 0.00, winner=red, r_win=36:2:12, win=259:15:189, time=127/40368
464: reward=94.02 vs 0.00, winner=red, r_win=36:2:12, win=260:15:189, time=97/40465
465: reward=96.10 vs 0.00, winner=red, r_win=36:2:12, win=261:15:189, time=69/40534
466: reward=95.19 vs 0.00, winner=red, r_win=36:2:12, win=262:15:189, time=74/40608
467: reward=92.52 vs 0.00, winner=red, r_win=37:2:11, win=263:15:189, time=111/40720
468: reward=2.28 vs 91.52, winner=blue, r_win=36:3:11, win=263:16:189, time=115/40834
469: reward=0.00 vs 0.00, winner=draw, r_win=36:3:11, win=263:16:190, time=104/40938
470: reward=93.37 vs 0.00, winner=red, r_win=37:3:10, win=264:16:190, time=99/41038
471: reward=92.90 vs 0.00, winner=red, r_win=38:3:9, win=265:16:190, time=106/41144
472: reward=94.95 vs 0.00, winner=red, r_win=38:3:9, win=266:16:190, time=77/41221
473: reward=0.00 vs 0.00, winner=draw, r_win=37:3:10, win=266:16:191, time=83/41304
474: reward=92.83 vs 0.00, winner=red, r_win=37:3:10, win=267:16:191, time=107/41411
475: reward=95.53 vs 0.00, winner=red, r_win=37:3:10, win=268:16:191, time=76/41487
476: reward=94.39 vs 0.00, winner=red, r_win=37:3:10, win=269:16:191, time=85/41572
477: reward=94.97 vs 0.00, winner=red, r_win=37:3:10, win=270:16:191, time=84/41656
478: reward=95.93 vs 0.00, winner=red, r_win=37:3:10, win=271:16:191, time=64/41721
479: reward=96.02 vs 0.00, winner=red, r_win=37:3:10, win=272:16:191, time=70/41790
480: reward=0.00 vs 0.00, winner=draw, r_win=36:3:11, win=272:16:192, time=98/41889
481: reward=94.95 vs 0.00, winner=red, r_win=36:3:11, win=273:16:192, time=77/41966
482: reward=0.00 vs 0.00, winner=draw, r_win=36:3:11, win=273:16:193, time=60/42026
483: reward=95.61 vs 0.00, winner=red, r_win=36:3:11, win=274:16:193, time=75/42101
484: reward=96.02 vs 0.00, winner=red, r_win=36:3:11, win=275:16:193, time=70/42171
485: reward=94.87 vs 0.00, winner=red, r_win=36:3:11, win=276:16:193, time=78/42250
486: reward=0.00 vs 0.00, winner=draw, r_win=35:3:12, win=276:16:194, time=100/42350
487: reward=93.52 vs 0.00, winner=red, r_win=35:3:12, win=277:16:194, time=97/42447
488: reward=95.93 vs 0.00, winner=red, r_win=35:3:12, win=278:16:194, time=71/42518
489: reward=95.37 vs 0.00, winner=red, r_win=35:3:12, win=279:16:194, time=78/42597
490: reward=1.00 vs 0.00, winner=draw, r_win=35:3:12, win=279:16:195, time=77/42674
491: reward=0.00 vs 0.00, winner=draw, r_win=35:3:12, win=279:16:196, time=119/42793
492: reward=1.00 vs 0.00, winner=draw, r_win=34:3:13, win=279:16:197, time=105/42898
493: reward=0.00 vs 0.00, winner=draw, r_win=34:3:13, win=279:16:198, time=103/43001
494: reward=0.00 vs 0.00, winner=draw, r_win=33:3:14, win=279:16:199, time=103/43103
495: reward=95.60 vs 0.00, winner=red, r_win=34:2:14, win=280:16:199, time=69/43172
496: reward=96.18 vs 0.00, winner=red, r_win=34:2:14, win=281:16:199, time=68/43240
497: reward=92.90 vs 0.00, winner=red, r_win=34:2:14, win=282:16:199, time=106/43346
498: reward=95.53 vs 0.00, winner=red, r_win=34:2:14, win=283:16:199, time=76/43422
499: reward=96.02 vs 0.00, winner=red, r_win=34:2:14, win=284:16:199, time=70/43492
500: reward=0.00 vs 0.00, winner=draw, r_win=33:2:15, win=284:16:200, time=104/43595
501: reward=95.05 vs 0.00, winner=red, r_win=33:2:15, win=285:16:200, time=83/43678
502: reward=95.84 vs 0.00, winner=red, r_win=33:2:15, win=286:16:200, time=65/43744
503: reward=92.98 vs 0.00, winner=red, r_win=33:2:15, win=287:16:200, time=105/43848
504: reward=96.18 vs 0.00, winner=red, r_win=33:2:15, win=288:16:200, time=68/43916
505: reward=95.53 vs 0.00, winner=red, r_win=34:2:14, win=289:16:200, time=76/43992
506: reward=96.15 vs 0.00, winner=red, r_win=35:1:14, win=290:16:200, time=61/44053
507: reward=94.23 vs 0.00, winner=red, r_win=36:1:13, win=291:16:200, time=87/44141
508: reward=95.05 vs 0.00, winner=red, r_win=36:1:13, win=292:16:200, time=83/44224
