101: reward=0.00 vs 94.11, recent_win=2 vs 48, winner=blue, win=4 vs 97, draw=0, time=75/8842
102: reward=0.00 vs 92.52, recent_win=2 vs 48, winner=blue, win=4 vs 98, draw=0, time=97/8939
103: reward=0.00 vs 93.87, recent_win=2 vs 48, winner=blue, win=4 vs 99, draw=0, time=78/9018
104: reward=0.00 vs 91.07, recent_win=2 vs 48, winner=blue, win=4 vs 100, draw=0, time=118/9136
105: reward=0.00 vs 90.92, recent_win=2 vs 48, winner=blue, win=4 vs 101, draw=0, time=120/9256
106: reward=0.00 vs 95.08, recent_win=1 vs 49, winner=blue, win=4 vs 102, draw=0, time=62/9318
107: reward=0.00 vs 91.67, recent_win=1 vs 49, winner=blue, win=4 vs 103, draw=0, time=109/9428
108: reward=0.00 vs 91.75, recent_win=1 vs 49, winner=blue, win=4 vs 104, draw=0, time=108/9536
109: reward=0.00 vs 94.43, recent_win=1 vs 49, winner=blue, win=4 vs 105, draw=0, time=71/9607
110: reward=0.00 vs 92.68, recent_win=1 vs 49, winner=blue, win=4 vs 106, draw=0, time=95/9702
111: reward=0.00 vs 93.87, recent_win=1 vs 49, winner=blue, win=4 vs 107, draw=0, time=78/9780
112: reward=0.00 vs 94.19, recent_win=1 vs 49, winner=blue, win=4 vs 108, draw=0, time=74/9854
113: reward=0.00 vs 94.03, recent_win=1 vs 49, winner=blue, win=4 vs 109, draw=0, time=76/9931
114: reward=0.00 vs 93.15, recent_win=1 vs 49, winner=blue, win=4 vs 110, draw=0, time=88/10019
115: reward=0.00 vs 94.19, recent_win=1 vs 49, winner=blue, win=4 vs 111, draw=0, time=74/10093
116: reward=0.00 vs 94.03, recent_win=1 vs 49, winner=blue, win=4 vs 112, draw=0, time=76/10169
117: reward=0.00 vs 94.35, recent_win=1 vs 49, winner=blue, win=4 vs 113, draw=0, time=72/10241
118: reward=0.00 vs 94.35, recent_win=1 vs 49, winner=blue, win=4 vs 114, draw=0, time=72/10313
119: reward=0.00 vs 95.15, recent_win=1 vs 49, winner=blue, win=4 vs 115, draw=0, time=61/10374
120: reward=0.00 vs 95.45, recent_win=1 vs 49, winner=blue, win=4 vs 116, draw=0, time=57/10432
121: reward=0.00 vs 94.84, recent_win=1 vs 49, winner=blue, win=4 vs 117, draw=0, time=65/10497
122: reward=0.00 vs 91.90, recent_win=1 vs 49, winner=blue, win=4 vs 118, draw=0, time=106/10603
123: reward=0.00 vs 92.68, recent_win=1 vs 49, winner=blue, win=4 vs 119, draw=0, time=95/10698
124: reward=0.00 vs 95.23, recent_win=1 vs 49, winner=blue, win=4 vs 120, draw=0, time=60/10758
125: reward=0.00 vs 94.27, recent_win=1 vs 49, winner=blue, win=4 vs 121, draw=0, time=73/10831
126: reward=0.00 vs 93.63, recent_win=1 vs 49, winner=blue, win=4 vs 122, draw=0, time=82/10913
127: reward=0.00 vs 94.27, recent_win=0 vs 50, winner=blue, win=4 vs 123, draw=0, time=73/10986
128: reward=0.00 vs 94.43, recent_win=0 vs 50, winner=blue, win=4 vs 124, draw=0, time=71/11057
129: reward=0.00 vs 94.93, recent_win=0 vs 50, winner=blue, win=4 vs 125, draw=0, time=64/11121
130: reward=0.00 vs 93.39, recent_win=0 vs 50, winner=blue, win=4 vs 126, draw=0, time=85/11206
131: reward=0.00 vs 94.76, recent_win=0 vs 50, winner=blue, win=4 vs 127, draw=0, time=66/11272
132: reward=0.00 vs 93.95, recent_win=0 vs 50, winner=blue, win=4 vs 128, draw=0, time=77/11350
133: reward=0.00 vs 91.98, recent_win=0 vs 50, winner=blue, win=4 vs 129, draw=0, time=105/11455
134: reward=0.00 vs 93.87, recent_win=0 vs 50, winner=blue, win=4 vs 130, draw=0, time=78/11533
135: reward=0.00 vs 93.55, recent_win=0 vs 50, winner=blue, win=4 vs 131, draw=0, time=83/11616
136: reward=0.00 vs 92.29, recent_win=0 vs 50, winner=blue, win=4 vs 132, draw=0, time=100/11717
137: reward=0.00 vs 91.83, recent_win=0 vs 50, winner=blue, win=4 vs 133, draw=0, time=107/11824
138: reward=0.00 vs 94.52, recent_win=0 vs 50, winner=blue, win=4 vs 134, draw=0, time=70/11893
139: reward=0.00 vs 94.03, recent_win=0 vs 50, winner=blue, win=4 vs 135, draw=0, time=76/11970
140: reward=0.00 vs 93.71, recent_win=0 vs 50, winner=blue, win=4 vs 136, draw=0, time=81/12050
141: reward=0.00 vs 94.35, recent_win=0 vs 50, winner=blue, win=4 vs 137, draw=0, time=72/12122
142: reward=0.00 vs 92.60, recent_win=0 vs 50, winner=blue, win=4 vs 138, draw=0, time=96/12218
143: reward=0.00 vs 92.76, recent_win=0 vs 50, winner=blue, win=4 vs 139, draw=0, time=94/12312
144: reward=0.00 vs 92.52, recent_win=0 vs 50, winner=blue, win=4 vs 140, draw=0, time=97/12410
145: reward=0.00 vs 94.84, recent_win=0 vs 50, winner=blue, win=4 vs 141, draw=0, time=65/12475
146: reward=0.00 vs 93.47, recent_win=0 vs 50, winner=blue, win=4 vs 142, draw=0, time=84/12559
147: reward=0.00 vs 94.19, recent_win=0 vs 50, winner=blue, win=4 vs 143, draw=0, time=74/12633
148: reward=0.00 vs 93.15, recent_win=0 vs 50, winner=blue, win=4 vs 144, draw=0, time=88/12721
149: reward=0.00 vs 95.45, recent_win=0 vs 50, winner=blue, win=4 vs 145, draw=0, time=57/12779
150: reward=0.00 vs 92.29, recent_win=0 vs 50, winner=blue, win=4 vs 146, draw=0, time=100/12879
151: reward=0.00 vs 93.79, recent_win=0 vs 50, winner=blue, win=4 vs 147, draw=0, time=80/12959
152: reward=0.00 vs 94.03, recent_win=0 vs 50, winner=blue, win=4 vs 148, draw=0, time=76/13035
153: reward=0.00 vs 94.76, recent_win=0 vs 50, winner=blue, win=4 vs 149, draw=0, time=66/13101
154: reward=0.00 vs 94.03, recent_win=0 vs 50, winner=blue, win=4 vs 150, draw=0, time=76/13178
155: reward=0.00 vs 93.79, recent_win=0 vs 50, winner=blue, win=4 vs 151, draw=0, time=80/13257
