120: reward=-0.70 vs 2.00, win=1 vs 53, recent_win=1 vs 25, draw=66, winner=draw, time=63/10345
121: reward=0.25 vs 2.90, win=1 vs 54, recent_win=1 vs 25, draw=66, winner=blue, time=83/10428
122: reward=0.35 vs 2.90, win=1 vs 55, recent_win=0 vs 26, draw=66, winner=blue, time=83/10511
123: reward=-0.55 vs 2.00, win=1 vs 56, recent_win=0 vs 26, draw=66, winner=blue, time=70/10580
124: reward=1.20 vs 2.80, win=1 vs 57, recent_win=0 vs 26, draw=66, winner=blue, time=92/10672
125: reward=0.85 vs 2.90, win=1 vs 58, recent_win=0 vs 26, draw=66, winner=blue, time=76/10748
126: reward=-1.40 vs 3.00, win=1 vs 59, recent_win=0 vs 26, draw=66, winner=blue, time=98/10847
127: reward=0.25 vs 3.00, win=1 vs 59, recent_win=0 vs 26, draw=67, winner=draw, time=44/10891
128: reward=0.60 vs 1.00, win=1 vs 59, recent_win=0 vs 26, draw=68, winner=draw, time=72/10963
129: reward=-0.35 vs 2.00, win=1 vs 60, recent_win=0 vs 26, draw=68, winner=blue, time=66/11029
130: reward=-0.45 vs 3.90, win=1 vs 61, recent_win=0 vs 27, draw=68, winner=blue, time=105/11134
131: reward=-0.45 vs 1.00, win=1 vs 61, recent_win=0 vs 27, draw=69, winner=draw, time=45/11179
132: reward=0.60 vs 1.00, win=2 vs 61, recent_win=1 vs 27, draw=69, winner=red, time=75/11254
133: reward=0.80 vs 1.00, win=3 vs 61, recent_win=2 vs 26, draw=69, winner=red, time=73/11327
134: reward=2.95 vs 3.60, win=3 vs 62, recent_win=2 vs 27, draw=69, winner=blue, time=181/11508
135: reward=-0.85 vs 2.00, win=3 vs 62, recent_win=2 vs 26, draw=70, winner=draw, time=66/11575
136: reward=4.00 vs 3.50, win=3 vs 63, recent_win=2 vs 27, draw=70, winner=blue, time=188/11763
137: reward=3.05 vs 4.70, win=3 vs 63, recent_win=2 vs 26, draw=71, winner=draw, time=150/11913
138: reward=0.60 vs 1.90, win=3 vs 64, recent_win=2 vs 27, draw=71, winner=blue, time=78/11992
139: reward=1.55 vs 1.90, win=3 vs 64, recent_win=2 vs 27, draw=72, winner=draw, time=102/12093
140: reward=-1.05 vs 2.00, win=3 vs 64, recent_win=2 vs 27, draw=73, winner=draw, time=57/12150
141: reward=3.10 vs 4.70, win=4 vs 64, recent_win=3 vs 27, draw=73, winner=red, time=153/12304
142: reward=2.55 vs 3.70, win=5 vs 64, recent_win=4 vs 27, draw=73, winner=red, time=148/12451
143: reward=-1.20 vs 3.00, win=5 vs 65, recent_win=4 vs 28, draw=73, winner=blue, time=82/12533
144: reward=0.45 vs 2.90, win=5 vs 66, recent_win=4 vs 28, draw=73, winner=blue, time=85/12618
145: reward=1.50 vs 1.80, win=5 vs 67, recent_win=4 vs 29, draw=73, winner=blue, time=83/12701
146: reward=0.55 vs 6.70, win=5 vs 68, recent_win=4 vs 29, draw=73, winner=blue, time=161/12862
147: reward=-0.40 vs 2.00, win=5 vs 69, recent_win=4 vs 29, draw=73, winner=blue, time=65/12928
148: reward=-1.00 vs 2.00, win=5 vs 69, recent_win=4 vs 28, draw=74, winner=draw, time=54/12982
149: reward=0.90 vs 2.90, win=5 vs 70, recent_win=4 vs 28, draw=74, winner=blue, time=76/13058
150: reward=-0.10 vs 2.90, win=5 vs 71, recent_win=4 vs 28, draw=74, winner=blue, time=92/13150
151: reward=-0.20 vs 0.90, win=5 vs 71, recent_win=4 vs 27, draw=75, winner=draw, time=58/13208
152: reward=-0.70 vs 2.00, win=5 vs 71, recent_win=4 vs 26, draw=76, winner=draw, time=56/13264
153: reward=-0.55 vs 2.00, win=5 vs 71, recent_win=4 vs 26, draw=77, winner=draw, time=65/13329
154: reward=1.50 vs 2.00, win=5 vs 71, recent_win=4 vs 25, draw=78, winner=draw, time=56/13386
155: reward=2.55 vs 3.70, win=6 vs 71, recent_win=5 vs 25, draw=78, winner=red, time=157/13542
156: reward=0.70 vs 1.90, win=6 vs 72, recent_win=5 vs 25, draw=78, winner=blue, time=76/13619
157: reward=-1.00 vs 1.00, win=6 vs 72, recent_win=5 vs 25, draw=79, winner=draw, time=57/13676
158: reward=1.45 vs 6.70, win=6 vs 73, recent_win=5 vs 26, draw=79, winner=blue, time=158/13833
159: reward=0.65 vs 1.00, win=6 vs 73, recent_win=5 vs 25, draw=80, winner=draw, time=72/13905
160: reward=0.85 vs 1.00, win=7 vs 73, recent_win=6 vs 24, draw=80, winner=red, time=76/13982
161: reward=0.75 vs 2.90, win=7 vs 74, recent_win=6 vs 25, draw=80, winner=blue, time=76/14058
162: reward=-0.95 vs 2.00, win=7 vs 75, recent_win=6 vs 26, draw=80, winner=blue, time=75/14133
163: reward=-0.90 vs 2.00, win=7 vs 76, recent_win=6 vs 27, draw=80, winner=blue, time=76/14209
164: reward=-0.40 vs 2.00, win=7 vs 76, recent_win=6 vs 26, draw=81, winner=draw, time=52/14262
165: reward=-0.50 vs 2.00, win=7 vs 76, recent_win=6 vs 25, draw=82, winner=draw, time=59/14321
166: reward=0.85 vs 5.70, win=7 vs 76, recent_win=6 vs 25, draw=83, winner=draw, time=147/14468
167: reward=0.55 vs 5.70, win=7 vs 76, recent_win=6 vs 25, draw=84, winner=draw, time=41/14509
168: reward=-0.90 vs 2.00, win=7 vs 76, recent_win=6 vs 24, draw=85, winner=draw, time=69/14577
169: reward=-0.70 vs 2.00, win=7 vs 76, recent_win=6 vs 23, draw=86, winner=draw, time=61/14639
170: reward=0.30 vs 7.70, win=7 vs 77, recent_win=6 vs 24, draw=86, winner=blue, time=174/14813
171: reward=-1.55 vs 2.00, win=7 vs 77, recent_win=6 vs 23, draw=87, winner=draw, time=63/14876
172: reward=2.95 vs 5.60, win=7 vs 78, recent_win=6 vs 23, draw=87, winner=blue, time=173/15049
173: reward=5.70 vs 12.00, win=7 vs 79, recent_win=6 vs 23, draw=87, winner=blue, time=368/15417
174: reward=1.05 vs 2.80, win=7 vs 80, recent_win=6 vs 23, draw=87, winner=blue, time=103/15519
175: reward=-0.35 vs 2.00, win=7 vs 81, recent_win=6 vs 23, draw=87, winner=blue, time=64/15584
176: reward=4.00 vs 3.50, win=7 vs 82, recent_win=6 vs 23, draw=87, winner=blue, time=193/15776
177: reward=1.50 vs 7.60, win=7 vs 83, recent_win=6 vs 24, draw=87, winner=blue, time=174/15951
178: reward=0.25 vs 1.90, win=7 vs 84, recent_win=6 vs 25, draw=87, winner=blue, time=87/16038
179: reward=2.55 vs 5.50, win=7 vs 85, recent_win=6 vs 25, draw=87, winner=blue, time=177/16215
180: reward=3.25 vs 4.70, win=7 vs 85, recent_win=6 vs 24, draw=88, winner=draw, time=142/16358
181: reward=-0.75 vs 2.00, win=7 vs 85, recent_win=6 vs 24, draw=89, winner=draw, time=66/16424
182: reward=0.85 vs 1.00, win=7 vs 85, recent_win=5 vs 24, draw=90, winner=draw, time=71/16495
183: reward=-1.10 vs 2.00, win=7 vs 85, recent_win=4 vs 24, draw=91, winner=draw, time=56/16551
184: reward=-0.55 vs 2.00, win=7 vs 86, recent_win=4 vs 24, draw=91, winner=blue, time=66/16618
185: reward=0.40 vs 2.90, win=7 vs 87, recent_win=4 vs 25, draw=91, winner=blue, time=77/16695
186: reward=0.80 vs 2.90, win=7 vs 87, recent_win=4 vs 24, draw=92, winner=draw, time=77/16772
187: reward=2.10 vs 3.70, win=7 vs 87, recent_win=4 vs 24, draw=93, winner=draw, time=139/16911
188: reward=1.85 vs 2.80, win=7 vs 88, recent_win=4 vs 24, draw=93, winner=blue, time=91/17002
189: reward=-1.00 vs 2.00, win=7 vs 88, recent_win=4 vs 24, draw=94, winner=draw, time=58/17060
190: reward=3.90 vs 4.50, win=7 vs 89, recent_win=4 vs 25, draw=94, winner=blue, time=185/17245
191: reward=0.35 vs 2.90, win=7 vs 90, recent_win=3 vs 26, draw=94, winner=blue, time=85/17330
192: reward=3.45 vs 3.60, win=7 vs 91, recent_win=2 vs 27, draw=94, winner=blue, time=174/17505
193: reward=0.75 vs 2.90, win=7 vs 92, recent_win=2 vs 27, draw=94, winner=blue, time=78/17583
194: reward=1.65 vs 2.90, win=7 vs 92, recent_win=2 vs 26, draw=95, winner=draw, time=57/17640
195: reward=-1.05 vs 2.00, win=7 vs 92, recent_win=2 vs 25, draw=96, winner=draw, time=61/17702
196: reward=0.65 vs 2.80, win=7 vs 93, recent_win=2 vs 25, draw=96, winner=blue, time=87/17789
197: reward=-1.00 vs 2.00, win=7 vs 93, recent_win=2 vs 24, draw=97, winner=draw, time=68/17856
198: reward=3.45 vs 3.60, win=7 vs 94, recent_win=2 vs 25, draw=97, winner=blue, time=179/18035
199: reward=-0.95 vs 1.00, win=7 vs 94, recent_win=2 vs 24, draw=98, winner=draw, time=65/18100
200: reward=-0.20 vs 2.00, win=7 vs 95, recent_win=2 vs 24, draw=98, winner=blue, time=62/18162
201: reward=-0.10 vs 2.00, win=7 vs 96, recent_win=2 vs 25, draw=98, winner=blue, time=61/18224
202: reward=-0.30 vs 2.00, win=7 vs 97, recent_win=2 vs 26, draw=98, winner=blue, time=63/18287
203: reward=-0.50 vs 2.00, win=7 vs 97, recent_win=2 vs 26, draw=99, winner=draw, time=65/18352
204: reward=-0.95 vs 2.00, win=7 vs 97, recent_win=2 vs 26, draw=100, winner=draw, time=55/18407
205: reward=0.80 vs 2.00, win=7 vs 97, recent_win=1 vs 26, draw=101, winner=draw, time=43/18451
206: reward=-0.05 vs 2.90, win=7 vs 98, recent_win=1 vs 26, draw=101, winner=blue, time=93/18543
207: reward=-0.10 vs 2.90, win=7 vs 98, recent_win=1 vs 26, draw=102, winner=draw, time=42/18586
208: reward=0.15 vs 2.90, win=7 vs 99, recent_win=1 vs 26, draw=102, winner=blue, time=88/18674
209: reward=-0.20 vs 2.00, win=7 vs 100, recent_win=1 vs 27, draw=102, winner=blue, time=62/18736
210: reward=0.35 vs 1.80, win=7 vs 101, recent_win=0 vs 28, draw=102, winner=blue, time=89/18826
