105: reward=94.15 vs 0.00, winner=red, r_win=13:11:26, win=29:18:58, time=88/11345
106: reward=0.00 vs 0.00, winner=draw, r_win=13:10:27, win=29:18:59, time=69/11414
107: reward=94.43 vs 0.15, winner=red, r_win=14:10:26, win=30:18:59, time=96/11510
108: reward=1.50 vs 91.92, winner=blue, r_win=14:11:25, win=30:19:59, time=122/11632
109: reward=0.00 vs 0.00, winner=draw, r_win=13:11:26, win=30:19:60, time=77/11710
110: reward=94.28 vs 0.15, winner=red, r_win=14:11:25, win=31:19:60, time=98/11808
111: reward=94.10 vs 0.00, winner=red, r_win=15:11:24, win=32:19:60, time=96/11904
112: reward=0.00 vs 0.00, winner=draw, r_win=15:11:24, win=32:19:61, time=92/11996
113: reward=0.00 vs 0.00, winner=draw, r_win=14:11:25, win=32:19:62, time=113/12108
114: reward=0.00 vs 0.00, winner=draw, r_win=13:11:26, win=32:19:63, time=70/12178
115: reward=95.93 vs 0.00, winner=red, r_win=14:11:25, win=33:19:63, time=64/12242
116: reward=2.08 vs 90.01, winner=blue, r_win=14:12:24, win=33:20:63, time=137/12379
117: reward=0.00 vs 0.00, winner=draw, r_win=13:12:25, win=33:20:64, time=110/12489
118: reward=1.00 vs 0.10, winner=draw, r_win=13:12:25, win=33:20:65, time=122/12612
119: reward=95.84 vs 0.00, winner=red, r_win=14:12:24, win=34:20:65, time=65/12677
120: reward=94.36 vs 0.15, winner=red, r_win=15:11:24, win=35:20:65, time=97/12774
121: reward=0.00 vs 0.00, winner=draw, r_win=15:11:24, win=35:20:66, time=72/12846
122: reward=1.50 vs 0.15, winner=draw, r_win=15:11:24, win=35:20:67, time=148/12994
123: reward=0.00 vs 0.00, winner=draw, r_win=14:11:25, win=35:20:68, time=56/13050
124: reward=2.69 vs 85.70, winner=blue, r_win=14:12:24, win=35:21:68, time=224/13274
125: reward=1.00 vs 0.10, winner=draw, r_win=14:12:24, win=35:21:69, time=135/13409
126: reward=0.00 vs 0.00, winner=draw, r_win=13:12:25, win=35:21:70, time=100/13509
127: reward=2.59 vs 86.59, winner=blue, r_win=13:12:25, win=35:22:70, time=192/13701
128: reward=1.50 vs 91.21, winner=blue, r_win=13:13:24, win=35:23:70, time=133/13834
129: reward=95.27 vs 0.00, winner=red, r_win=14:13:23, win=36:23:70, time=73/13907
130: reward=0.00 vs 0.00, winner=draw, r_win=14:13:23, win=36:23:71, time=105/14012
131: reward=1.00 vs 0.10, winner=draw, r_win=14:12:24, win=36:23:72, time=100/14113
132: reward=93.60 vs 0.00, winner=red, r_win=15:12:23, win=37:23:72, time=96/14209
133: reward=0.00 vs 0.00, winner=draw, r_win=15:12:23, win=37:23:73, time=91/14300
134: reward=0.00 vs 0.00, winner=draw, r_win=15:12:23, win=37:23:74, time=96/14396
135: reward=1.00 vs 0.10, winner=draw, r_win=14:12:24, win=37:23:75, time=85/14481
136: reward=2.08 vs 90.01, winner=blue, r_win=13:13:24, win=37:24:75, time=152/14633
137: reward=1.50 vs 92.25, winner=blue, r_win=13:14:23, win=37:25:75, time=118/14751
138: reward=0.00 vs 0.00, winner=draw, r_win=13:14:23, win=37:25:76, time=93/14844
139: reward=2.08 vs 90.70, winner=blue, r_win=13:14:23, win=37:26:76, time=127/14971
140: reward=0.00 vs 0.00, winner=draw, r_win=13:14:23, win=37:26:77, time=86/15057
141: reward=0.00 vs 0.00, winner=draw, r_win=12:14:24, win=37:26:78, time=94/15151
142: reward=2.28 vs 89.31, winner=blue, r_win=12:15:23, win=37:27:78, time=148/15299
143: reward=1.00 vs 0.10, winner=draw, r_win=12:14:24, win=37:27:79, time=91/15389
144: reward=95.93 vs 0.10, winner=red, r_win=13:14:23, win=38:27:79, time=71/15460
145: reward=0.00 vs 0.00, winner=draw, r_win=13:13:24, win=38:27:80, time=98/15558
146: reward=2.08 vs 90.60, winner=blue, r_win=13:14:23, win=38:28:80, time=128/15686
147: reward=0.00 vs 0.00, winner=draw, r_win=13:13:24, win=38:28:81, time=116/15802
148: reward=1.83 vs 90.48, winner=blue, r_win=12:14:24, win=38:29:81, time=144/15947
149: reward=0.00 vs 0.00, winner=draw, r_win=12:13:25, win=38:29:82, time=74/16021
150: reward=95.13 vs 0.00, winner=red, r_win=13:13:24, win=39:29:82, time=82/16103
151: reward=1.50 vs 0.15, winner=draw, r_win=13:12:25, win=39:29:83, time=114/16216
