91: reward=-4.20 vs 129.20, reward_evade=3.00 vs 72.00, win=10 vs 63, recent_win=4 vs 32, draw=18, winner=blue, time=1215/62317
92: reward=82.93 vs 13.00, reward_evade=1.00 vs 13.00, win=11 vs 63, recent_win=5 vs 32, draw=18, winner=red, time=262/62578
93: reward=-1.20 vs 94.40, reward_evade=1.00 vs 13.00, win=11 vs 64, recent_win=4 vs 33, draw=18, winner=blue, time=299/62877
94: reward=58.38 vs 52.00, reward_evade=1.00 vs 52.00, win=12 vs 64, recent_win=5 vs 32, draw=18, winner=red, time=878/63755
95: reward=-0.60 vs 118.96, reward_evade=5.00 vs 58.00, win=12 vs 65, recent_win=5 vs 32, draw=18, winner=blue, time=939/64693
96: reward=-1.30 vs 94.06, reward_evade=5.00 vs 14.00, win=12 vs 66, recent_win=5 vs 32, draw=18, winner=blue, time=326/65019
97: reward=-3.30 vs 109.95, reward_evade=1.00 vs 44.00, win=12 vs 67, recent_win=5 vs 32, draw=18, winner=blue, time=717/65735
98: reward=1.10 vs 95.53, reward_evade=3.00 vs 20.00, win=12 vs 68, recent_win=5 vs 33, draw=18, winner=blue, time=418/66153
99: reward=63.37 vs 46.70, reward_evade=4.00 vs 47.00, win=13 vs 68, recent_win=6 vs 32, draw=18, winner=red, time=801/66954
100: reward=3.70 vs 122.64, reward_evade=10.00 vs 65.00, win=13 vs 69, recent_win=6 vs 32, draw=18, winner=blue, time=1127/68081
101: reward=0.20 vs 47.60, reward_evade=4.00 vs 48.00, win=13 vs 69, recent_win=6 vs 32, draw=19, winner=draw, time=830/68910
102: reward=0.90 vs 100.02, reward_evade=3.00 vs 22.00, win=13 vs 70, recent_win=6 vs 32, draw=19, winner=blue, time=363/69273
103: reward=-1.20 vs 97.81, reward_evade=3.00 vs 13.00, win=13 vs 71, recent_win=6 vs 32, draw=19, winner=blue, time=235/69508
104: reward=-0.00 vs 99.44, reward_evade=2.00 vs 21.00, win=13 vs 72, recent_win=6 vs 32, draw=19, winner=blue, time=356/69863
105: reward=-1.20 vs 14.00, reward_evade=2.00 vs 13.00, win=13 vs 72, recent_win=6 vs 31, draw=20, winner=draw, time=265/70128
106: reward=-4.80 vs 107.40, reward_evade=6.00 vs 108.00, win=13 vs 72, recent_win=6 vs 30, draw=21, winner=draw, time=1800/71928
107: reward=1.50 vs 14.80, reward_evade=2.00 vs 15.00, win=13 vs 72, recent_win=5 vs 30, draw=22, winner=draw, time=403/72330
108: reward=-1.10 vs 97.81, reward_evade=2.00 vs 13.00, win=13 vs 73, recent_win=5 vs 31, draw=22, winner=blue, time=235/72565
109: reward=-0.90 vs 99.34, reward_evade=1.00 vs 20.00, win=13 vs 74, recent_win=5 vs 31, draw=22, winner=blue, time=339/72904
110: reward=-3.20 vs 115.77, reward_evade=2.00 vs 53.00, win=13 vs 75, recent_win=5 vs 32, draw=22, winner=blue, time=858/73761
111: reward=-0.70 vs 17.90, reward_evade=1.00 vs 17.00, win=13 vs 75, recent_win=5 vs 32, draw=23, winner=draw, time=310/74071
112: reward=-1.50 vs 97.20, reward_evade=1.00 vs 16.00, win=13 vs 76, recent_win=5 vs 32, draw=23, winner=blue, time=303/74374
113: reward=-2.10 vs 50.80, reward_evade=2.00 vs 51.00, win=13 vs 76, recent_win=4 vs 32, draw=24, winner=draw, time=875/75248
114: reward=-1.60 vs 98.40, reward_evade=2.00 vs 17.00, win=13 vs 77, recent_win=4 vs 33, draw=24, winner=blue, time=299/75547
115: reward=-0.50 vs 97.55, reward_evade=1.00 vs 16.00, win=13 vs 78, recent_win=4 vs 33, draw=24, winner=blue, time=292/75838
116: reward=2.00 vs 98.88, reward_evade=4.00 vs 21.00, win=13 vs 79, recent_win=4 vs 33, draw=24, winner=blue, time=364/76202
117: reward=-0.10 vs 11.00, reward_evade=4.00 vs 11.00, win=13 vs 79, recent_win=4 vs 33, draw=25, winner=draw, time=230/76432
118: reward=77.02 vs 19.00, reward_evade=1.00 vs 19.00, win=14 vs 79, recent_win=5 vs 33, draw=25, winner=red, time=372/76804
119: reward=74.74 vs 24.80, reward_evade=3.00 vs 25.00, win=15 vs 79, recent_win=6 vs 33, draw=25, winner=red, time=460/77264
120: reward=0.90 vs 99.11, reward_evade=3.00 vs 22.00, win=15 vs 80, recent_win=6 vs 33, draw=25, winner=blue, time=381/77644
121: reward=-1.30 vs 100.25, reward_evade=1.00 vs 25.00, win=15 vs 81, recent_win=6 vs 33, draw=25, winner=blue, time=432/78076
122: reward=1.80 vs 98.22, reward_evade=4.00 vs 23.00, win=15 vs 82, recent_win=6 vs 33, draw=25, winner=blue, time=423/78498
123: reward=-1.20 vs 97.44, reward_evade=4.00 vs 14.00, win=15 vs 83, recent_win=6 vs 33, draw=25, winner=blue, time=260/78758
124: reward=-0.40 vs 14.00, reward_evade=4.00 vs 14.00, win=15 vs 83, recent_win=6 vs 32, draw=26, winner=draw, time=288/79046
125: reward=-2.00 vs 39.90, reward_evade=1.00 vs 40.00, win=15 vs 83, recent_win=6 vs 31, draw=27, winner=draw, time=674/79719
126: reward=-6.20 vs 138.84, reward_evade=2.00 vs 83.00, win=15 vs 84, recent_win=6 vs 31, draw=27, winner=blue, time=1365/81084
127: reward=-3.80 vs 105.71, reward_evade=2.00 vs 39.00, win=15 vs 85, recent_win=6 vs 31, draw=27, winner=blue, time=695/81778
128: reward=71.34 vs 30.80, reward_evade=3.00 vs 31.00, win=16 vs 85, recent_win=7 vs 30, draw=27, winner=red, time=537/82315
129: reward=-5.30 vs 139.81, reward_evade=3.00 vs 84.00, win=16 vs 86, recent_win=7 vs 31, draw=27, winner=blue, time=1369/83684
130: reward=0.00 vs 10.00, reward_evade=3.00 vs 10.00, win=16 vs 86, recent_win=7 vs 30, draw=28, winner=draw, time=213/83897
131: reward=-1.60 vs 98.50, reward_evade=3.00 vs 17.00, win=16 vs 87, recent_win=7 vs 30, draw=28, winner=blue, time=297/84193
132: reward=85.91 vs 10.00, reward_evade=1.00 vs 10.00, win=17 vs 87, recent_win=8 vs 30, draw=28, winner=red, time=214/84407
133: reward=-6.90 vs 108.60, reward_evade=4.00 vs 109.00, win=17 vs 87, recent_win=8 vs 29, draw=29, winner=draw, time=1800/86207
134: reward=0.30 vs 97.76, reward_evade=2.00 vs 18.00, win=17 vs 88, recent_win=8 vs 30, draw=29, winner=blue, time=326/86533
135: reward=-1.10 vs 97.82, reward_evade=2.00 vs 12.00, win=17 vs 89, recent_win=8 vs 31, draw=29, winner=blue, time=217/86750
136: reward=78.25 vs 18.00, reward_evade=1.00 vs 18.00, win=18 vs 89, recent_win=8 vs 31, draw=29, winner=red, time=345/87094
137: reward=-1.30 vs 15.00, reward_evade=1.00 vs 14.00, win=18 vs 89, recent_win=8 vs 30, draw=30, winner=draw, time=270/87364
138: reward=3.10 vs 96.96, reward_evade=5.00 vs 20.00, win=18 vs 90, recent_win=8 vs 30, draw=30, winner=blue, time=380/87744
139: reward=-1.40 vs 97.86, reward_evade=5.00 vs 16.00, win=18 vs 91, recent_win=8 vs 30, draw=30, winner=blue, time=290/88033
140: reward=-1.70 vs 98.72, reward_evade=5.00 vs 19.00, win=18 vs 92, recent_win=8 vs 30, draw=30, winner=blue, time=333/88366
141: reward=-1.20 vs 97.69, reward_evade=5.00 vs 13.00, win=18 vs 93, recent_win=8 vs 30, draw=30, winner=blue, time=237/88603
142: reward=0.50 vs 97.97, reward_evade=2.00 vs 16.00, win=18 vs 94, recent_win=7 vs 31, draw=30, winner=blue, time=284/88886
143: reward=0.00 vs 10.00, reward_evade=2.00 vs 10.00, win=18 vs 94, recent_win=7 vs 30, draw=31, winner=draw, time=229/89116
144: reward=-1.00 vs 98.44, reward_evade=1.00 vs 20.00, win=18 vs 95, recent_win=6 vs 31, draw=31, winner=blue, time=356/89471
145: reward=2.50 vs 14.80, reward_evade=3.00 vs 15.00, win=18 vs 95, recent_win=6 vs 30, draw=32, winner=draw, time=306/89777
146: reward=0.50 vs 97.66, reward_evade=2.00 vs 16.00, win=18 vs 96, recent_win=6 vs 30, draw=32, winner=blue, time=290/90066
147: reward=-1.10 vs 97.88, reward_evade=2.00 vs 12.00, win=18 vs 97, recent_win=6 vs 30, draw=32, winner=blue, time=216/90282
148: reward=-1.60 vs 97.79, reward_evade=2.00 vs 17.00, win=18 vs 98, recent_win=6 vs 30, draw=32, winner=blue, time=309/90591
149: reward=-1.00 vs 98.90, reward_evade=1.00 vs 21.00, win=18 vs 99, recent_win=5 vs 31, draw=32, winner=blue, time=368/90959
150: reward=0.00 vs 10.00, reward_evade=1.00 vs 10.00, win=18 vs 99, recent_win=5 vs 30, draw=33, winner=draw, time=216/91175
151: reward=-0.40 vs 14.00, reward_evade=1.00 vs 14.00, win=18 vs 99, recent_win=5 vs 30, draw=34, winner=draw, time=271/91445
152: reward=-1.00 vs 97.82, reward_evade=1.00 vs 12.00, win=18 vs 100, recent_win=5 vs 30, draw=34, winner=blue, time=217/91662
153: reward=-0.20 vs 12.00, reward_evade=1.00 vs 12.00, win=18 vs 100, recent_win=5 vs 29, draw=35, winner=draw, time=292/91954
154: reward=-1.60 vs 37.80, reward_evade=2.00 vs 37.00, win=18 vs 100, recent_win=5 vs 28, draw=36, winner=draw, time=613/92566
155: reward=-1.10 vs 98.14, reward_evade=2.00 vs 12.00, win=18 vs 101, recent_win=5 vs 29, draw=36, winner=blue, time=212/92778
156: reward=-2.30 vs 101.54, reward_evade=1.00 vs 33.00, win=18 vs 102, recent_win=5 vs 30, draw=36, winner=blue, time=622/93400
157: reward=0.30 vs 97.34, reward_evade=2.00 vs 19.00, win=18 vs 103, recent_win=5 vs 31, draw=36, winner=blue, time=356/93755
158: reward=-1.70 vs 27.00, reward_evade=2.00 vs 27.00, win=18 vs 103, recent_win=5 vs 30, draw=37, winner=draw, time=467/94222
159: reward=-0.70 vs 98.35, reward_evade=1.00 vs 18.00, win=18 vs 104, recent_win=5 vs 30, draw=37, winner=blue, time=316/94537
160: reward=-0.90 vs 107.67, reward_evade=3.00 vs 41.00, win=18 vs 105, recent_win=5 vs 30, draw=37, winner=blue, time=685/95222
161: reward=-1.10 vs 13.00, reward_evade=3.00 vs 12.00, win=18 vs 105, recent_win=5 vs 30, draw=38, winner=draw, time=235/95457
162: reward=0.40 vs 97.86, reward_evade=2.00 vs 18.00, win=18 vs 106, recent_win=5 vs 30, draw=38, winner=blue, time=326/95782
163: reward=0.40 vs 97.30, reward_evade=2.00 vs 17.00, win=18 vs 107, recent_win=5 vs 31, draw=38, winner=blue, time=315/96097
164: reward=-1.00 vs 97.53, reward_evade=2.00 vs 11.00, win=18 vs 108, recent_win=5 vs 31, draw=38, winner=blue, time=205/96302
