93: reward=1.25 vs 2.55, winner=draw, r_win=4:30:16, win=6:52:35, time=135/11271
94: reward=0.15 vs 94.77, winner=blue, r_win=4:31:15, win=6:53:35, time=93/11364
95: reward=0.18 vs 94.55, winner=blue, r_win=4:31:15, win=6:54:35, time=99/11464
96: reward=1.23 vs 91.19, winner=blue, r_win=4:32:14, win=6:55:35, time=153/11617
97: reward=1.21 vs 92.39, winner=blue, r_win=4:32:14, win=6:56:35, time=135/11752
98: reward=1.15 vs 1.60, winner=draw, r_win=4:32:14, win=6:56:36, time=96/11848
99: reward=0.21 vs 2.08, winner=draw, r_win=4:31:15, win=6:56:37, time=96/11944
100: reward=0.21 vs 2.18, winner=draw, r_win=4:30:16, win=6:56:38, time=124/12067
101: reward=0.21 vs 91.68, winner=blue, r_win=4:30:16, win=6:57:38, time=144/12212
102: reward=0.18 vs 1.83, winner=draw, r_win=4:29:17, win=6:57:39, time=95/12307
103: reward=1.23 vs 92.19, winner=blue, r_win=4:29:17, win=6:58:39, time=140/12447
104: reward=0.15 vs 1.83, winner=draw, r_win=4:28:18, win=6:58:40, time=113/12560
105: reward=0.15 vs 1.50, winner=draw, r_win=4:27:19, win=6:58:41, time=88/12648
106: reward=1.73 vs 90.10, winner=blue, r_win=4:27:19, win=6:59:41, time=173/12821
107: reward=1.71 vs 92.49, winner=blue, r_win=4:27:19, win=6:60:41, time=133/12955
108: reward=1.18 vs 93.53, winner=blue, r_win=4:28:18, win=6:61:41, time=115/13069
109: reward=1.73 vs 91.55, winner=blue, r_win=4:29:17, win=6:62:41, time=148/13217
110: reward=1.15 vs 1.93, winner=draw, r_win=3:29:18, win=6:62:42, time=121/13339
111: reward=0.15 vs 94.22, winner=blue, r_win=3:29:18, win=6:63:42, time=100/13439
112: reward=0.15 vs 1.50, winner=draw, r_win=3:29:18, win=6:63:43, time=80/13519
113: reward=1.68 vs 92.37, winner=blue, r_win=3:30:17, win=6:64:43, time=132/13651
114: reward=0.10 vs 1.00, winner=draw, r_win=3:29:18, win=6:64:44, time=81/13732
115: reward=0.15 vs 1.50, winner=draw, r_win=3:28:19, win=6:64:45, time=88/13820
116: reward=0.15 vs 1.83, winner=draw, r_win=3:28:19, win=6:64:46, time=94/13914
117: reward=1.21 vs 92.92, winner=blue, r_win=3:29:18, win=6:65:46, time=124/14038
118: reward=94.28 vs 1.50, winner=red, r_win=4:28:18, win=7:65:46, time=96/14134
119: reward=1.15 vs 91.94, winner=blue, r_win=4:29:17, win=7:66:46, time=135/14268
120: reward=1.18 vs 93.38, winner=blue, r_win=4:29:17, win=7:67:46, time=117/14385
121: reward=1.71 vs 93.08, winner=blue, r_win=4:30:16, win=7:68:46, time=125/14510
122: reward=0.15 vs 1.50, winner=draw, r_win=4:29:17, win=7:68:47, time=77/14587
123: reward=1.21 vs 92.24, winner=blue, r_win=4:29:17, win=7:69:47, time=137/14724
124: reward=0.18 vs 2.08, winner=draw, r_win=3:29:18, win=7:69:48, time=95/14819
125: reward=92.75 vs 1.93, winner=red, r_win=4:28:18, win=8:69:48, time=118/14937
126: reward=2.04 vs 92.64, winner=blue, r_win=4:28:18, win=8:70:48, time=131/15069
127: reward=1.21 vs 91.88, winner=blue, r_win=3:29:18, win=8:71:48, time=142/15211
128: reward=0.10 vs 1.00, winner=draw, r_win=3:28:19, win=8:71:49, time=70/15281
129: reward=94.52 vs 1.50, winner=red, r_win=4:27:19, win=9:71:49, time=93/15373
130: reward=90.48 vs 1.83, winner=red, r_win=5:26:19, win=10:71:49, time=152/15526
131: reward=1.18 vs 92.78, winner=blue, r_win=5:27:18, win=10:72:49, time=126/15651
132: reward=0.15 vs 1.50, winner=draw, r_win=5:26:19, win=10:72:50, time=86/15738
133: reward=1.21 vs 93.35, winner=blue, r_win=5:27:18, win=10:73:50, time=120/15858
134: reward=1.18 vs 94.32, winner=blue, r_win=5:27:18, win=10:74:50, time=104/15962
