103: reward=0.00 vs 94.93, recent_win=18 vs 31, winner=blue, win=27 vs 74, draw=2, time=64/11639
104: reward=87.06 vs 0.00, recent_win=19 vs 30, winner=red, win=28 vs 74, draw=2, time=180/11819
105: reward=89.44 vs 0.00, recent_win=19 vs 30, winner=red, win=29 vs 74, draw=2, time=142/11961
106: reward=0.00 vs 92.29, recent_win=18 vs 31, winner=blue, win=29 vs 75, draw=2, time=100/12062
107: reward=86.99 vs 0.00, recent_win=19 vs 30, winner=red, win=30 vs 75, draw=2, time=181/12243
108: reward=89.66 vs 0.00, recent_win=20 vs 30, winner=red, win=31 vs 75, draw=2, time=139/12382
109: reward=91.29 vs 0.00, recent_win=21 vs 29, winner=red, win=32 vs 75, draw=2, time=115/12497
110: reward=0.00 vs 91.83, recent_win=21 vs 29, winner=blue, win=32 vs 76, draw=2, time=107/12604
111: reward=0.00 vs 95.53, recent_win=21 vs 29, winner=blue, win=32 vs 77, draw=2, time=56/12660
112: reward=0.00 vs 92.76, recent_win=20 vs 30, winner=blue, win=32 vs 78, draw=2, time=94/12754
113: reward=89.88 vs 0.00, recent_win=20 vs 30, winner=red, win=33 vs 78, draw=2, time=136/12889
114: reward=0.00 vs 94.35, recent_win=20 vs 30, winner=blue, win=33 vs 79, draw=2, time=72/12961
115: reward=0.00 vs 91.98, recent_win=20 vs 30, winner=blue, win=33 vs 80, draw=2, time=105/13066
116: reward=0.00 vs 92.68, recent_win=19 vs 31, winner=blue, win=33 vs 81, draw=2, time=95/13161
117: reward=89.08 vs 0.00, recent_win=19 vs 31, winner=red, win=34 vs 81, draw=2, time=148/13309
118: reward=0.00 vs 94.03, recent_win=19 vs 31, winner=blue, win=34 vs 82, draw=2, time=76/13385
119: reward=0.00 vs 88.87, recent_win=18 vs 32, winner=blue, win=34 vs 83, draw=2, time=151/13536
120: reward=0.00 vs 94.76, recent_win=18 vs 32, winner=blue, win=34 vs 84, draw=2, time=66/13603
121: reward=0.00 vs 91.67, recent_win=17 vs 33, winner=blue, win=34 vs 85, draw=2, time=109/13712
122: reward=86.86 vs 0.00, recent_win=17 vs 33, winner=red, win=35 vs 85, draw=2, time=183/13895
123: reward=0.00 vs 95.15, recent_win=17 vs 33, winner=blue, win=35 vs 86, draw=2, time=61/13956
124: reward=0.00 vs 90.39, recent_win=17 vs 33, winner=blue, win=35 vs 87, draw=2, time=128/14084
125: reward=0.00 vs 92.44, recent_win=17 vs 33, winner=blue, win=35 vs 88, draw=2, time=98/14183
126: reward=0.00 vs 91.14, recent_win=16 vs 34, winner=blue, win=35 vs 89, draw=2, time=117/14300
127: reward=0.00 vs 95.61, recent_win=16 vs 34, winner=blue, win=35 vs 90, draw=2, time=55/14355
128: reward=0.00 vs 85.27, recent_win=15 vs 35, winner=blue, win=35 vs 91, draw=2, time=209/14564
129: reward=0.00 vs 95.68, recent_win=15 vs 35, winner=blue, win=35 vs 92, draw=2, time=54/14618
130: reward=0.00 vs 95.00, recent_win=14 vs 36, winner=blue, win=35 vs 93, draw=2, time=63/14682
131: reward=90.03 vs 0.00, recent_win=15 vs 35, winner=red, win=36 vs 93, draw=2, time=133/14815
132: reward=0.00 vs 95.45, recent_win=15 vs 35, winner=blue, win=36 vs 94, draw=2, time=57/14872
133: reward=0.00 vs 91.14, recent_win=14 vs 36, winner=blue, win=36 vs 95, draw=2, time=117/14989
134: reward=0.00 vs 94.76, recent_win=14 vs 36, winner=blue, win=36 vs 96, draw=2, time=66/15056
135: reward=0.00 vs 94.52, recent_win=13 vs 37, winner=blue, win=36 vs 97, draw=2, time=70/15125
136: reward=0.00 vs 95.45, recent_win=13 vs 37, winner=blue, win=36 vs 98, draw=2, time=57/15183
137: reward=0.00 vs 95.08, recent_win=13 vs 37, winner=blue, win=36 vs 99, draw=2, time=62/15245
138: reward=0.00 vs 93.47, recent_win=13 vs 37, winner=blue, win=36 vs 100, draw=2, time=84/15329
139: reward=0.00 vs 95.00, recent_win=13 vs 37, winner=blue, win=36 vs 101, draw=2, time=63/15392
140: reward=87.61 vs 0.00, recent_win=14 vs 36, winner=red, win=37 vs 101, draw=2, time=171/15563
141: reward=0.00 vs 89.59, recent_win=14 vs 36, winner=blue, win=37 vs 102, draw=2, time=140/15703
142: reward=0.00 vs 90.69, recent_win=13 vs 37, winner=blue, win=37 vs 103, draw=2, time=124/15827
143: reward=87.40 vs 0.00, recent_win=14 vs 36, winner=red, win=38 vs 103, draw=2, time=174/16001
144: reward=0.00 vs 91.67, recent_win=14 vs 36, winner=blue, win=38 vs 104, draw=2, time=109/16110
145: reward=89.73 vs 0.00, recent_win=15 vs 35, winner=red, win=39 vs 104, draw=2, time=138/16248
146: reward=0.00 vs 92.44, recent_win=15 vs 35, winner=blue, win=39 vs 105, draw=2, time=98/16346
147: reward=88.30 vs 0.00, recent_win=15 vs 35, winner=red, win=40 vs 105, draw=2, time=160/16506
148: reward=0.00 vs 95.53, recent_win=15 vs 35, winner=blue, win=40 vs 106, draw=2, time=56/16562
149: reward=0.00 vs 92.60, recent_win=14 vs 36, winner=blue, win=40 vs 107, draw=2, time=96/16659
150: reward=0.00 vs 95.08, recent_win=13 vs 37, winner=blue, win=40 vs 108, draw=2, time=62/16721
151: reward=0.00 vs 94.19, recent_win=13 vs 37, winner=blue, win=40 vs 109, draw=2, time=74/16795
152: reward=0.00 vs 92.44, recent_win=13 vs 37, winner=blue, win=40 vs 110, draw=2, time=98/16893
153: reward=88.58 vs 0.00, recent_win=14 vs 36, winner=red, win=41 vs 110, draw=2, time=155/17049
154: reward=87.06 vs 0.00, recent_win=14 vs 36, winner=red, win=42 vs 110, draw=2, time=180/17228
155: reward=0.00 vs 89.81, recent_win=13 vs 37, winner=blue, win=42 vs 111, draw=2, time=137/17365
156: reward=0.00 vs 89.95, recent_win=13 vs 37, winner=blue, win=42 vs 112, draw=2, time=135/17500
157: reward=91.22 vs 0.00, recent_win=13 vs 37, winner=red, win=43 vs 112, draw=2, time=116/17616
158: reward=0.00 vs 95.76, recent_win=12 vs 38, winner=blue, win=43 vs 113, draw=2, time=53/17669
159: reward=88.80 vs 0.00, recent_win=12 vs 38, winner=red, win=44 vs 113, draw=2, time=152/17821
160: reward=0.00 vs 91.83, recent_win=12 vs 38, winner=blue, win=44 vs 114, draw=2, time=107/17928
161: reward=85.08 vs 0.00, recent_win=13 vs 37, winner=red, win=45 vs 114, draw=2, time=213/18141
162: reward=0.00 vs 95.45, recent_win=13 vs 37, winner=blue, win=45 vs 115, draw=2, time=57/18198
163: reward=88.09 vs 0.00, recent_win=13 vs 37, winner=red, win=46 vs 115, draw=2, time=163/18361
164: reward=88.87 vs 0.00, recent_win=14 vs 36, winner=red, win=47 vs 115, draw=2, time=151/18512
165: reward=0.00 vs 92.91, recent_win=14 vs 36, winner=blue, win=47 vs 116, draw=2, time=92/18604
166: reward=0.00 vs 90.39, recent_win=14 vs 36, winner=blue, win=47 vs 117, draw=2, time=128/18732
167: reward=0.00 vs 95.15, recent_win=13 vs 37, winner=blue, win=47 vs 118, draw=2, time=61/18793
168: reward=88.02 vs 0.00, recent_win=14 vs 36, winner=red, win=48 vs 118, draw=2, time=164/18958
169: reward=0.00 vs 95.15, recent_win=14 vs 36, winner=blue, win=48 vs 119, draw=2, time=61/19019
170: reward=0.00 vs 0.00, recent_win=14 vs 35, winner=draw, win=48 vs 119, draw=3, time=199/19218
171: reward=0.00 vs 92.76, recent_win=14 vs 35, winner=blue, win=48 vs 120, draw=3, time=94/19312
172: reward=0.00 vs 92.29, recent_win=13 vs 36, winner=blue, win=48 vs 121, draw=3, time=100/19413
173: reward=0.00 vs 92.21, recent_win=13 vs 36, winner=blue, win=48 vs 122, draw=3, time=102/19514
174: reward=89.66 vs 0.00, recent_win=14 vs 35, winner=red, win=49 vs 122, draw=3, time=139/19653
175: reward=0.00 vs 88.87, recent_win=14 vs 35, winner=blue, win=49 vs 123, draw=3, time=151/19804
176: reward=90.17 vs 0.00, recent_win=15 vs 34, winner=red, win=50 vs 123, draw=3, time=131/19936
