206: reward=0.33 vs 19.73, winner=blue, r_win=8:27:15, win=19:142:45, time=273/132979
207: reward=15.28 vs 4.62, winner=red, r_win=8:27:15, win=20:142:45, time=775/133753
208: reward=15.21 vs 4.48, winner=red, r_win=9:26:15, win=21:142:45, time=669/134422
209: reward=1.36 vs 19.29, winner=blue, r_win=9:26:15, win=21:143:45, time=354/134776
210: reward=18.12 vs 3.35, winner=red, r_win=10:25:15, win=22:143:45, time=278/135053
211: reward=1.39 vs 3.99, winner=draw, r_win=10:25:15, win=22:143:46, time=457/135510
212: reward=1.47 vs 16.74, winner=blue, r_win=10:25:15, win=22:144:46, time=993/136502
213: reward=14.83 vs 4.67, winner=red, r_win=11:24:15, win=23:144:46, time=822/137324
214: reward=1.94 vs 4.57, winner=draw, r_win=11:23:16, win=23:144:47, time=748/138072
215: reward=17.43 vs 3.70, winner=red, r_win=12:23:15, win=24:144:47, time=351/138422
216: reward=15.80 vs 3.96, winner=red, r_win=13:23:14, win=25:144:47, time=492/138914
217: reward=0.34 vs 19.50, winner=blue, r_win=13:24:13, win=25:145:47, time=306/139219
218: reward=1.89 vs 4.08, winner=draw, r_win=13:23:14, win=25:145:48, time=463/139682
219: reward=0.37 vs 19.03, winner=blue, r_win=13:23:14, win=25:146:48, time=382/140064
220: reward=1.39 vs 4.03, winner=draw, r_win=12:23:15, win=25:146:49, time=471/140534
221: reward=0.33 vs 19.74, winner=blue, r_win=12:23:15, win=25:147:49, time=272/140806
222: reward=15.18 vs 4.27, winner=red, r_win=12:23:15, win=26:147:49, time=587/141392
223: reward=0.33 vs 19.66, winner=blue, r_win=12:23:15, win=26:148:49, time=280/141672
224: reward=0.39 vs 3.93, winner=draw, r_win=12:22:16, win=26:148:50, time=461/142133
225: reward=0.35 vs 19.30, winner=blue, r_win=11:23:16, win=26:149:50, time=337/142469
226: reward=0.34 vs 19.52, winner=blue, r_win=10:24:16, win=26:150:50, time=304/142773
227: reward=0.33 vs 19.65, winner=blue, r_win=10:24:16, win=26:151:50, time=286/143058
228: reward=0.40 vs 18.57, winner=blue, r_win=10:24:16, win=26:152:50, time=483/143541
229: reward=0.37 vs 19.06, winner=blue, r_win=10:25:15, win=26:153:50, time=395/143936
230: reward=0.34 vs 19.43, winner=blue, r_win=10:25:15, win=26:154:50, time=319/144254
231: reward=16.91 vs 4.14, winner=red, r_win=11:24:15, win=27:154:50, time=489/144743
232: reward=15.34 vs 4.22, winner=red, r_win=12:24:14, win=28:154:50, time=561/145303
233: reward=0.34 vs 19.55, winner=blue, r_win=12:24:14, win=28:155:50, time=301/145604
234: reward=16.89 vs 3.10, winner=red, r_win=12:24:14, win=29:155:50, time=252/145856
235: reward=0.33 vs 3.25, winner=draw, r_win=12:23:15, win=29:155:51, time=273/146129
236: reward=0.40 vs 3.99, winner=draw, r_win=12:22:16, win=29:155:52, time=503/146631
237: reward=0.40 vs 18.36, winner=blue, r_win=11:23:16, win=29:156:52, time=502/147133
238: reward=1.96 vs 4.80, winner=draw, r_win=11:22:17, win=29:156:53, time=923/148056
239: reward=15.66 vs 4.13, winner=red, r_win=12:21:17, win=30:156:53, time=513/148568
240: reward=0.38 vs 18.77, winner=blue, r_win=12:22:16, win=30:157:53, time=426/148994
241: reward=14.86 vs 4.25, winner=red, r_win=12:22:16, win=31:157:53, time=642/149635
242: reward=14.71 vs 4.43, winner=red, r_win=13:22:15, win=32:157:53, time=670/150305
243: reward=14.66 vs 4.45, winner=red, r_win=14:22:14, win=33:157:53, time=680/150985
244: reward=1.35 vs 19.43, winner=blue, r_win=14:23:13, win=33:158:53, time=334/151318
245: reward=0.33 vs 19.79, winner=blue, r_win=14:23:13, win=33:159:53, time=267/151585
246: reward=0.34 vs 3.38, winner=draw, r_win=14:22:14, win=33:159:54, time=301/151885
247: reward=1.92 vs 4.38, winner=draw, r_win=14:22:14, win=33:159:55, time=622/152507
248: reward=0.39 vs 3.85, winner=draw, r_win=14:21:15, win=33:159:56, time=428/152935
249: reward=0.39 vs 3.85, winner=draw, r_win=14:21:15, win=33:159:57, time=438/153372
250: reward=0.33 vs 19.75, winner=blue, r_win=14:22:14, win=33:160:57, time=271/153643
251: reward=1.93 vs 4.40, winner=draw, r_win=14:21:15, win=33:160:58, time=632/154274
252: reward=1.94 vs 4.52, winner=draw, r_win=14:20:16, win=33:160:59, time=731/155005
253: reward=0.34 vs 3.44, winner=draw, r_win=14:20:16, win=33:160:60, time=299/155304
254: reward=2.21 vs 3.92, winner=draw, r_win=14:19:17, win=33:160:61, time=392/155695
255: reward=0.37 vs 18.96, winner=blue, r_win=14:20:16, win=33:161:61, time=395/156090
256: reward=1.37 vs 19.14, winner=blue, r_win=14:20:16, win=33:162:61, time=386/156475
257: reward=0.39 vs 3.93, winner=draw, r_win=13:20:17, win=33:162:62, time=462/156937
258: reward=0.38 vs 18.91, winner=blue, r_win=12:21:17, win=33:163:62, time=417/157354
259: reward=1.98 vs 16.50, winner=blue, r_win=12:21:17, win=33:164:62, time=1145/158498
260: reward=0.37 vs 3.69, winner=draw, r_win=11:21:18, win=33:164:63, time=380/158878
261: reward=0.33 vs 3.25, winner=draw, r_win=11:21:18, win=33:164:64, time=277/159154
262: reward=0.34 vs 19.62, winner=blue, r_win=11:21:18, win=33:165:64, time=289/159443
263: reward=0.35 vs 19.49, winner=blue, r_win=10:22:18, win=33:166:64, time=313/159756
264: reward=0.34 vs 3.44, winner=draw, r_win=10:22:18, win=33:166:65, time=298/160053
265: reward=1.92 vs 18.04, winner=blue, r_win=9:23:18, win=33:167:65, time=599/160652
266: reward=0.33 vs 19.70, winner=blue, r_win=8:24:18, win=33:168:65, time=270/160921
267: reward=0.30 vs 3.02, winner=draw, r_win=8:23:19, win=33:168:66, time=221/161143
268: reward=0.35 vs 19.41, winner=blue, r_win=8:24:18, win=33:169:66, time=321/161464
269: reward=14.31 vs 4.73, winner=red, r_win=9:23:18, win=34:169:66, time=868/162331
270: reward=0.34 vs 19.49, winner=blue, r_win=9:24:17, win=34:170:66, time=307/162638
271: reward=14.98 vs 3.93, winner=red, r_win=10:23:17, win=35:170:66, time=468/163105
272: reward=0.33 vs 19.75, winner=blue, r_win=9:24:17, win=35:171:66, time=271/163376
273: reward=0.39 vs 3.89, winner=draw, r_win=9:23:18, win=35:171:67, time=441/163817
274: reward=1.87 vs 18.10, winner=blue, r_win=9:24:17, win=35:172:67, time=524/164340
275: reward=0.36 vs 3.65, winner=draw, r_win=9:23:18, win=35:172:68, time=357/164697
276: reward=0.35 vs 3.55, winner=draw, r_win=9:22:19, win=35:172:69, time=338/165034
277: reward=16.12 vs 4.36, winner=red, r_win=10:21:19, win=36:172:69, time=610/165644
278: reward=0.37 vs 18.96, winner=blue, r_win=10:21:19, win=36:173:69, time=395/166039
279: reward=0.32 vs 3.18, winner=draw, r_win=10:20:20, win=36:173:70, time=252/166291
280: reward=0.33 vs 3.18, winner=draw, r_win=10:19:21, win=36:173:71, time=267/166557
281: reward=15.23 vs 4.45, winner=red, r_win=10:19:21, win=37:173:71, time=666/167223
282: reward=0.36 vs 3.60, winner=draw, r_win=9:19:22, win=37:173:72, time=345/167568
283: reward=0.29 vs 2.93, winner=draw, r_win=9:18:23, win=37:173:73, time=197/167765
284: reward=0.33 vs 3.32, winner=draw, r_win=8:18:24, win=37:173:74, time=271/168036
285: reward=0.31 vs 20.06, winner=blue, r_win=8:19:23, win=37:174:74, time=225/168260
286: reward=0.31 vs 3.10, winner=draw, r_win=8:19:23, win=37:174:75, time=235/168495
287: reward=0.32 vs 3.18, winner=draw, r_win=8:18:24, win=37:174:76, time=242/168737
288: reward=0.33 vs 19.72, winner=blue, r_win=8:19:23, win=37:175:76, time=274/169011
289: reward=1.34 vs 19.62, winner=blue, r_win=7:20:23, win=37:176:76, time=299/169310
290: reward=0.32 vs 19.94, winner=blue, r_win=7:20:23, win=37:177:76, time=241/169551
291: reward=14.35 vs 4.15, winner=red, r_win=7:20:23, win=38:177:76, time=560/170111
292: reward=0.35 vs 19.28, winner=blue, r_win=6:21:23, win=38:178:76, time=340/170450
293: reward=0.32 vs 3.18, winner=draw, r_win=5:21:24, win=38:178:77, time=247/170697
294: reward=0.36 vs 19.19, winner=blue, r_win=5:21:24, win=38:179:77, time=354/171051
295: reward=0.33 vs 19.36, winner=blue, r_win=5:21:24, win=38:180:77, time=315/171365
296: reward=0.46 vs 16.97, winner=blue, r_win=5:22:23, win=38:181:77, time=863/172228
297: reward=0.36 vs 3.65, winner=draw, r_win=5:22:23, win=38:181:78, time=359/172586
