116: reward=1.50 vs 6.80, reward_evade=2.00 vs 6.00, win=4 vs 56, recent_win=3 vs 20, draw=56, winner=draw, time=125/13674
117: reward=0.50 vs 98.12, reward_evade=1.00 vs 7.00, win=4 vs 57, recent_win=3 vs 20, draw=56, winner=blue, time=129/13803
118: reward=1.40 vs 97.03, reward_evade=2.00 vs 8.00, win=4 vs 58, recent_win=3 vs 21, draw=56, winner=blue, time=161/13964
119: reward=0.60 vs 97.87, reward_evade=1.00 vs 6.00, win=4 vs 59, recent_win=3 vs 22, draw=56, winner=blue, time=118/14082
120: reward=-0.30 vs 97.19, reward_evade=1.00 vs 4.00, win=4 vs 60, recent_win=3 vs 23, draw=56, winner=blue, time=100/14183
121: reward=0.80 vs 2.00, reward_evade=1.00 vs 2.00, win=4 vs 60, recent_win=2 vs 23, draw=57, winner=draw, time=69/14252
122: reward=0.40 vs 96.24, reward_evade=1.00 vs 7.00, win=4 vs 61, recent_win=2 vs 23, draw=57, winner=blue, time=158/14409
123: reward=0.70 vs 3.00, reward_evade=1.00 vs 3.00, win=4 vs 61, recent_win=2 vs 22, draw=58, winner=draw, time=86/14495
124: reward=5.00 vs 9.40, reward_evade=6.00 vs 10.00, win=4 vs 61, recent_win=2 vs 21, draw=59, winner=draw, time=194/14689
125: reward=-0.40 vs 97.04, reward_evade=6.00 vs 5.00, win=4 vs 62, recent_win=2 vs 21, draw=59, winner=blue, time=117/14806
126: reward=95.09 vs 2.00, reward_evade=1.00 vs 2.00, win=5 vs 62, recent_win=3 vs 20, draw=59, winner=red, time=85/14892
127: reward=0.60 vs 97.40, reward_evade=1.00 vs 5.00, win=5 vs 63, recent_win=3 vs 21, draw=59, winner=blue, time=110/15002
128: reward=-0.50 vs 97.67, reward_evade=1.00 vs 6.00, win=5 vs 64, recent_win=3 vs 22, draw=59, winner=blue, time=122/15124
129: reward=0.80 vs 2.00, reward_evade=1.00 vs 2.00, win=5 vs 64, recent_win=3 vs 22, draw=60, winner=draw, time=76/15201
130: reward=-0.40 vs 97.65, reward_evade=1.00 vs 5.00, win=5 vs 65, recent_win=3 vs 23, draw=60, winner=blue, time=108/15309
131: reward=-0.30 vs 4.00, reward_evade=1.00 vs 3.00, win=5 vs 65, recent_win=3 vs 23, draw=61, winner=draw, time=83/15392
132: reward=1.40 vs 97.29, reward_evade=2.00 vs 7.00, win=5 vs 66, recent_win=3 vs 23, draw=61, winner=blue, time=140/15532
133: reward=0.50 vs 97.57, reward_evade=1.00 vs 6.00, win=5 vs 67, recent_win=3 vs 24, draw=61, winner=blue, time=122/15654
134: reward=1.50 vs 98.02, reward_evade=2.00 vs 6.00, win=5 vs 68, recent_win=3 vs 25, draw=61, winner=blue, time=116/15770
135: reward=1.50 vs 97.79, reward_evade=2.00 vs 6.00, win=5 vs 69, recent_win=3 vs 25, draw=61, winner=blue, time=119/15890
136: reward=95.01 vs 2.00, reward_evade=1.00 vs 2.00, win=6 vs 69, recent_win=4 vs 25, draw=61, winner=red, time=86/15976
137: reward=-0.40 vs 6.00, reward_evade=1.00 vs 5.00, win=6 vs 69, recent_win=4 vs 24, draw=62, winner=draw, time=113/16088
138: reward=-0.30 vs 98.05, reward_evade=1.00 vs 4.00, win=6 vs 70, recent_win=4 vs 25, draw=62, winner=blue, time=88/16177
