97: reward=0.90 vs 1.00, win=8 vs 68, recent_win=5 vs 30, draw=21, winner=draw, time=65/61298
98: reward=11.80 vs 53.20, win=8 vs 68, recent_win=5 vs 29, draw=22, winner=draw, time=1800/63099
99: reward=11.85 vs 50.20, win=8 vs 68, recent_win=5 vs 28, draw=23, winner=draw, time=1745/64844
100: reward=2.50 vs 12.60, win=8 vs 69, recent_win=5 vs 28, draw=23, winner=blue, time=420/65263
101: reward=5.15 vs 18.30, win=8 vs 70, recent_win=5 vs 28, draw=23, winner=blue, time=727/65990
102: reward=5.45 vs 22.20, win=8 vs 71, recent_win=5 vs 28, draw=23, winner=blue, time=780/66770
103: reward=1.75 vs 2.80, win=8 vs 72, recent_win=5 vs 28, draw=23, winner=blue, time=136/66905
104: reward=5.05 vs 15.30, win=8 vs 73, recent_win=4 vs 29, draw=23, winner=blue, time=708/67613
105: reward=7.15 vs 28.00, win=8 vs 74, recent_win=4 vs 29, draw=23, winner=blue, time=1050/68663
106: reward=2.85 vs 10.60, win=8 vs 75, recent_win=4 vs 29, draw=23, winner=blue, time=472/69134
107: reward=13.25 vs 40.20, win=8 vs 75, recent_win=4 vs 28, draw=24, winner=draw, time=1800/70935
108: reward=12.70 vs 40.20, win=8 vs 75, recent_win=4 vs 27, draw=25, winner=draw, time=1800/72735
109: reward=4.40 vs 21.30, win=8 vs 76, recent_win=4 vs 27, draw=25, winner=blue, time=722/73456
110: reward=3.80 vs 11.50, win=8 vs 77, recent_win=4 vs 27, draw=25, winner=blue, time=375/73831
111: reward=12.90 vs 43.20, win=8 vs 77, recent_win=4 vs 27, draw=26, winner=draw, time=1800/75631
112: reward=5.05 vs 19.30, win=8 vs 78, recent_win=4 vs 28, draw=26, winner=blue, time=735/76366
113: reward=-0.20 vs 4.00, win=8 vs 79, recent_win=4 vs 28, draw=26, winner=blue, time=83/76449
114: reward=10.80 vs 45.20, win=8 vs 80, recent_win=4 vs 28, draw=26, winner=blue, time=1538/77987
115: reward=12.15 vs 50.20, win=8 vs 80, recent_win=4 vs 28, draw=27, winner=draw, time=1800/79787
116: reward=5.50 vs 21.20, win=8 vs 81, recent_win=4 vs 29, draw=27, winner=blue, time=740/80527
117: reward=1.65 vs 3.80, win=8 vs 82, recent_win=4 vs 30, draw=27, winner=blue, time=106/80633
118: reward=1.80 vs 2.00, win=9 vs 82, recent_win=5 vs 30, draw=27, winner=red, time=91/80724
